datum,e.coli,entero
2004-02-23T00:00:00Z,2400,365
2004-03-02T00:00:00Z,430,180
2004-03-09T00:00:00Z,150,130
2004-03-16T00:00:00Z,930,150
2004-03-24T00:00:00Z,1500,940
2004-04-05T00:00:00Z,230,150
2004-04-14T00:00:00Z,91,35
2004-04-20T00:00:00Z,430,80
2004-04-27T00:00:00Z,36,30
2004-05-04T00:00:00Z,73,15
2004-05-11T00:00:00Z,430,195
2004-05-18T00:00:00Z,36,5
2004-06-01T00:00:00Z,4300,700
2004-06-08T00:00:00Z,430,150
2004-06-15T00:00:00Z,430,225
2004-06-23T00:00:00Z,150,40
2004-06-30T00:00:00Z,430,430
2004-07-07T00:00:00Z,230,80
2004-07-14T00:00:00Z,4300,2300
2004-07-20T00:00:00Z,930,25
2004-07-26T00:00:00Z,1500,235
2004-08-03T00:00:00Z,36,65
2004-08-09T00:00:00Z,91,25
2004-08-17T00:00:00Z,930,150
2004-08-25T00:00:00Z,430,150
2004-08-31T00:00:00Z,4300,2560
2004-09-07T00:00:00Z,30,30
2004-09-14T00:00:00Z,2400,310
2004-09-21T00:00:00Z,230,40
2004-09-28T00:00:00Z,4300,275
2004-10-05T00:00:00Z,430,85
2004-10-14T00:00:00Z,430,160
2004-10-19T00:00:00Z,2400,1200
2004-10-27T00:00:00Z,230,45
2004-11-03T00:00:00Z,230,345
2004-11-09T00:00:00Z,430,NA
2004-11-16T00:00:00Z,2400,140
2004-11-23T00:00:00Z,930,340
2004-11-30T00:00:00Z,430,280
2004-12-08T00:00:00Z,430,290
2004-12-14T00:00:00Z,230,5120
2004-12-28T00:00:00Z,2400,420
2005-01-11T00:00:00Z,230,195
2005-01-18T00:00:00Z,430,165
2005-03-22T00:00:00Z,2400,2500
2005-03-30T00:00:00Z,930,260
2005-04-04T00:00:00Z,150,105
2005-04-13T00:00:00Z,230,250
2005-04-26T00:00:00Z,230,65
2005-05-04T00:00:00Z,30,5
2005-05-11T00:00:00Z,390,35
2005-05-17T00:00:00Z,430,860
2005-05-30T00:00:00Z,30,5
2005-06-14T00:00:00Z,750,195
2005-06-21T00:00:00Z,230,50
2005-06-28T00:00:00Z,230,10
2005-07-05T00:00:00Z,4600,770
2005-07-12T00:00:00Z,1500,445
2005-07-27T00:00:00Z,930,225
2005-08-01T00:00:00Z,2400,360
2005-08-09T00:00:00Z,4300,450
2005-08-17T00:00:00Z,1500,485
2005-08-23T00:00:00Z,2400,1500
2005-09-06T00:00:00Z,30,135
2005-09-14T00:00:00Z,930,455
2005-09-20T00:00:00Z,36,55
2005-09-28T00:00:00Z,4300,600
2005-10-04T00:00:00Z,430,115
2005-10-11T00:00:00Z,230,170
2005-10-17T00:00:00Z,930,110
2005-10-25T00:00:00Z,4300,360
2005-11-07T00:00:00Z,390,140
2005-11-14T00:00:00Z,430,50
2005-11-21T00:00:00Z,930,135
2006-04-19T00:00:00Z,430,305
2006-04-25T00:00:00Z,91,205
2006-05-08T00:00:00Z,230,430
2006-05-16T00:00:00Z,430,155
2006-05-23T00:00:00Z,430,110
2006-05-30T00:00:00Z,4300,700
2006-06-19T00:00:00Z,73,5
2006-06-28T00:00:00Z,430,55
2006-07-12T00:00:00Z,230,5
2006-07-19T00:00:00Z,430,360
2006-07-24T00:00:00Z,30,5
2006-08-02T00:00:00Z,2400,NA
2006-08-07T00:00:00Z,11e3,NA
2006-08-16T00:00:00Z,750,NA
2006-08-21T00:00:00Z,3900,NA
2006-08-29T00:00:00Z,4600,NA
2006-09-04T00:00:00Z,930,NA
2006-09-12T00:00:00Z,430,360
2006-09-18T00:00:00Z,1500,NA
2006-09-25T00:00:00Z,2400,NA
2006-10-04T00:00:00Z,9300,NA
2006-10-11T00:00:00Z,91,NA
2006-11-06T00:00:00Z,9300,610
2006-12-11T00:00:00Z,930,305
2007-04-03T00:00:00Z,390,50
2007-05-02T00:00:00Z,91,95
2007-05-14T00:00:00Z,230,10
2007-06-11T00:00:00Z,230,21
2007-06-25T00:00:00Z,91,32
2007-07-02T00:00:00Z,210,158
2007-07-17T00:00:00Z,930,58
2007-07-30T00:00:00Z,4300,633
2007-08-07T00:00:00Z,430,32
2007-09-18T00:00:00Z,390,288
2007-10-02T00:00:00Z,750,53
2007-10-16T00:00:00Z,1500,76
2008-03-31T00:00:00Z,981,NA
2008-04-08T00:00:00Z,1130,NA
2008-04-22T00:00:00Z,851,NA
2008-05-06T00:00:00Z,134,NA
2008-06-10T00:00:00Z,504,NA
2008-06-24T00:00:00Z,1520,NA
2008-07-01T00:00:00Z,182,NA
2008-07-14T00:00:00Z,4564,NA
2008-07-29T00:00:00Z,53,NA
2008-08-05T00:00:00Z,901,NA
2008-08-12T00:00:00Z,2955,NA
2008-09-16T00:00:00Z,3178,NA
2008-09-23T00:00:00Z,274,NA
2008-10-01T00:00:00Z,4564,NA
2008-10-07T00:00:00Z,927,NA
2008-10-21T00:00:00Z,693,NA
2009-03-31T00:00:00Z,2964,316
2009-04-06T00:00:00Z,500,65
2009-04-15T00:00:00Z,390,10
2009-04-20T00:00:00Z,1429,21
2009-04-27T00:00:00Z,182,10
2009-05-05T00:00:00Z,2367,110
2009-05-12T00:00:00Z,1346,146
2009-05-19T00:00:00Z,4564,876
2009-05-19T00:00:00Z,4600,1100
2009-05-25T00:00:00Z,158,10
2009-06-02T00:00:00Z,893,46
2009-06-10T00:00:00Z,2368,208
2009-06-16T00:00:00Z,2080,208
2009-06-16T00:00:00Z,3421,442
2009-06-22T00:00:00Z,1792,390
2009-06-30T00:00:00Z,3466,804
2009-06-30T00:00:00Z,4800,780
2009-07-07T00:00:00Z,2772,208
2009-07-14T00:00:00Z,830,140
2009-07-15T00:00:00Z,780,122
2009-07-21T00:00:00Z,1346,390
2009-07-27T00:00:00Z,1e3,93
2009-07-28T00:00:00Z,2368,826
2009-08-10T00:00:00Z,4564,4564
2009-08-10T00:00:00Z,9e3,13e3
2009-08-25T00:00:00Z,470,180
2009-09-15T00:00:00Z,1800,130
2009-09-21T00:00:00Z,260,10
2009-09-28T00:00:00Z,194,10
2009-09-28T00:00:00Z,220,15
2009-10-05T00:00:00Z,694,42
2009-10-12T00:00:00Z,14e3,13e3
2009-10-13T00:00:00Z,2964,540
2009-10-26T00:00:00Z,250,46
2010-03-22T00:00:00Z,7700,390
2010-03-26T00:00:00Z,2368,330
2010-04-06T00:00:00Z,1792,22
2010-04-06T00:00:00Z,1400,30
2010-04-16T00:00:00Z,1674,88
2010-04-20T00:00:00Z,850,30
2010-04-22T00:00:00Z,4564,438
2010-04-30T00:00:00Z,780,10
2010-05-03T00:00:00Z,5e3,1e3
2010-05-17T00:00:00Z,810,94
2010-05-25T00:00:00Z,438,64
2010-06-01T00:00:00Z,1400,210
2010-06-10T00:00:00Z,1386,122
2010-06-14T00:00:00Z,28e3,9e3
2010-06-21T00:00:00Z,2964,344
2010-06-24T00:00:00Z,1428,194
2010-06-28T00:00:00Z,640,110
2010-07-02T00:00:00Z,850,64
2010-07-09T00:00:00Z,4564,4564
2010-07-12T00:00:00Z,530,30
2010-07-16T00:00:00Z,1926,182
2010-07-23T00:00:00Z,900,182
2010-07-29T00:00:00Z,1620,134
2010-08-02T00:00:00Z,810,140
2010-08-05T00:00:00Z,614,98
2010-08-16T00:00:00Z,21e3,3300
2010-08-30T00:00:00Z,12e3,2100
2010-09-09T00:00:00Z,876,110
2010-09-13T00:00:00Z,660,61
2010-09-24T00:00:00Z,804,32
2010-09-28T00:00:00Z,1200,130
2010-09-30T00:00:00Z,2262,122
2010-10-07T00:00:00Z,360,22
2010-10-18T00:00:00Z,420,46
2010-10-21T00:00:00Z,1306,54
2010-10-26T00:00:00Z,1300,220
2011-03-15T00:00:00Z,1568,134
2011-03-22T00:00:00Z,780,110
2011-03-22T00:00:00Z,490,15
2011-03-29T00:00:00Z,804,54
2011-04-05T00:00:00Z,5400,330
2011-05-02T00:00:00Z,960,180
2011-05-10T00:00:00Z,170,10
2011-05-16T00:00:00Z,1700,200
2011-05-17T00:00:00Z,826,194
2011-05-23T00:00:00Z,302,10
2011-06-06T00:00:00Z,182,32
2011-06-06T00:00:00Z,160,15
2011-06-28T00:00:00Z,302,22
2011-07-04T00:00:00Z,3178,2818
2011-07-12T00:00:00Z,4564,558
2011-07-12T00:00:00Z,4300,470
2011-07-19T00:00:00Z,4564,344
2011-07-25T00:00:00Z,2100,210
2011-07-26T00:00:00Z,1010,134
2011-08-02T00:00:00Z,804,98
2011-08-08T00:00:00Z,7700,1100
2011-08-22T00:00:00Z,290,15
2011-09-05T00:00:00Z,200,110
2011-09-06T00:00:00Z,4564,3872
2011-09-20T00:00:00Z,4564,1792
2011-09-27T00:00:00Z,194,22
2011-09-27T00:00:00Z,180,15
2011-10-04T00:00:00Z,360,32
2011-10-10T00:00:00Z,3100,330
2011-10-11T00:00:00Z,3466,632
2011-10-18T00:00:00Z,486,22
2011-10-24T00:00:00Z,350,61
2011-11-08T00:00:00Z,486,22
2012-01-10T00:00:00Z,2484,246
2012-01-17T00:00:00Z,2818,208
2012-01-31T00:00:00Z,2e3,146
2012-03-13T00:00:00Z,4564,454
2012-03-19T00:00:00Z,2e3,182
2012-03-27T00:00:00Z,1010,10
2012-03-28T00:00:00Z,2e3,61
2012-04-10T00:00:00Z,926,88
2012-04-17T00:00:00Z,2484,32
2012-04-23T00:00:00Z,4564,208
2012-04-24T00:00:00Z,680,61
2012-05-08T00:00:00Z,194,32
2012-05-08T00:00:00Z,210,45
2012-05-14T00:00:00Z,374,64
2012-05-19T00:00:00Z,122,10
2012-05-21T00:00:00Z,61,15
2012-05-24T00:00:00Z,98,10
2012-05-29T00:00:00Z,1058,134
2012-05-30T00:00:00Z,1674,122
2012-05-31T00:00:00Z,3178,208
2012-06-11T00:00:00Z,4564,246
2012-06-12T00:00:00Z,1600,130
2012-06-13T00:00:00Z,4564,2964
2012-06-14T00:00:00Z,3872,374
2012-06-18T00:00:00Z,370,46
2012-06-19T00:00:00Z,4564,4564
2012-06-26T00:00:00Z,1198,32
2012-07-10T00:00:00Z,1674,98
2012-07-10T00:00:00Z,1200,130
2012-07-12T00:00:00Z,4564,454
2012-07-12T00:00:00Z,2964,438
2012-07-16T00:00:00Z,5700,840
2012-07-24T00:00:00Z,390,64
2012-07-31T00:00:00Z,576,170
2012-08-07T00:00:00Z,2e3,110
2012-08-07T00:00:00Z,15e3,2800
2012-08-08T00:00:00Z,4564,2772
2012-08-20T00:00:00Z,200,93
2012-08-22T00:00:00Z,4564,558
2012-09-04T00:00:00Z,302,32
2012-09-11T00:00:00Z,344,54
2012-09-11T00:00:00Z,140,94
2012-09-17T00:00:00Z,590,93
2012-09-25T00:00:00Z,900,146
2012-10-09T00:00:00Z,1500,310
2012-11-06T00:00:00Z,19e3,2100
2013-04-16T00:00:00Z,530,30
2013-04-23T00:00:00Z,804,10
2013-05-03T00:00:00Z,632,10
2013-05-07T00:00:00Z,250,43
2013-05-12T00:00:00Z,926,134
2013-05-31T00:00:00Z,2368,76
2013-06-11T00:00:00Z,5e3,140
2013-06-20T00:00:00Z,652,42
2013-07-04T00:00:00Z,360,64
2013-07-09T00:00:00Z,330,15
2013-07-18T00:00:00Z,405,10
2013-08-01T00:00:00Z,220,42
2013-08-13T00:00:00Z,830,180
2013-08-16T00:00:00Z,260,42
2013-08-24T00:00:00Z,4564,980
2013-09-05T00:00:00Z,194,110
2013-09-12T00:00:00Z,316,110
2013-09-17T00:00:00Z,11e3,680
2013-09-26T00:00:00Z,134,32
2013-10-15T00:00:00Z,290,30
2013-10-24T00:00:00Z,340,22
2013-12-10T00:00:00Z,390,32
2014-03-10T00:00:00Z,110,10
2014-04-08T00:00:00Z,194,42
2014-04-22T00:00:00Z,140,15
2014-05-06T00:00:00Z,274,42
2014-05-19T00:00:00Z,4564,1520
2014-05-27T00:00:00Z,160,45
2014-06-03T00:00:00Z,146,22
2014-06-10T00:00:00Z,94,15
2014-07-08T00:00:00Z,980,208
2014-07-08T00:00:00Z,290,30
2014-08-11T00:00:00Z,350,180
2014-09-23T00:00:00Z,8300,820
2014-10-14T00:00:00Z,590,15
2014-11-28T00:00:00Z,1474,54
2015-04-07T00:00:00Z,1400,94
2015-05-22T00:00:00Z,1732,98
2015-05-26T00:00:00Z,4500,290
2015-06-12T00:00:00Z,134,10
2015-06-30T00:00:00Z,560,77
2015-07-10T00:00:00Z,1130,110
2015-07-21T00:00:00Z,160,30
2015-08-07T00:00:00Z,374,146
2015-08-24T00:00:00Z,160,46
2015-09-08T00:00:00Z,770,77
2015-10-05T00:00:00Z,160,15
2015-11-24T00:00:00Z,800,77
2015-12-07T00:00:00Z,2200,61
2016-01-19T00:00:00Z,4300,680
2016-02-23T00:00:00Z,3800,200
2016-03-15T00:00:00Z,2e3,200
2016-03-29T00:00:00Z,1400,110
2016-04-11T00:00:00Z,490,61
2016-04-14T00:00:00Z,954,54
2016-04-26T00:00:00Z,560,15
2016-05-10T00:00:00Z,61,15
2016-05-12T00:00:00Z,316,42
2016-05-24T00:00:00Z,9e3,330
2016-06-03T00:00:00Z,672,98
2016-06-14T00:00:00Z,2400,250
2016-06-28T00:00:00Z,12e3,730
2016-07-14T00:00:00Z,594,98
2016-07-19T00:00:00Z,770,93
2016-07-26T00:00:00Z,8300,650
2016-08-04T00:00:00Z,2e3,182
2016-08-16T00:00:00Z,510,15
2016-08-30T00:00:00Z,35e3,700
2016-09-12T00:00:00Z,850,110
2016-09-13T00:00:00Z,940,15
2016-09-27T00:00:00Z,200,15
2016-09-30T00:00:00Z,300,54
2016-10-04T00:00:00Z,9e3,480
2016-11-28T00:00:00Z,310,30
2017-03-21T00:00:00Z,2600,46
2017-04-25T00:00:00Z,400,46
2017-05-23T00:00:00Z,310,15
2017-06-27T00:00:00Z,440,77
2017-07-24T00:00:00Z,24e3,1400
2017-08-22T00:00:00Z,310,30
2017-09-25T00:00:00Z,400,30
2017-10-23T00:00:00Z,6100,870
