datum,i_kringell
2008-01-01T00:00:00Z,406.4
2008-01-02T00:00:00Z,1823.1
2008-01-03T00:00:00Z,1285.9
2008-01-04T00:00:00Z,1032.5
2008-01-05T00:00:00Z,953.2
2008-01-06T00:00:00Z,253.3
2008-01-07T00:00:00Z,240.7
2008-01-08T00:00:00Z,1141
2008-01-09T00:00:00Z,808.2
2008-01-10T00:00:00Z,1341.9
2008-01-11T00:00:00Z,728
2008-01-12T00:00:00Z,494.1
2008-01-13T00:00:00Z,1171.3
2008-01-14T00:00:00Z,549.4
2008-01-15T00:00:00Z,899
2008-01-16T00:00:00Z,369.7
2008-01-17T00:00:00Z,399.4
2008-01-18T00:00:00Z,418.3
2008-01-19T00:00:00Z,201.3
2008-01-20T00:00:00Z,668.3
2008-01-21T00:00:00Z,555.5
2008-01-22T00:00:00Z,399.8
2008-01-23T00:00:00Z,1563.5
2008-01-24T00:00:00Z,1872.9
2008-01-25T00:00:00Z,1012.5
2008-01-26T00:00:00Z,814.3
2008-01-27T00:00:00Z,93.9
2008-01-28T00:00:00Z,431.5
2008-01-29T00:00:00Z,1037.5
2008-01-30T00:00:00Z,448.7
2008-01-31T00:00:00Z,616.2
2008-02-01T00:00:00Z,727.2
2008-02-02T00:00:00Z,477.7
2008-02-03T00:00:00Z,2783.9
2008-02-04T00:00:00Z,2015.9
2008-02-05T00:00:00Z,1203.2
2008-02-06T00:00:00Z,467.7
2008-02-07T00:00:00Z,1102
2008-02-08T00:00:00Z,2881.9
2008-02-09T00:00:00Z,2575
2008-02-10T00:00:00Z,2556.4
2008-02-11T00:00:00Z,2758
2008-02-12T00:00:00Z,2718.2
2008-02-13T00:00:00Z,1506.7
2008-02-14T00:00:00Z,398
2008-02-15T00:00:00Z,1950.9
2008-02-16T00:00:00Z,2568.8
2008-02-17T00:00:00Z,2858.9
2008-02-18T00:00:00Z,1967.9
2008-02-19T00:00:00Z,1977.6
2008-02-20T00:00:00Z,3210.3
2008-02-21T00:00:00Z,781.2
2008-02-22T00:00:00Z,1160.5
2008-02-23T00:00:00Z,1576.3
2008-02-24T00:00:00Z,3404
2008-02-25T00:00:00Z,1832.3
2008-02-26T00:00:00Z,3203
2008-02-27T00:00:00Z,1940.3
2008-02-28T00:00:00Z,2779.6
2008-02-29T00:00:00Z,393.2
2008-03-01T00:00:00Z,524.9
2008-03-02T00:00:00Z,476.7
2008-03-03T00:00:00Z,550.1
2008-03-04T00:00:00Z,1433.9
