datum,ka_hutthurm
2011-01-01,1219
2011-01-02,1419
2011-01-03,1529
2011-01-04,1714
2011-01-05,1642
2011-01-06,1458
2011-01-07,2121
2011-01-08,2173
2011-01-09,2151
2011-01-10,1403
2011-01-11,1766
2011-01-12,1473
2011-01-13,1603
2011-01-14,2026
2011-01-15,1959
2011-01-16,1946
2011-01-17,1474
2011-01-18,1484
2011-01-19,1492
2011-01-20,1347
2011-01-21,1870
2011-01-22,1927
2011-01-23,1904
2011-01-24,2031
2011-01-25,2027
2011-01-26,1724
2011-01-27,1541
2011-01-28,1495
2011-01-29,1179
2011-01-30,1235
2011-01-31,1295
2011-02-01,1333
2011-02-02,1333
2011-02-03,1235
2011-02-04,1748
2011-02-05,1812
2011-02-06,1960
2011-02-07,1897
2011-02-08,1866
2011-02-09,1926
2011-02-10,1907
2011-02-11,1829
2011-02-12,1795
2011-02-13,1786
2011-02-14,1771
2011-02-15,1382
2011-02-16,1171
2011-02-17,949
2011-02-18,1110
2011-02-19,1338
2011-02-20,1475
2011-02-21,1247
2011-02-22,1812
2011-02-23,1894
2011-02-24,1352
2011-02-25,1268
2011-02-26,1277
2011-02-27,1266
2011-02-28,1365
2011-03-01,1756
2011-03-02,1757
2011-03-03,1287
2011-03-04,1328
2011-03-05,1330
2011-03-06,1299
2011-03-07,1076
2011-03-08,1500
2011-03-09,1532
2011-03-10,2263
2011-03-11,1702
2011-03-12,1619
2011-03-13,1433
2011-03-14,1803
2011-03-15,1827
2011-03-16,1801
2011-03-17,2086
2011-03-18,2188
2011-03-19,2057
2011-03-20,1874
2011-03-21,2014
2011-03-22,1911
2011-03-23,1736
2011-03-24,1685
2011-03-25,1637
2011-03-26,1530
2011-03-27,1487
2011-03-28,1583
2011-03-29,1585
2011-03-30,1559
2011-03-31,2086
2011-04-01,2146
2011-04-02,1695
2011-04-03,1454
2011-04-04,2336
2011-04-05,2084
2011-04-06,1803
2011-04-07,1906
2011-04-08,1530
2011-04-09,1440
2011-04-10,1366
2011-04-11,1729
2011-04-12,2008
2011-04-13,2169
2011-04-14,1558
2011-04-15,1968
2011-04-16,1563
2011-04-17,1792
2011-04-18,1588
2011-04-19,1763
2011-04-20,1753
2011-04-21,1671
2011-04-22,1369
2011-04-23,1316
2011-04-24,1111
2011-04-25,1190
2011-04-26,1624
2011-04-27,2098
2011-04-28,1714
2011-04-29,1507
2011-04-30,1241
2011-05-01,1211
2011-05-02,1397
2011-05-03,2310
2011-05-04,2136
2011-05-05,1535
2011-05-06,1618
2011-05-07,1352
2011-05-08,1245
2011-05-09,1211
2011-05-10,1294
2011-05-11,1519
2011-05-12,1994
2011-05-13,1847
2011-05-14,1802
2011-05-15,1732
2011-05-16,1971
2011-05-17,1715
2011-05-18,1607
2011-05-19,1488
2011-05-20,1401
2011-05-21,1301
2011-05-22,1139
2011-05-23,1422
2011-05-24,1462
2011-05-25,1343
2011-05-26,1995
2011-05-27,2723
2011-05-28,2768
2011-05-29,2713
2011-05-30,2249
2011-05-31,2171
2011-06-01,2632
2011-06-02,1938
2011-06-03,1525
2011-06-04,1168
2011-06-05,1284
2011-06-06,2410
2011-06-07,2682
2011-06-08,2733
2011-06-09,2114
2011-06-10,2037
2011-06-11,2238
2011-06-12,2359
2011-06-13,1327
2011-06-14,1544
2011-06-15,1667
2011-06-16,2115
2011-06-17,1846
2011-06-18,1796
2011-06-19,1691
2011-06-20,1757
2011-06-21,1807
2011-06-22,1901
2011-06-23,1821
2011-06-24,1621
2011-06-25,1085
2011-06-26,1194
2011-06-27,1395
2011-06-28,2007
2011-06-29,1833
2011-06-30,2438
2011-07-01,1606
2011-07-02,1271
2011-07-03,2447
2011-07-04,2681
2011-07-05,1978
2011-07-06,1616
2011-07-07,1636
2011-07-08,1877
2011-07-09,2145
2011-07-10,4174
2011-07-11,4201
2011-07-12,2283
2011-07-13,2458
2011-07-14,2780
2011-07-15,1604
2011-07-16,1322
2011-07-17,2263
2011-07-18,1695
2011-07-19,1709
2011-07-20,4292
2011-07-21,2875
2011-07-22,2105
2011-07-23,1597
2011-07-24,2181
2011-07-25,1784
2011-07-26,1613
2011-07-27,1627
2011-07-28,1792
2011-07-29,1992
2011-07-30,2080
2011-07-31,1982
2011-08-01,1994
2011-08-02,1645
2011-08-03,1802
2011-08-04,2118
2011-08-05,1660
2011-08-06,1490
2011-08-07,2556
2011-08-08,2179
2011-08-09,2756
2011-08-10,1934
2011-08-11,1543
2011-08-12,1759
2011-08-13,1898
2011-08-14,2023
2011-08-15,2642
2011-08-16,3086
2011-08-17,1937
2011-08-18,1643
2011-08-19,2134
2011-08-20,1351
2011-08-21,1234
2011-08-22,1600
2011-08-23,1511
2011-08-24,1600
2011-08-25,2090
2011-08-26,1388
2011-08-27,2760
2011-08-28,1210
2011-08-29,1433
2011-08-30,1604
2011-08-31,1599
2011-09-01,1595
2011-09-02,1423
2011-09-03,1242
2011-09-04,1196
2011-09-05,3352
2011-09-06,2129
2011-09-07,1644
2011-09-08,2606
2011-09-09,1999
2011-09-10,1280
2011-09-11,1186
2011-09-12,1429
2011-09-13,1350
2011-09-14,1931
2011-09-15,1930
2011-09-16,1478
2011-09-17,1554
2011-09-18,1890
2011-09-19,2084
2011-09-20,2458
2011-09-21,1715
2011-09-22,1614
2011-09-23,1347
2011-09-24,1274
