datum,q_kalteneck,q_schrottenbaummuehle,q_fuersteneck
2004-01-01,9.15,2.41,15.4
2004-01-02,9.98,2.31,15.1
2004-01-03,11.2,1.96,14.9
2004-01-04,13.4,2.18,14.8
2004-01-05,13.9,2.06,14.6
2004-01-06,13.2,2.55,14.7
2004-01-07,17.1,3.2,11.8
2004-01-08,15.7,2.44,8.96
2004-01-09,14.7,3.11,11.3
2004-01-10,13.6,2.76,13.1
2004-01-11,13.3,2.87,15.7
2004-01-12,45.7,17.4,22.2
2004-01-13,79.9,30.5,21.6
2004-01-14,106,45.5,21.9
2004-01-15,44.9,18.2,18.4
2004-01-16,31.2,12.5,12.3
2004-01-17,34.7,13.6,11.1
2004-01-18,27,10.9,10.8
2004-01-19,21.5,8.59,8.52
2004-01-20,20.2,7.76,7.46
2004-01-21,17.8,6.76,6.97
2004-01-22,13.3,5.18,6.97
2004-01-23,15,6.68,6.97
2004-01-24,14.5,12,6.97
2004-01-25,14.1,16.6,6.97
2004-01-26,13.6,8.18,6.97
2004-01-27,13.1,7.09,6.97
2004-01-28,12.7,5.72,6.97
2004-01-29,12.2,4.99,6.97
2004-01-30,11.8,4.39,6.97
2004-01-31,11.6,5.28,6.97
2004-02-01,12.5,5.13,6.94
2004-02-02,19.1,7.97,12.2
2004-02-03,73.6,32.3,23.9
2004-02-04,42.3,18.9,17.8
2004-02-05,32,14.4,13.5
2004-02-06,31.2,14,9.81
2004-02-07,36.8,16.8,13
2004-02-08,40.7,18.1,14.9
2004-02-09,31.7,13.9,12.3
2004-02-10,26.1,11.3,10.6
2004-02-11,24.1,11.1,9.75
2004-02-12,20.8,10.1,9.03
2004-02-13,18.8,8.9,8.18
2004-02-14,17.9,8.19,7.72
2004-02-15,18.7,8.56,7.82
2004-02-16,18.3,8.51,7.67
2004-02-17,16.3,7.4,7.16
2004-02-18,15.7,7.25,6.96
2004-02-19,14.6,6.77,6.62
2004-02-20,13.3,6.26,6.11
2004-02-21,13.4,6.18,6.07
2004-02-22,13.2,6.2,6.26
2004-02-23,13,6.91,6.8
2004-02-24,12.8,6.49,6.23
2004-02-25,12.6,6.13,6.16
2004-02-26,12.3,6.01,5.61
2004-02-27,12.1,5.84,5.21
2004-02-28,12,5.68,4.94
2004-02-29,11.1,4.96,4.77
2004-03-01,10.7,4.87,4.52
2004-03-02,10.5,4.57,4.73
2004-03-03,10.1,4.87,4.44
2004-03-04,9.89,4.89,4.16
2004-03-05,9.06,4.2,3.87
2004-03-06,9.07,4.54,4.78
2004-03-07,9.6,4.7,4.13
2004-03-08,9.18,4.1,3.75
2004-03-09,9.16,3.87,3.7
2004-03-10,8.93,3.82,3.69
2004-03-11,8.7,3.82,3.7
2004-03-12,8.96,3.85,3.81
2004-03-13,10,4.31,4.21
2004-03-14,11.5,5.23,4.68
2004-03-15,12.9,5.47,6
2004-03-16,18.7,7.89,8.37
2004-03-17,24.5,10.7,9.74
2004-03-18,29.1,12.6,10.6
2004-03-19,32.3,13.9,11.9
2004-03-20,47.1,19.8,18.5
2004-03-21,64.2,24,28.2
2004-03-22,47.7,18.5,20.9
2004-03-23,35.2,14.2,15.7
2004-03-24,30.4,12.1,13.9
2004-03-25,28.7,11.1,13.2
2004-03-26,24.3,9.86,11.4
2004-03-27,21.1,8.76,10.4
2004-03-28,19.2,8.09,9.61
2004-03-29,17.8,7.48,9.04
2004-03-30,17.8,7.36,9.13
2004-03-31,18,7.39,9.17
2004-04-01,19,8.14,9.56
2004-04-02,21.7,9.21,10.6
2004-04-03,24.5,10.3,11.4
2004-04-04,23.7,9.79,11.5
2004-04-05,29.2,11.6,14.2
2004-04-06,42.3,17.6,19.4
2004-04-07,36.9,15.8,16.2
2004-04-08,32.6,13.9,14.5
2004-04-09,29.7,12.8,13.5
2004-04-10,25.5,10.6,12.2
2004-04-11,25.9,10,12.5
2004-04-12,22.9,9.21,11.5
2004-04-13,21.6,8.71,10.8
2004-04-14,20.7,8.32,10.4
2004-04-15,20.6,8.33,10.6
2004-04-16,21.6,8.53,10.8
2004-04-17,21.4,8.43,10.9
2004-04-18,21.5,8.38,11
2004-04-19,22,8.67,11
2004-04-20,19.9,7.64,10.4
2004-04-21,18.9,7.34,9.87
2004-04-22,18.1,7.01,9.72
2004-04-23,18.6,7.11,10.1
2004-04-24,26.8,10,13.4
2004-04-25,20.4,7.97,10.6
2004-04-26,17.3,6.8,9.42
2004-04-27,16.2,6.38,9.05
2004-04-28,15.7,6.14,8.84
2004-04-29,15.8,6.11,8.7
2004-04-30,15.2,5.93,8.56
2004-05-01,14.5,5.6,8.13
2004-05-02,13.7,5.2,7.7
2004-05-03,13,4.99,7.37
2004-05-04,12.2,4.61,7.08
2004-05-05,11.7,4.42,6.87
2004-05-06,11.8,4.67,6.85
2004-05-07,24.7,10.4,11.6
2004-05-08,19.5,8.58,9.68
2004-05-09,15.5,6.91,8.04
2004-05-10,15.7,6.99,8
2004-05-11,13.9,5.89,7.41
2004-05-12,12.5,5.32,6.99
2004-05-13,11.9,5.23,6.62
2004-05-14,11.2,4.74,6.4
2004-05-15,10.3,4.04,6.17
2004-05-16,12.3,5.25,6.87
2004-05-17,11.5,5.28,6.51
2004-05-18,10.2,4.44,6.13
2004-05-19,9.41,4.01,5.88
2004-05-20,8.93,3.75,5.53
2004-05-21,9.33,4.07,5.6
2004-05-22,10.3,4.63,6.09
2004-05-23,9.63,4.35,5.71
2004-05-24,9.21,3.98,5.44
2004-05-25,8.82,3.64,5.25
2004-05-26,8.63,3.62,5.07
2004-05-27,8.29,3.41,4.91
2004-05-28,8.22,3.4,4.91
2004-05-29,8.02,3.19,4.71
2004-05-30,7.98,3.14,4.59
2004-05-31,7.89,3.05,4.55
2004-06-01,12.2,4.96,7.19
2004-06-02,26.6,9.88,14.3
2004-06-03,40.3,16.7,17.3
2004-06-04,21,9.14,9.89
2004-06-05,40,20.6,14.5
2004-06-06,32.5,16.8,12.2
2004-06-07,20.4,10.7,8.84
2004-06-08,15.5,7.94,7.06
2004-06-09,13.2,6.52,6.16
2004-06-10,12.8,5.8,5.67
2004-06-11,14.6,6.2,6.62
2004-06-12,16.8,6.95,7.76
2004-06-13,14.1,6.1,6.34
2004-06-14,12.6,5.62,5.55
2004-06-15,10.6,5.05,5.18
2004-06-16,9.98,4.67,5.09
2004-06-17,8.72,4.41,4.85
2004-06-18,8.98,4.47,4.81
2004-06-19,9.27,4.36,4.88
2004-06-20,13,5.48,6.45
2004-06-21,13.4,6.48,6.6
2004-06-22,10.2,4.88,5.24
2004-06-23,9.25,4.34,4.77
2004-06-24,10.4,4.81,5.5
2004-06-25,8.76,4.09,4.5
2004-06-26,8.26,3.93,4.19
2004-06-27,8.02,3.61,4.03
2004-06-28,7.82,3.39,3.9
2004-06-29,7.63,3.25,3.79
2004-06-30,7.47,3.26,3.65
2004-07-01,7.75,3.47,3.66
2004-07-02,7.92,3.37,3.91
2004-07-03,8.72,4.03,4.43
2004-07-04,7.89,3.61,3.68
2004-07-05,7.3,3.23,3.52
2004-07-06,7.57,3.65,3.87
2004-07-07,7.26,3.51,3.82
2004-07-08,6.76,3.05,3.39
2004-07-09,10.4,5.16,5.33
2004-07-10,9.1,4.86,4.48
2004-07-11,9.03,4.33,4.71
2004-07-12,10.8,5.47,5.24
2004-07-13,10.6,4.99,5.21
2004-07-14,9.26,4.5,4.63
2004-07-15,12,6.03,5.94
2004-07-16,17.5,9.68,6.52
2004-07-17,11,5.65,4.55
2004-07-18,8.55,3.85,3.86
