datum,e.coli,entero
2008-04-08T00:00:00Z,10,21
2008-04-29T00:00:00Z,1500,87
2008-05-20T00:00:00Z,610,10
2008-05-26T00:00:00Z,43,10
2008-06-11T00:00:00Z,98,87
2008-06-25T00:00:00Z,21,10
2008-07-07T00:00:00Z,21,32
2008-08-05T00:00:00Z,10,32
2008-08-20T00:00:00Z,32,10
2008-09-09T00:00:00Z,110,10
2008-09-18T00:00:00Z,21,21
2008-09-26T00:00:00Z,10,10
2008-10-15T00:00:00Z,76,10
2008-10-29T00:00:00Z,10,10
2009-04-27T00:00:00Z,300,10
2009-06-29T00:00:00Z,3500,520
2009-08-03T00:00:00Z,890,94
2009-09-01T00:00:00Z,1100,94
2010-03-29T00:00:00Z,76,10
2010-04-26T00:00:00Z,21,10
2010-05-10T00:00:00Z,65,10
2010-06-07T00:00:00Z,4600,590
2010-07-19T00:00:00Z,1500,2e3
2010-08-10T00:00:00Z,760,190
2010-09-20T00:00:00Z,65,10
2010-10-11T00:00:00Z,320,10
2011-08-11T00:00:00Z,340,220
2011-08-24T00:00:00Z,87,65
2011-08-31T00:00:00Z,65,32
2011-09-16T00:00:00Z,470,320
2011-09-27T00:00:00Z,53,10
2012-07-24T00:00:00Z,10,10
2012-08-21T00:00:00Z,120,21
2012-08-29T00:00:00Z,65,10
2012-09-10T00:00:00Z,43,32
2012-09-17T00:00:00Z,87,10
2013-07-02T00:00:00Z,53,10
2013-07-29T00:00:00Z,21,10
2013-09-10T00:00:00Z,150,10
2013-10-08T00:00:00Z,2e3,180
2014-04-01T00:00:00Z,130,21
2014-05-06T00:00:00Z,87,10
2014-06-03T00:00:00Z,21,10
2014-07-01T00:00:00Z,170,10
2014-08-05T00:00:00Z,1600,390
2014-09-09T00:00:00Z,520,53
2014-10-07T00:00:00Z,330,32
2015-04-27T00:00:00Z,10,10
2015-05-05T00:00:00Z,43,10
2015-06-02T00:00:00Z,76,21
2015-07-07T00:00:00Z,21,10
2015-08-04T00:00:00Z,10,10
2015-09-22T00:00:00Z,65,10
2015-10-20T00:00:00Z,150,10
2015-11-09T00:00:00Z,170,10
2015-12-07T00:00:00Z,150,10
2016-02-23T00:00:00Z,290,32
2016-03-07T00:00:00Z,300,43
2016-03-15T00:00:00Z,520,110
2016-04-05T00:00:00Z,76,10
2016-04-11T00:00:00Z,120,10
2016-05-03T00:00:00Z,10,10
2016-05-10T00:00:00Z,21,10
2016-06-07T00:00:00Z,150,21
2016-06-14T00:00:00Z,53,32
2016-07-05T00:00:00Z,32,32
2016-07-19T00:00:00Z,76,32
2016-08-09T00:00:00Z,170,76
2016-08-16T00:00:00Z,53,10
2016-09-06T00:00:00Z,110,10
2016-09-13T00:00:00Z,65,10
2016-10-04T00:00:00Z,110,21
2016-11-08T00:00:00Z,2200,76
2017-03-07T00:00:00Z,170,10
2017-04-18T00:00:00Z,53,10
2017-05-09T00:00:00Z,2900,510
2017-06-20T00:00:00Z,21,21
2017-07-17T00:00:00Z,170,10
2017-08-01T00:00:00Z,490,76
2017-09-19T00:00:00Z,32,10
2017-10-10T00:00:00Z,450,98
