datum,i_freising
2008-01-01T00:00:00Z,200.2
2008-01-02T00:00:00Z,616.3
2008-01-03T00:00:00Z,1222.4
2008-01-04T00:00:00Z,1033.2
2008-01-05T00:00:00Z,631
2008-01-06T00:00:00Z,697.7
2008-01-07T00:00:00Z,633
2008-01-08T00:00:00Z,1664.8
2008-01-09T00:00:00Z,455.8
2008-01-10T00:00:00Z,1651.9
2008-01-11T00:00:00Z,1864.1
2008-01-12T00:00:00Z,494.4
2008-01-13T00:00:00Z,442.8
2008-01-14T00:00:00Z,437
2008-01-15T00:00:00Z,1756.2
2008-01-16T00:00:00Z,509
2008-01-17T00:00:00Z,1302.9
2008-01-18T00:00:00Z,1209.2
2008-01-19T00:00:00Z,1046.1
2008-01-20T00:00:00Z,1163.7
2008-01-21T00:00:00Z,1570.1
2008-01-22T00:00:00Z,585.2
2008-01-23T00:00:00Z,2149.6
2008-01-24T00:00:00Z,2109.4
2008-01-25T00:00:00Z,1797.3
2008-01-26T00:00:00Z,2127.7
2008-01-27T00:00:00Z,406.2
2008-01-28T00:00:00Z,1444.6
2008-01-29T00:00:00Z,2058.1
2008-01-30T00:00:00Z,826.6
2008-01-31T00:00:00Z,761.3
2008-02-01T00:00:00Z,988
2008-02-02T00:00:00Z,1366
2008-02-03T00:00:00Z,2849.1
2008-02-04T00:00:00Z,1580.2
2008-02-05T00:00:00Z,2252.1
2008-02-06T00:00:00Z,1273
2008-02-07T00:00:00Z,2450.3
2008-02-08T00:00:00Z,2977.7
2008-02-09T00:00:00Z,3015.7
2008-02-10T00:00:00Z,2846.2
2008-02-11T00:00:00Z,3063.6
2008-02-12T00:00:00Z,2979.4
2008-02-13T00:00:00Z,885.6
2008-02-14T00:00:00Z,994.2
2008-02-15T00:00:00Z,926.4
2008-02-16T00:00:00Z,3500.1
2008-02-17T00:00:00Z,3238.4
2008-02-18T00:00:00Z,3541.1
2008-02-19T00:00:00Z,3383.9
2008-02-20T00:00:00Z,3276.8
2008-02-21T00:00:00Z,1708.2
2008-02-22T00:00:00Z,2469.6
2008-02-23T00:00:00Z,2255
2008-02-24T00:00:00Z,3627.8
2008-02-25T00:00:00Z,2593.2
2008-02-26T00:00:00Z,3605.7
2008-02-27T00:00:00Z,1903.2
2008-02-28T00:00:00Z,3329.3
2008-02-29T00:00:00Z,1020
2008-03-01T00:00:00Z,2024.4
2008-03-02T00:00:00Z,1154.1
2008-03-03T00:00:00Z,1398.1
2008-03-04T00:00:00Z,2003.5
2008-03-05T00:00:00Z,3707.8
2008-03-06T00:00:00Z,4586.7
2008-03-07T00:00:00Z,3053.4
2008-03-08T00:00:00Z,971.7
2008-03-09T00:00:00Z,4299.6
2008-03-10T00:00:00Z,4333.4
2008-03-11T00:00:00Z,1957.9
2008-03-12T00:00:00Z,2162
2008-03-13T00:00:00Z,1434.1
2008-03-14T00:00:00Z,844.7
2008-03-15T00:00:00Z,3702.2
2008-03-16T00:00:00Z,1348.2
2008-03-17T00:00:00Z,1208.7
2008-03-18T00:00:00Z,4817.8
2008-03-19T00:00:00Z,2870.6
2008-03-20T00:00:00Z,2625.6
2008-03-21T00:00:00Z,822.4
2008-03-22T00:00:00Z,3176.3
2008-03-23T00:00:00Z,2796.5
2008-03-24T00:00:00Z,4479.5
2008-03-25T00:00:00Z,2754.6
2008-03-26T00:00:00Z,2289.2
2008-03-27T00:00:00Z,2721.7
2008-03-28T00:00:00Z,5098.1
2008-03-29T00:00:00Z,4919.8
2008-03-30T00:00:00Z,5619.7
2008-03-31T00:00:00Z,4171.6
2008-04-01T00:00:00Z,2950.5
2008-04-02T00:00:00Z,3115.6
2008-04-03T00:00:00Z,2796.5
