datum,ka_muenchen2,ka_ismaning,ka_freising,ka_grueneck
2008-01-01,148e3,3302,NA,8622
2008-01-02,157500,3559,NA,9457
2008-01-03,158800,3379,NA,9717
2008-01-04,158200,3262,NA,10149
2008-01-05,157500,3317,NA,10178
2008-01-06,278500,3971,NA,11249
2008-01-07,256600,4235,NA,11433
2008-01-08,222900,3757,NA,7896
2008-01-09,171700,3721,NA,9828
2008-01-10,174200,3653,NA,10306
2008-01-11,160100,3420,NA,10162
2008-01-12,160600,3411,NA,9868
2008-01-13,161500,3343,NA,9528
2008-01-14,162200,3675,NA,9900
2008-01-15,163700,3490,NA,10209
2008-01-16,163300,3562,NA,10158
2008-01-17,170300,3464,NA,10190
2008-01-18,258400,3638,NA,10774
2008-01-19,159200,3345,NA,9770
2008-01-20,158500,3355,NA,9367
2008-01-21,152300,3650,NA,9890
2008-01-22,212200,3784,NA,10600
2008-01-23,173500,3621,NA,10140
2008-01-24,207300,3603,NA,10035
2008-01-25,228100,3457,NA,10404
2008-01-26,154300,3414,NA,9949
2008-01-27,157e3,3363,NA,9433
2008-01-28,158300,3624,NA,10079
2008-01-29,158100,3627,NA,10053
2008-01-30,170400,3575,NA,10224
2008-01-31,158900,3420,NA,10189
2008-02-01,158600,3421,NA,10079
2008-02-02,189e3,3380,NA,9712
2008-02-03,148300,3182,NA,8906
2008-02-04,174100,3478,NA,9521
2008-02-05,153100,3183,NA,9724
2008-02-06,192300,3623,NA,9855
2008-02-07,191600,3384,NA,9888
2008-02-08,157700,3250,NA,9810
2008-02-09,151700,3231,NA,9527
2008-02-10,153700,3342,NA,9264
2008-02-11,154200,3609,NA,9743
2008-02-12,146800,3556,NA,9822
2008-02-13,155700,3492,NA,9985
2008-02-14,155800,3481,NA,9955
2008-02-15,156400,3218,NA,9921
2008-02-16,150100,3209,NA,9576
2008-02-17,151600,3223,NA,9290
2008-02-18,157100,3620,NA,9685
2008-02-19,154100,3428,NA,9861
2008-02-20,154600,3417,NA,9926
2008-02-21,155900,3460,NA,9777
2008-02-22,154800,3302,NA,9969
2008-02-23,150900,3278,NA,9458
2008-02-24,155500,3185,NA,8898
2008-02-25,153800,3590,NA,9494
2008-02-26,119300,3441,NA,9758
2008-02-27,198600,3409,NA,9718
2008-02-28,166900,3418,NA,9796
2008-02-29,205200,3390,NA,10009
2008-03-01,279400,3843,NA,10576
2008-03-02,148500,3323,NA,9122
2008-03-03,181200,3721,NA,10074
2008-03-04,165400,3491,NA,9767
2008-03-05,167700,3498,NA,9987
2008-03-06,151800,3401,NA,9838
2008-03-07,149300,3301,NA,9758
2008-03-08,145500,3200,NA,9394
2008-03-09,145500,3232,NA,9087
2008-03-10,161100,3454,NA,9631
2008-03-11,155700,3479,NA,9733
2008-03-12,247800,3733,NA,10843
2008-03-13,209e3,3428,NA,9990
2008-03-14,274900,4942,NA,11197
2008-03-15,201500,3936,NA,10298
2008-03-16,171500,3550,NA,9200
2008-03-17,164500,3891,NA,9602
2008-03-18,214600,3670,NA,9647
2008-03-19,150800,3670,NA,9615
2008-03-20,153200,3527,NA,9532
2008-03-21,247900,3303,NA,8992
2008-03-22,138200,3215,NA,8338
2008-03-23,132300,3107,NA,7813
2008-03-24,135700,3147,NA,7985
2008-03-25,154600,3500,NA,9275
2008-03-26,161700,3517,NA,9439
2008-03-27,143700,3381,NA,9649
2008-03-28,153300,3237,NA,9656
2008-03-29,149600,3340,NA,9291
2008-03-30,147500,3117,NA,8631
2008-03-31,145100,3622,NA,11991
2008-04-01,145300,3486,NA,10726
2008-04-02,231e3,3736,NA,10104
2008-04-03,249200,3883,NA,10221
2008-04-04,234300,3643,NA,10083
2008-04-05,161200,3462,NA,9584
2008-04-06,221300,3630,NA,9446
2008-04-07,178e3,3936,NA,9734
2008-04-08,140400,3673,NA,9802
2008-04-09,151300,3690,NA,9974
2008-04-10,143800,3723,NA,9967
2008-04-11,172500,3631,NA,8886
2008-04-12,154100,3520,NA,9560
2008-04-13,143500,3427,NA,8801
2008-04-14,166800,3882,NA,11631
2008-04-15,188500,3737,NA,10781
2008-04-16,147800,3704,NA,9809
2008-04-17,148e3,3662,NA,10030
2008-04-18,142300,3472,NA,9748
2008-04-19,165e3,3538,NA,9630
2008-04-20,141e3,3358,NA,8846
2008-04-21,175500,3932,NA,9599
2008-04-22,269500,5745,NA,12921
2008-04-23,273100,4396,NA,10109
2008-04-24,260200,4693,NA,10778
2008-04-25,272400,4472,NA,8708
2008-04-26,274200,4283,NA,10128
2008-04-27,224600,4078,NA,9388
2008-04-28,156600,4828,NA,10576
2008-04-29,273100,6294,NA,12937
2008-04-30,276900,5813,NA,11869
2008-05-01,247500,5351,NA,10269
2008-05-02,255100,4904,NA,10244
2008-05-03,227700,4846,NA,10151
2008-05-04,185300,4629,NA,9730
2008-05-05,205800,4858,NA,10840
2008-05-06,187400,4569,NA,10948
2008-05-07,188500,4481,NA,10908
2008-05-08,19e4,4370,NA,10951
2008-05-09,177300,4156,NA,10769
2008-05-10,11700,3708,NA,9851
2008-05-11,45900,3413,NA,8827
2008-05-12,88800,3559,NA,8966
2008-05-13,138e3,4304,NA,10018
2008-05-14,104800,4047,NA,10031
2008-05-15,92700,3918,NA,10138
2008-05-16,132e3,3922,NA,10392
2008-05-17,153700,3608,NA,9433
2008-05-18,244700,4324,NA,10888
2008-05-19,243400,4482,NA,10205
2008-05-20,158800,3897,NA,10127
2008-05-21,146900,3923,NA,9851
2008-05-22,152700,3451,NA,9243
2008-05-23,140500,3481,NA,9356
2008-05-24,140800,3587,NA,9290
2008-05-25,139100,3567,NA,9401
2008-05-26,158e3,3810,NA,10294
2008-05-27,163200,3659,NA,10590
2008-05-28,185300,3682,NA,10594
2008-05-29,190600,3735,NA,10509
2008-05-30,198100,4934,NA,13467
2008-05-31,168300,3675,NA,10025
2008-06-01,175700,3429,NA,9447
2008-06-02,161700,3759,NA,10323
2008-06-03,141500,3611,NA,10101
2008-06-04,181e3,4311,NA,12110
2008-06-05,293800,4920,NA,12766
2008-06-06,282200,4420,NA,10635
2008-06-07,341800,17218,NA,17794
2008-06-08,317500,11635,NA,10968
2008-06-09,235700,8775,NA,11204
2008-06-10,149800,7405,NA,11460
2008-06-11,164100,6571,NA,11174
2008-06-12,219500,6389,NA,11389
2008-06-13,258500,6781,NA,11786
2008-06-14,201100,5478,NA,10780
2008-06-15,188300,5029,NA,10311
2008-06-16,191100,5135,NA,10838
2008-06-17,197100,4872,NA,11175
2008-06-18,184500,4904,NA,11578
2008-06-19,203400,4872,NA,11298
2008-06-20,173500,4449,NA,11155
2008-06-21,154200,3961,NA,10543
2008-06-22,155700,3823,NA,10248
2008-06-23,182900,4637,NA,11168
2008-06-24,230700,4166,NA,11438
2008-06-25,189800,4295,NA,12286
2008-06-26,231300,4028,NA,11190
2008-06-27,18e4,3752,NA,11245
2008-06-28,154e3,3521,NA,10586
2008-06-29,154900,3477,NA,10530
2008-06-30,301400,4823,NA,14995
2008-07-01,238300,3991,NA,11669
2008-07-02,195400,3946,NA,11718
2008-07-03,263900,4105,NA,12105
2008-07-04,193300,3724,NA,11202
2008-07-05,148400,3446,NA,10868
2008-07-06,151400,3514,NA,10595
2008-07-07,177400,3776,NA,11216
2008-07-08,179900,3749,NA,11054
2008-07-09,165500,3599,NA,11150
2008-07-10,142300,3659,NA,11406
2008-07-11,184400,4184,NA,13828
2008-07-12,298900,3922,NA,12773
2008-07-13,348900,4446,NA,11997
2008-07-14,349300,5458,NA,13243
2008-07-15,265e3,4664,NA,11872
2008-07-16,207500,4430,NA,12328
2008-07-17,339600,5097,NA,13645
2008-07-18,239800,4424,NA,12551
2008-07-19,222300,4095,NA,11880
2008-07-20,198200,4450,NA,12379
2008-07-21,210500,4454,NA,12174
2008-07-22,204300,4172,NA,12123
2008-07-23,173100,4053,NA,12527
2008-07-24,166900,4102,NA,12315
2008-07-25,161200,3880,NA,12067
2008-07-26,158400,3627,NA,11396
2008-07-27,157600,3536,NA,10808
2008-07-28,171900,3885,NA,12498
2008-07-29,155200,3957,NA,12292
2008-07-30,164e3,3673,NA,11970
2008-07-31,164100,3644,NA,11599
2008-08-01,150700,3533,NA,11628
2008-08-02,219e3,3388,NA,11079
2008-08-03,180400,3286,NA,10063
2008-08-04,161200,3506,NA,11083
2008-08-05,168700,3417,NA,10974
2008-08-06,175500,3421,NA,10887
2008-08-07,163300,3391,NA,10941
2008-08-08,188300,3172,NA,10774
2008-08-09,197500,3010,NA,10046
2008-08-10,139600,2968,NA,9413
2008-08-11,19e4,3264,NA,10358
2008-08-12,199300,3387,NA,10697
2008-08-13,170500,3721,NA,10602
2008-08-14,209700,3510,NA,10256
2008-08-15,315300,3819,NA,11661
2008-08-16,266600,3211,NA,9370
2008-08-17,197e3,3044,NA,9328
2008-08-18,157900,3319,NA,10611
2008-08-19,201300,3488,NA,11309
2008-08-20,271700,3743,NA,11983
2008-08-21,150200,3325,NA,10657
2008-08-22,217200,3704,NA,10923
2008-08-23,278800,3520,NA,10311
2008-08-24,189800,3262,NA,9568
2008-08-25,143900,3495,NA,10144
2008-08-26,166400,3417,NA,10347
2008-08-27,148500,3403,NA,10234
2008-08-28,181500,3288,NA,10158
2008-08-29,139300,3099,NA,10029
2008-08-30,133900,3087,NA,9545
2008-08-31,132100,3010,NA,9198
2008-09-01,166600,3471,NA,10501
2008-09-02,201200,3312,NA,10307
2008-09-03,162500,3402,NA,10512
2008-09-04,175700,3368,NA,10075
2008-09-05,147200,3121,NA,10119
2008-09-06,141100,2987,NA,9491
2008-09-07,182300,3030,NA,9253
2008-09-08,15e4,3295,NA,9743
2008-09-09,144700,3340,NA,10178
2008-09-10,151800,3264,NA,10154
2008-09-11,174800,3369,NA,10442
2008-09-12,192700,3141,NA,10097
2008-09-13,143e3,3050,NA,9478
2008-09-14,152e3,3129,NA,9285
2008-09-15,186500,3585,NA,10471
2008-09-16,193300,3652,NA,10486
