datum,q_freising
2008-01-01,20.1
2008-01-02,19.8
2008-01-03,19.5
2008-01-04,19.4
2008-01-05,19.6
2008-01-06,20.8
2008-01-07,21
2008-01-08,21.2
2008-01-09,20.3
2008-01-10,20.3
2008-01-11,20.1
2008-01-12,20.1
2008-01-13,20
2008-01-14,20
2008-01-15,20
2008-01-16,20
2008-01-17,20
2008-01-18,20.9
2008-01-19,20.3
2008-01-20,20.1
2008-01-21,19.9
2008-01-22,20.2
2008-01-23,20.3
2008-01-24,20.2
2008-01-25,20.6
2008-01-26,20.2
2008-01-27,19.8
2008-01-28,19.8
2008-01-29,19.8
2008-01-30,19.9
2008-01-31,19.9
2008-02-01,19.7
2008-02-02,19.9
2008-02-03,19.7
2008-02-04,19.5
2008-02-05,19.7
2008-02-06,19.6
2008-02-07,20.2
2008-02-08,19.6
2008-02-09,19.4
2008-02-10,19.2
2008-02-11,19.2
2008-02-12,19.1
2008-02-13,19.1
2008-02-14,19
2008-02-15,19
2008-02-16,18.8
2008-02-17,18.5
2008-02-18,17.8
2008-02-19,17.8
2008-02-20,18.4
2008-02-21,18.3
2008-02-22,18.1
2008-02-23,18.1
2008-02-24,17.8
2008-02-25,17.6
2008-02-26,17.6
2008-02-27,18.6
2008-02-28,18.8
2008-02-29,18.8
2008-03-01,21.1
2008-03-02,23.4
2008-03-03,23
2008-03-04,23.6
2008-03-05,23.6
2008-03-06,23.6
2008-03-07,23.4
2008-03-08,23.2
2008-03-09,23.2
2008-03-10,23.2
2008-03-11,23.5
2008-03-12,23.2
2008-03-13,24.7
2008-03-14,24.4
2008-03-15,23.2
2008-03-16,22.4
2008-03-17,22.5
2008-03-18,23.6
2008-03-19,23.3
2008-03-20,22.9
2008-03-21,23.1
2008-03-22,23.5
2008-03-23,23.2
2008-03-24,23.3
2008-03-25,23.3
2008-03-26,23.2
2008-03-27,23.3
2008-03-28,23.8
2008-03-29,23
2008-03-30,22.9
2008-03-31,23
2008-04-01,23.5
2008-04-02,24.4
2008-04-03,24.8
2008-04-04,25.2
2008-04-05,24.3
2008-04-06,24.9
2008-04-07,24.8
2008-04-08,24.8
2008-04-09,25
2008-04-10,25.2
2008-04-11,25.3
2008-04-12,25.4
2008-04-13,25.7
2008-04-14,26
2008-04-15,26.3
2008-04-16,26.4
2008-04-17,26.2
2008-04-18,27.1
2008-04-19,28.1
2008-04-20,29.2
2008-04-21,30.4
2008-04-22,38.1
2008-04-23,152
2008-04-24,107
2008-04-25,69.3
2008-04-26,85.4
2008-04-27,47.3
2008-04-28,36.1
2008-04-29,66.5
2008-04-30,91.9
2008-05-01,54.4
2008-05-02,37.2
2008-05-03,33.1
2008-05-04,32.2
2008-05-05,32.1
2008-05-06,32.1
2008-05-07,31.6
2008-05-08,31.6
2008-05-09,31.3
2008-05-10,30.6
2008-05-11,29.8
2008-05-12,30.2
2008-05-13,30.2
2008-05-14,31.3
2008-05-15,33.5
2008-05-16,34.8
2008-05-17,34.8
2008-05-18,32.2
2008-05-19,33.5
2008-05-20,35.8
2008-05-21,33.5
2008-05-22,30.9
2008-05-23,30.8
2008-05-24,30.8
2008-05-25,30.7
2008-05-26,30.9
2008-05-27,30.7
2008-05-28,31.3
2008-05-29,30.9
2008-05-30,31.3
2008-05-31,31.1
2008-06-01,33.5
2008-06-02,34.6
2008-06-03,33.5
2008-06-04,34.5
2008-06-05,35.5
2008-06-06,35.9
2008-06-07,38.8
2008-06-08,37.8
2008-06-09,37.1
2008-06-10,37.1
2008-06-11,37
2008-06-12,36.6
2008-06-13,38.5
2008-06-14,38.1
2008-06-15,37.5
2008-06-16,37.4
2008-06-17,37.8
2008-06-18,37.3
2008-06-19,37.4
2008-06-20,37.4
2008-06-21,37
2008-06-22,37
2008-06-23,37.2
2008-06-24,37.5
2008-06-25,36.7
2008-06-26,37
2008-06-27,37
2008-06-28,37.4
2008-06-29,37.9
2008-06-30,39.4
2008-07-01,36.9
2008-07-02,35.9
2008-07-03,36.3
2008-07-04,35.9
2008-07-05,36.2
2008-07-06,35.6
2008-07-07,36.1
2008-07-08,36.1
2008-07-09,36.2
2008-07-10,36.2
2008-07-11,37.5
2008-07-12,39.1
2008-07-13,39.5
2008-07-14,73.9
2008-07-15,180
2008-07-16,156
2008-07-17,125
2008-07-18,89.5
2008-07-19,42.8
2008-07-20,39
2008-07-21,38.1
2008-07-22,51.9
2008-07-23,48
2008-07-24,46.2
2008-07-25,35.3
2008-07-26,33.8
2008-07-27,33.3
2008-07-28,33.2
2008-07-29,33.1
2008-07-30,32.7
2008-07-31,33.6
2008-08-01,31.4
2008-08-02,30.9
2008-08-03,30.5
2008-08-04,30.4
2008-08-05,30.7
2008-08-06,30.5
2008-08-07,30.3
2008-08-08,30.7
2008-08-09,30.9
2008-08-10,30.7
2008-08-11,30.6
2008-08-12,32.1
2008-08-13,31.1
2008-08-14,30.7
2008-08-15,45.8
2008-08-16,144
2008-08-17,112
2008-08-18,65
2008-08-19,43.9
2008-08-20,34.9
2008-08-21,31.8
2008-08-22,30.2
2008-08-23,31.4
2008-08-24,30.1
2008-08-25,28.9
2008-08-26,29.4
2008-08-27,28.8
2008-08-28,29
2008-08-29,28.9
2008-08-30,29
2008-08-31,28.9
2008-09-01,26.9
2008-09-02,26.4
2008-09-03,25.9
2008-09-04,26.2
2008-09-05,25.9
2008-09-06,25.5
2008-09-07,25.6
2008-09-08,25.8
2008-09-09,26
2008-09-10,25.7
2008-09-11,25.7
2008-09-12,26.2
2008-09-13,25.5
2008-09-14,25.7
