datum,r_freising,r_muenchen_flughafen,r_neufahrn,r_oberschleissheim,r_unterfoehring,r_muenchen_stadt,r_krailling,r_oberhaching_laufzorn
2008-01-01T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-02T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-03T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-04T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-05T00:00:00Z,4,7.7,NA,8.1,6.8,7,8,6.3
2008-01-06T00:00:00Z,7.6,1,NA,1.5,1.3,1.2,1.5,2.8
2008-01-07T00:00:00Z,9,8.8,NA,8.5,5.2,8.5,8.4,11.3
2008-01-08T00:00:00Z,0.1,0,NA,0,0,0,0,0
2008-01-09T00:00:00Z,0,0,NA,0,1.4,0,0.1,0.9
2008-01-10T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-11T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-12T00:00:00Z,0,0,NA,0,0.6,0,0,0
2008-01-13T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-14T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-15T00:00:00Z,0,0,NA,0,0.3,0.1,0,0.1
2008-01-16T00:00:00Z,0,0,NA,0,0.2,0.1,0.4,0.7
2008-01-17T00:00:00Z,0,6,NA,6.4,6.8,7.5,8.6,8.6
2008-01-18T00:00:00Z,9,0.3,NA,0.4,1.2,0.3,0.3,0.6
2008-01-19T00:00:00Z,0,0,NA,0,0.3,0,0,0
2008-01-20T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-21T00:00:00Z,0,1.5,NA,0.2,0.6,0.1,0.8,1.4
2008-01-22T00:00:00Z,6.6,3.6,NA,5.5,4.2,4.4,2.5,3.8
2008-01-23T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-24T00:00:00Z,0,3.1,NA,3.2,4.9,3.9,3,3.2
2008-01-25T00:00:00Z,4.1,0,NA,0,0,0,0,0
2008-01-26T00:00:00Z,0,0,NA,0,0.3,0,0,0
2008-01-27T00:00:00Z,0,0,NA,0,0.1,0,0,0
2008-01-28T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-29T00:00:00Z,0,0,NA,0,0,0,0,0
2008-01-30T00:00:00Z,1,0,NA,0.7,1.5,1.5,2.4,4.8
