datum,e.coli,entero
2010-10-19T00:00:00Z,232,51
2010-10-26T00:00:00Z,144,47
2010-11-02T00:00:00Z,177,2350
2010-11-09T00:00:00Z,177,98
2010-11-16T00:00:00Z,1372,457
2010-11-22T00:00:00Z,289,84
2010-11-30T00:00:00Z,419,68
2010-12-07T00:00:00Z,142,51
2010-12-20T00:00:00Z,2567,680
2011-01-04T00:00:00Z,1533,1053
2011-01-11T00:00:00Z,9826,2450
2011-01-18T00:00:00Z,4179,880
2011-01-26T00:00:00Z,1120,302
2011-01-31T00:00:00Z,848,326
2011-02-08T00:00:00Z,705,74
2011-02-15T00:00:00Z,215,50
2011-02-22T00:00:00Z,127,34
2011-03-01T00:00:00Z,127,24
2011-03-08T00:00:00Z,195,36
2011-03-15T00:00:00Z,177,44
2011-03-22T00:00:00Z,127,5
2011-03-30T00:00:00Z,110,20
2011-04-05T00:00:00Z,215,3
2011-04-12T00:00:00Z,1634,3
2011-04-19T00:00:00Z,61,2
2011-04-26T00:00:00Z,15,21
2011-05-03T00:00:00Z,15,2
2011-05-10T00:00:00Z,61,22
2011-05-24T00:00:00Z,161,130
2011-05-30T00:00:00Z,375,90
2011-06-07T00:00:00Z,292,17
2011-06-14T00:00:00Z,268,176
2011-06-20T00:00:00Z,75,89
2011-06-28T00:00:00Z,1713,321
2011-07-05T00:00:00Z,110,29
2011-07-13T00:00:00Z,94,35
2011-07-19T00:00:00Z,94,40
2011-07-26T00:00:00Z,4277,2350
2011-08-02T00:00:00Z,46,23
2011-08-09T00:00:00Z,791,159
2011-08-16T00:00:00Z,108,100
2011-08-23T00:00:00Z,215,61
2011-08-30T00:00:00Z,292,90
2011-09-06T00:00:00Z,179,190
2011-09-13T00:00:00Z,608,232
2011-09-20T00:00:00Z,109,39
2011-09-27T00:00:00Z,232,38
2011-10-05T00:00:00Z,419,78
2011-10-12T00:00:00Z,480,136
2011-10-19T00:00:00Z,654,108
2016-01-13T00:00:00Z,4702,631
2016-01-20T00:00:00Z,1092,397
2016-01-27T00:00:00Z,195,44
2016-02-03T00:00:00Z,3843,1460
2016-02-10T00:00:00Z,5712,1671
2016-02-17T00:00:00Z,4044,2192
2016-02-24T00:00:00Z,5035,1440
2016-03-02T00:00:00Z,309,120
2016-03-09T00:00:00Z,3020,1030
2016-03-16T00:00:00Z,110,24
2016-03-24T00:00:00Z,30,8
2016-03-30T00:00:00Z,46,21
2016-04-06T00:00:00Z,232,31
2016-04-13T00:00:00Z,61,28
2016-04-20T00:00:00Z,534,130
2016-04-27T00:00:00Z,143,40
2016-05-03T00:00:00Z,179,35
2016-05-11T00:00:00Z,15,11
2016-05-25T00:00:00Z,46,12
2016-05-31T00:00:00Z,5712,2407
2016-06-01T00:00:00Z,3020,1522
2016-06-06T00:00:00Z,1531,675
2016-06-08T00:00:00Z,918,203
2016-06-15T00:00:00Z,690,254
2016-06-22T00:00:00Z,251,69
2016-06-29T00:00:00Z,419,66
2016-07-06T00:00:00Z,77,26
2016-07-12T00:00:00Z,127,42
2016-07-20T00:00:00Z,30,10
2016-07-27T00:00:00Z,30,19
2016-08-03T00:00:00Z,1143,197
2016-08-10T00:00:00Z,15,13
2016-08-17T00:00:00Z,83,5
2016-08-24T00:00:00Z,30,20
2016-09-07T00:00:00Z,61,11
2016-09-14T00:00:00Z,30,12
2016-09-21T00:00:00Z,161,22
2016-09-28T00:00:00Z,61,92
2016-10-05T00:00:00Z,93,50
2016-10-12T00:00:00Z,77,24
2016-10-19T00:00:00Z,15,19
2016-10-26T00:00:00Z,126,42
2016-11-02T00:00:00Z,30,25
2016-11-09T00:00:00Z,46,35
2016-11-16T00:00:00Z,110,33
2016-11-23T00:00:00Z,390,81
2016-11-30T00:00:00Z,15,14
2016-12-07T00:00:00Z,61,14
2016-12-14T00:00:00Z,1134,234
2016-12-21T00:00:00Z,61,19
2017-01-11T00:00:00Z,77,77
2017-01-18T00:00:00Z,127,43
2017-01-25T00:00:00Z,30,24
