datum,i_valwig,i_pommern,i_hatzenport,i_muenstermaifeld,i_winningen,i_mayen,i_gondershausen,i_muelheimkaerlich,i_grenzau,sd_valwig,sd_pommern,sd_hatzenport,sd_muenstermaifeld,sd_winningen,sd_mayen,sd_gondershausen,sd_muelheimkaerlich,sd_grenzau
2010-10-01T00:00:00Z,1760,1760,1760,2213,2213,1858,2336,2352,2491,3,3,3,4,4,3,5,5,5
2010-10-02T00:00:00Z,714,714,714,928,928,452,1054,642,743,0,0,0,0,0,0,0,0,0
2010-10-03T00:00:00Z,3574,3574,3574,3373,3373,2268,3369,3423,3291,9,9,9,8,8,5,8,9,8
2010-10-04T00:00:00Z,2944,2944,2944,2878,2878,1595,2738,2558,2612,7,7,7,7,7,2,6,6,6
2010-10-05T00:00:00Z,1347,1347,1347,2127,2127,1271,2566,1291,1303,1,1,1,4,4,1,6,1,1
2010-10-06T00:00:00Z,2421,2421,2421,2591,2591,1620,2672,2364,2475,5,5,5,6,6,2,6,5,6
2010-10-07T00:00:00Z,1549,1549,1549,1511,1511,828,2036,1672,1769,2,2,2,2,2,0,4,3,3
2010-10-08T00:00:00Z,1390,1390,1390,1390,1390,685,1159,1863,2240,2,2,2,2,2,0,1,4,5
2010-10-09T00:00:00Z,3516,3516,3516,3544,3544,2306,3610,3656,3850,10,10,10,10,10,5,10,10,11
2010-10-10T00:00:00Z,3657,3657,3657,3659,3659,2428,3790,3720,3916,10,10,10,11,11,6,11,11,12
2010-10-11T00:00:00Z,3656,3656,3656,3594,3594,2310,3699,3536,3822,11,11,11,10,10,6,11,10,11
2010-10-12T00:00:00Z,3354,3354,3354,3492,3492,2356,3652,3470,3723,10,10,10,10,10,6,11,10,11
2010-10-13T00:00:00Z,1582,1582,1582,1652,1652,1004,3128,2108,2271,3,3,3,3,3,1,9,5,6
2010-10-14T00:00:00Z,2154,2154,2154,2260,2260,1868,3044,2314,2374,5,5,5,6,6,4,9,6,6
2010-10-15T00:00:00Z,749,749,749,814,814,548,817,775,740,0,0,0,0,0,0,0,0,0
2010-10-16T00:00:00Z,638,638,638,768,768,736,647,769,784,0,0,0,0,0,0,0,0,0
2010-10-17T00:00:00Z,455,455,455,604,604,476,362,698,751,0,0,0,0,0,0,0,0,0
2010-10-18T00:00:00Z,843,843,843,914,914,550,1127,757,899,0,0,0,1,1,0,1,0,1
2010-10-19T00:00:00Z,1436,1436,1436,1514,1514,864,974,987,939,3,3,3,3,3,0,1,1,1
2010-10-20T00:00:00Z,1222,1222,1222,1469,1469,1034,1159,1294,1180,2,2,2,3,3,1,2,2,2
2010-10-21T00:00:00Z,3027,3027,3027,2933,2933,2096,3006,2683,3112,10,10,10,9,9,6,10,8,10
2010-10-22T00:00:00Z,1099,1099,1099,1120,1120,779,1160,1188,1213,2,2,2,2,2,0,2,2,2
2010-10-23T00:00:00Z,1844,1844,1844,1821,1821,1181,1998,1301,1533,5,5,5,5,5,2,6,3,4
2010-10-24T00:00:00Z,2253,2253,2253,2175,2175,1542,1919,2330,2204,7,7,7,6,6,4,5,7,7
2010-10-25T00:00:00Z,1732,1732,1732,1891,1891,1274,2039,1948,1965,5,5,5,5,5,3,6,6,6
2010-10-26T00:00:00Z,2203,2203,2203,1971,1971,1453,2581,1212,2010,7,7,7,6,6,3,8,2,6
2010-10-27T00:00:00Z,946,946,946,1027,1027,702,1438,756,861,1,1,1,2,2,0,3,0,1
2010-10-28T00:00:00Z,1453,1453,1453,1595,1595,1257,1459,1680,1630,4,4,4,4,4,3,4,5,5
2010-10-29T00:00:00Z,2337,2337,2337,2262,2262,1564,2356,2187,2335,8,8,8,7,8,4,8,7,8
2010-10-30T00:00:00Z,1148,1148,1148,1045,1045,858,1370,1024,952,2,2,2,2,2,1,3,2,2
2010-10-31T00:00:00Z,1784,1784,1784,1660,1660,983,2029,1777,1568,5,5,5,5,5,2,7,6,5
2010-11-01T00:00:00Z,1194,1194,1194,1351,1351,1062,1419,1284,1595,3,3,3,4,4,2,4,3,5
2010-11-02T00:00:00Z,1452,1452,1452,1468,1468,1185,1230,1298,1319,4,4,4,4,4,3,3,4,4
