datum,q_cochem
2010-10-19T00:00:00Z,96.6
2010-10-20T00:00:00Z,107
2010-10-21T00:00:00Z,103
2010-10-22T00:00:00Z,134
2010-10-23T00:00:00Z,111
2010-10-24T00:00:00Z,113
2010-10-25T00:00:00Z,106
2010-10-26T00:00:00Z,125
2010-10-27T00:00:00Z,112
2010-10-28T00:00:00Z,97.9
2010-10-29T00:00:00Z,90.7
2010-10-30T00:00:00Z,90.6
2010-10-31T00:00:00Z,89.3
2010-11-01T00:00:00Z,97.2
2010-11-02T00:00:00Z,89.9
2010-11-03T00:00:00Z,89.5
2010-11-04T00:00:00Z,85.8
2010-11-05T00:00:00Z,77.9
2010-11-06T00:00:00Z,83.5
2010-11-07T00:00:00Z,144
2010-11-08T00:00:00Z,337
2010-11-09T00:00:00Z,506
2010-11-10T00:00:00Z,450
2010-11-11T00:00:00Z,417
2010-11-12T00:00:00Z,501
2010-11-13T00:00:00Z,646
2010-11-14T00:00:00Z,882
2010-11-15T00:00:00Z,787
2010-11-16T00:00:00Z,646
2010-11-17T00:00:00Z,774
2010-11-18T00:00:00Z,610
2010-11-19T00:00:00Z,396
2010-11-20T00:00:00Z,371
2010-11-21T00:00:00Z,316
2010-11-22T00:00:00Z,281
2010-11-23T00:00:00Z,255
2010-11-24T00:00:00Z,245
2010-11-25T00:00:00Z,227
2010-11-26T00:00:00Z,274
2010-11-27T00:00:00Z,326
2010-11-28T00:00:00Z,309
2010-11-29T00:00:00Z,261
2010-11-30T00:00:00Z,251
2010-12-01T00:00:00Z,217
2010-12-02T00:00:00Z,207
2010-12-03T00:00:00Z,188
2010-12-04T00:00:00Z,178
2010-12-05T00:00:00Z,150
2010-12-06T00:00:00Z,153
2010-12-07T00:00:00Z,206
2010-12-08T00:00:00Z,571
2010-12-09T00:00:00Z,1270
2010-12-10T00:00:00Z,1560
2010-12-11T00:00:00Z,1640
2010-12-12T00:00:00Z,1300
2010-12-13T00:00:00Z,968
2010-12-14T00:00:00Z,800
2010-12-15T00:00:00Z,636
2010-12-16T00:00:00Z,510
2010-12-17T00:00:00Z,418
2010-12-18T00:00:00Z,382
2010-12-19T00:00:00Z,348
2010-12-20T00:00:00Z,347
2010-12-21T00:00:00Z,531
2010-12-22T00:00:00Z,917
2010-12-23T00:00:00Z,1480
2010-12-24T00:00:00Z,1960
2010-12-25T00:00:00Z,2060
2010-12-26T00:00:00Z,1420
2010-12-27T00:00:00Z,974
2010-12-28T00:00:00Z,796
2010-12-29T00:00:00Z,682
2010-12-30T00:00:00Z,608
2010-12-31T00:00:00Z,600
2011-01-01T00:00:00Z,595
2011-01-02T00:00:00Z,523
2011-01-03T00:00:00Z,446
2011-01-04T00:00:00Z,443
2011-01-05T00:00:00Z,414
2011-01-06T00:00:00Z,468
2011-01-07T00:00:00Z,1640
2011-01-08T00:00:00Z,2510
2011-01-09T00:00:00Z,2560
2011-01-10T00:00:00Z,2420
2011-01-11T00:00:00Z,1820
2011-01-12T00:00:00Z,1340
2011-01-13T00:00:00Z,1160
2011-01-14T00:00:00Z,1470
2011-01-15T00:00:00Z,1540
2011-01-16T00:00:00Z,1300
2011-01-17T00:00:00Z,1040
2011-01-18T00:00:00Z,859
2011-01-19T00:00:00Z,729
2011-01-20T00:00:00Z,641
2011-01-21T00:00:00Z,583
2011-01-22T00:00:00Z,522
2011-01-23T00:00:00Z,462
2011-01-24T00:00:00Z,397
2011-01-25T00:00:00Z,427
2011-01-26T00:00:00Z,419
2011-01-27T00:00:00Z,485
2011-01-28T00:00:00Z,509
2011-01-29T00:00:00Z,451
2011-01-30T00:00:00Z,383
2011-01-31T00:00:00Z,337
2011-02-01T00:00:00Z,303
2011-02-02T00:00:00Z,291
2011-02-03T00:00:00Z,270
2011-02-04T00:00:00Z,271
2011-02-05T00:00:00Z,274
2011-02-06T00:00:00Z,282
2011-02-07T00:00:00Z,295
2011-02-08T00:00:00Z,271
2011-02-09T00:00:00Z,265
2011-02-10T00:00:00Z,239
2011-02-11T00:00:00Z,248
2011-02-12T00:00:00Z,253
2011-02-13T00:00:00Z,261
2011-02-14T00:00:00Z,258
2011-02-15T00:00:00Z,276
2011-02-16T00:00:00Z,303
2011-02-17T00:00:00Z,303
2011-02-18T00:00:00Z,279
2011-02-19T00:00:00Z,260
2011-02-20T00:00:00Z,231
2011-02-21T00:00:00Z,227
2011-02-22T00:00:00Z,223
2011-02-23T00:00:00Z,218
2011-02-24T00:00:00Z,205
2011-02-25T00:00:00Z,203
2011-02-26T00:00:00Z,216
2011-02-27T00:00:00Z,254
2011-02-28T00:00:00Z,306
2011-03-01T00:00:00Z,329
2011-03-02T00:00:00Z,276
2011-03-03T00:00:00Z,242
2011-03-04T00:00:00Z,221
2011-03-05T00:00:00Z,203
2011-03-06T00:00:00Z,191
2011-03-07T00:00:00Z,179
2011-03-08T00:00:00Z,175
2011-03-09T00:00:00Z,155
2011-03-10T00:00:00Z,164
2011-03-11T00:00:00Z,161
2011-03-12T00:00:00Z,153
2011-03-13T00:00:00Z,150
2011-03-14T00:00:00Z,156
2011-03-15T00:00:00Z,152
2011-03-16T00:00:00Z,144
2011-03-17T00:00:00Z,150
2011-03-18T00:00:00Z,137
2011-03-19T00:00:00Z,147
2011-03-20T00:00:00Z,152
2011-03-21T00:00:00Z,165
2011-03-22T00:00:00Z,135
2011-03-23T00:00:00Z,137
2011-03-24T00:00:00Z,147
2011-03-25T00:00:00Z,117
2011-03-26T00:00:00Z,121
2011-03-27T00:00:00Z,114
2011-03-28T00:00:00Z,127
2011-03-29T00:00:00Z,137
2011-03-30T00:00:00Z,146
2011-03-31T00:00:00Z,124
2011-04-01T00:00:00Z,126
2011-04-02T00:00:00Z,132
2011-04-03T00:00:00Z,131
2011-04-04T00:00:00Z,139
2011-04-05T00:00:00Z,137
2011-04-06T00:00:00Z,139
2011-04-07T00:00:00Z,124
2011-04-08T00:00:00Z,117
2011-04-09T00:00:00Z,111
2011-04-10T00:00:00Z,113
2011-04-11T00:00:00Z,101
2011-04-12T00:00:00Z,99.3
2011-04-13T00:00:00Z,103
2011-04-14T00:00:00Z,114
2011-04-15T00:00:00Z,111
2011-04-16T00:00:00Z,95.6
2011-04-17T00:00:00Z,87.3
2011-04-18T00:00:00Z,96.1
2011-04-19T00:00:00Z,93.1
2011-04-20T00:00:00Z,95.1
2011-04-21T00:00:00Z,115
2011-04-22T00:00:00Z,86.8
2011-04-23T00:00:00Z,97.7
2011-04-24T00:00:00Z,94.1
2011-04-25T00:00:00Z,97.6
2011-04-26T00:00:00Z,87.1
2011-04-27T00:00:00Z,74.6
2011-04-28T00:00:00Z,92.7
2011-04-29T00:00:00Z,85.5
2011-04-30T00:00:00Z,85.6
2011-05-01T00:00:00Z,89.2
2011-05-02T00:00:00Z,88.5
2011-05-03T00:00:00Z,61.4
2011-05-04T00:00:00Z,67.1
2011-05-05T00:00:00Z,67.8
2011-05-06T00:00:00Z,57.8
2011-05-07T00:00:00Z,52.5
2011-05-08T00:00:00Z,67.3
2011-05-09T00:00:00Z,55.1
2011-05-10T00:00:00Z,50.6
2011-05-11T00:00:00Z,69.8
2011-05-12T00:00:00Z,71
2011-05-13T00:00:00Z,55.5
2011-05-14T00:00:00Z,68.2
2011-05-15T00:00:00Z,54.6
2011-05-16T00:00:00Z,61.5
2011-05-17T00:00:00Z,55.4
2011-05-18T00:00:00Z,58
2011-05-19T00:00:00Z,49.4
2011-05-20T00:00:00Z,64.7
2011-05-21T00:00:00Z,66.8
2011-05-22T00:00:00Z,66.4
2011-05-23T00:00:00Z,45.2
2011-05-24T00:00:00Z,127
2011-05-25T00:00:00Z,90.4
2011-05-26T00:00:00Z,47
2011-05-27T00:00:00Z,40.6
2011-05-28T00:00:00Z,26.3
2011-05-29T00:00:00Z,17.9
2011-05-30T00:00:00Z,29.2
2011-05-31T00:00:00Z,45.9
2011-06-01T00:00:00Z,73.7
2011-06-02T00:00:00Z,66.1
2011-06-03T00:00:00Z,59
2011-06-04T00:00:00Z,47.7
2011-06-05T00:00:00Z,80.5
2011-06-06T00:00:00Z,77.6
2011-06-07T00:00:00Z,77.7
2011-06-08T00:00:00Z,145
2011-06-09T00:00:00Z,94.2
2011-06-10T00:00:00Z,89.2
2011-06-11T00:00:00Z,68
2011-06-12T00:00:00Z,56.4
2011-06-13T00:00:00Z,54.5
2011-06-14T00:00:00Z,53
2011-06-15T00:00:00Z,63.1
2011-06-16T00:00:00Z,29.7
2011-06-17T00:00:00Z,70.2
2011-06-18T00:00:00Z,70.1
2011-06-19T00:00:00Z,89.4
2011-06-20T00:00:00Z,83
2011-06-21T00:00:00Z,92.7
2011-06-22T00:00:00Z,102
2011-06-23T00:00:00Z,161
2011-06-24T00:00:00Z,103
2011-06-25T00:00:00Z,84.9
2011-06-26T00:00:00Z,68.2
2011-06-27T00:00:00Z,54.2
2011-06-28T00:00:00Z,52.4
2011-06-29T00:00:00Z,59.7
2011-06-30T00:00:00Z,62.6
2011-07-01T00:00:00Z,71
2011-07-02T00:00:00Z,65.5
2011-07-03T00:00:00Z,78.7
2011-07-04T00:00:00Z,69.2
2011-07-05T00:00:00Z,71
2011-07-06T00:00:00Z,66.1
2011-07-07T00:00:00Z,44.8
2011-07-08T00:00:00Z,61.6
2011-07-09T00:00:00Z,59
2011-07-10T00:00:00Z,61.9
2011-07-11T00:00:00Z,70.5
2011-07-12T00:00:00Z,63.8
2011-07-13T00:00:00Z,69.9
2011-07-14T00:00:00Z,71
2011-07-15T00:00:00Z,105
2011-07-16T00:00:00Z,78.7
2011-07-17T00:00:00Z,112
