datum,r_valwig,r_pommern,r_hatzenport,r_muenstermaifeld,r_winningen,r_mayen,r_gondershausen,r_muelheimkaerlich,r_grenzau
2010-10-01T00:00:00Z,0.2,0.2,0,0.1,0.4,0,0.1,0,0.4
2010-10-02T00:00:00Z,6.2,5,5,5.1,9,7.6,5.1,7.8,18
2010-10-03T00:00:00Z,0.2,0,0,0,0,0.2,0,0.4,0.5
2010-10-04T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-05T00:00:00Z,1.2,1.4,1.2,1.3,0.4,1.6,3.1,0.4,0.3
2010-10-06T00:00:00Z,0,0,0,0,0,0,0,0,0.1
2010-10-07T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-08T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-09T00:00:00Z,0,0.2,0.2,0.1,0.2,0,0,0,0
2010-10-10T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-11T00:00:00Z,0,0,0,0,0,0,0,0,0.1
2010-10-12T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-13T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-14T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-15T00:00:00Z,2.6,2.6,3,2.8,2.4,2,4.4,3.2,3.4
2010-10-16T00:00:00Z,5.2,4.2,3.6,3.7,5.6,9,7.2,4.8,6.5
2010-10-17T00:00:00Z,0,0,0,0.1,0,0.2,0,0,0.2
2010-10-18T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-19T00:00:00Z,3.2,2.6,1,0.9,1.8,2.2,2,1,3.6
2010-10-20T00:00:00Z,1.2,1.2,4.4,1.8,2.8,2.8,3.4,3.6,4.2
2010-10-21T00:00:00Z,0,0,0,0.1,0,0.2,0,0,0
2010-10-22T00:00:00Z,0,0,0.2,0,0,0,0,0,0
2010-10-23T00:00:00Z,0.2,0,0,0,0,0,0.3,0,0
2010-10-24T00:00:00Z,0.6,0.4,0.2,0.1,1.4,0.6,0,1.4,1.5
2010-10-25T00:00:00Z,0,0.2,0,0,0,0,0,0,0
2010-10-26T00:00:00Z,0,0,0,0,0,0,0,0.2,0
2010-10-27T00:00:00Z,0.4,0.2,0.2,0.2,0,0,0.2,0,0
2010-10-28T00:00:00Z,0,0,0,0,0,0,0,1.8,1.2
2010-10-29T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-10-30T00:00:00Z,0,0,0,0,0,0,0.4,0,0
2010-10-31T00:00:00Z,5.2,5.2,5.2,5.1,5.6,5.6,6.6,6,9.3
2010-11-01T00:00:00Z,0.2,0,0,0.1,0,0.2,0.1,0.2,0
2010-11-02T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-11-03T00:00:00Z,0,0,0,0,0,0,0,0,0.5
2010-11-04T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-11-05T00:00:00Z,0,0,0,0,0,0,0,0,1.6
2010-11-06T00:00:00Z,6.6,7.6,7.6,6.7,7.8,6.2,12.1,6.6,7.1
2010-11-07T00:00:00Z,2.6,2,0.6,1.1,1.4,1.4,0.5,0.8,0.5
2010-11-08T00:00:00Z,1.8,1.4,0.8,1.3,1.4,1.8,1,2.4,2.6
2010-11-09T00:00:00Z,6,4,1.6,2.9,2,5.6,3.2,1.8,2.3
2010-11-10T00:00:00Z,2.2,1.4,1.6,1.3,2,2.2,2,4.2,5
2010-11-11T00:00:00Z,11.2,8.2,5.4,8.8,4.4,7.2,5.6,3.8,5.6
2010-11-12T00:00:00Z,7.2,6.2,5.2,4.6,2.4,3.2,4.3,1.4,4.2
2010-11-13T00:00:00Z,12,11.2,3.4,4.2,1,5.4,3.6,1,2.6
2010-11-14T00:00:00Z,0,0,0,0.1,0,0,0.9,0,0.1
2010-11-15T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-11-16T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-11-17T00:00:00Z,0,0,0,0,0,0,0.1,0,0
2010-11-18T00:00:00Z,1,0.6,0.4,0.6,1,0.6,0.6,0.6,1.4
2010-11-19T00:00:00Z,0,0,0,0.3,0.2,0,0.2,0,0.2
2010-11-20T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-11-21T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-11-22T00:00:00Z,0.6,0.4,0.6,0.3,0.4,0.8,0.8,0.8,0.7
2010-11-23T00:00:00Z,0,0,0,0,0,0.2,0,0.2,0.6
2010-11-24T00:00:00Z,3,3.6,0,0,1.6,2.6,2.6,1.6,4.3
2010-11-25T00:00:00Z,0,0,0.2,0,0,0,0.2,0.2,0.1
2010-11-26T00:00:00Z,0.8,0.4,1,0.5,2.4,0.2,0.5,1.8,6.6
2010-11-27T00:00:00Z,0.8,0.4,0.2,0.5,0.2,0.2,0.9,0.2,0
2010-11-28T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-11-29T00:00:00Z,0,0,0,3.3,0,0,3.8,0,0.3
2010-11-30T00:00:00Z,0,0,0,0.2,0,0,0.2,0,0
2010-12-01T00:00:00Z,0,0,0,0.1,0,0,0,0,0
2010-12-02T00:00:00Z,0,0,0,0,0,0,0.2,0,0
2010-12-03T00:00:00Z,0,0,0,0,0,0,0.1,0,0.1
2010-12-04T00:00:00Z,0,0,0,0,0,0,0,0,0
2010-12-05T00:00:00Z,1.6,1.6,1.8,0.7,0.4,0,0.4,0.4,0
2010-12-06T00:00:00Z,1,1,0.8,0.1,1.4,0,0.1,1.4,0.1
