datum,e.coli,entero
2010-10-19T00:00:00Z,327,36
2010-10-26T00:00:00Z,144,28
2010-11-02T00:00:00Z,127,519
2010-11-09T00:00:00Z,2023,213
2010-11-16T00:00:00Z,577,136
2010-11-22T00:00:00Z,270,106
2010-11-30T00:00:00Z,272,101
2010-12-07T00:00:00Z,352,100
2010-12-20T00:00:00Z,1317,332
2011-01-04T00:00:00Z,311,113
2011-01-11T00:00:00Z,12690,1840
2011-01-18T00:00:00Z,5712,860
2011-01-26T00:00:00Z,750,250
2011-02-08T00:00:00Z,232,122
2011-02-15T00:00:00Z,1794,472
2011-02-22T00:00:00Z,438,117
2011-03-01T00:00:00Z,197,60
2011-03-08T00:00:00Z,15,21
2011-03-15T00:00:00Z,77,14
2011-03-22T00:00:00Z,110,13
2011-03-30T00:00:00Z,46,19
2011-04-05T00:00:00Z,15,3
2011-04-12T00:00:00Z,15,3
2011-04-19T00:00:00Z,15,2
2011-04-26T00:00:00Z,30,2
2011-05-03T00:00:00Z,77,2
2011-05-10T00:00:00Z,15,113
2011-05-24T00:00:00Z,110,8
2011-05-30T00:00:00Z,15,5
2011-06-07T00:00:00Z,230,17
2011-06-14T00:00:00Z,46,11
2011-06-20T00:00:00Z,90,13
2011-06-28T00:00:00Z,15,22
2011-07-05T00:00:00Z,30,29
2011-07-13T00:00:00Z,144,35
2011-07-19T00:00:00Z,353,34
2011-07-26T00:00:00Z,109,58
2011-08-02T00:00:00Z,110,12
2011-08-09T00:00:00Z,197,52
2011-08-16T00:00:00Z,15,6
2011-08-23T00:00:00Z,161,8
2011-08-30T00:00:00Z,195,68
2011-09-06T00:00:00Z,177,12
2011-09-13T00:00:00Z,942,138
2011-09-20T00:00:00Z,77,14
2011-09-27T00:00:00Z,46,13
2011-10-05T00:00:00Z,45,52
2011-10-12T00:00:00Z,289,82
2011-10-19T00:00:00Z,144,20
2016-01-13T00:00:00Z,1796,1029
2016-01-20T00:00:00Z,489,128
2016-01-27T00:00:00Z,179,64
2016-02-03T00:00:00Z,1716,503
2016-02-10T00:00:00Z,10690,1796
2016-02-17T00:00:00Z,750,294
2016-02-24T00:00:00Z,5035,807
2016-03-02T00:00:00Z,127,80
2016-03-09T00:00:00Z,773,173
2016-03-16T00:00:00Z,110,38
2016-03-24T00:00:00Z,127,11
2016-03-30T00:00:00Z,353,62
2016-04-06T00:00:00Z,1020,118
2016-04-13T00:00:00Z,143,24
2016-04-20T00:00:00Z,534,18
2016-04-27T00:00:00Z,375,57
2016-05-03T00:00:00Z,234,23
2016-05-10T00:00:00Z,309,12
2016-05-11T00:00:00Z,46,6
2016-05-18T00:00:00Z,434,106
2016-05-25T00:00:00Z,61,17
2016-05-31T00:00:00Z,9043,2742
2016-06-01T00:00:00Z,5352,2772
2016-06-06T00:00:00Z,1642,423
2016-06-08T00:00:00Z,213,82
2016-06-15T00:00:00Z,3197,379
2016-06-22T00:00:00Z,742,113
2016-06-29T00:00:00Z,386,46
2016-07-06T00:00:00Z,94,16
2016-07-12T00:00:00Z,144,27
2016-07-20T00:00:00Z,30,12
2016-07-27T00:00:00Z,46,9
2016-08-03T00:00:00Z,1372,123
2016-08-10T00:00:00Z,110,17
2016-08-17T00:00:00Z,51,4
2016-08-24T00:00:00Z,61,5
2016-09-07T00:00:00Z,77,11
2016-09-14T00:00:00Z,93,12
2016-09-21T00:00:00Z,612,94
2016-09-28T00:00:00Z,94,16
2016-10-05T00:00:00Z,161,20
2016-10-12T00:00:00Z,45,238
2016-10-19T00:00:00Z,61,33
2016-10-26T00:00:00Z,1573,340
2016-11-02T00:00:00Z,77,23
2016-11-09T00:00:00Z,485,21
2016-11-16T00:00:00Z,252,108
2016-11-23T00:00:00Z,179,87
2016-11-30T00:00:00Z,15,34
2016-12-07T00:00:00Z,179,57
2016-12-14T00:00:00Z,307,63
2016-12-21T00:00:00Z,127,37
2017-01-11T00:00:00Z,144,55
2017-01-18T00:00:00Z,215,73
2017-01-25T00:00:00Z,125,43
