datum,i_boppard,i_bacharach,i_bingengaulsheim,i_simmernwahlbach,i_winningen,i_mayen,i_gondershausen,i_muelheimkaerlich,i_grenzau,sd_boppard,sd_bacharach,sd_bingengaulsheim,sd_simmernwahlbach,sd_winningen,sd_mayen,sd_gondershausen,sd_muelheimkaerlich,sd_grenzau
2010-10-01T00:00:00Z,2213,2336,2874,2336,2213,1858,2336,2352,2491,4,5,6,5,4,3,5,5,5
2010-10-02T00:00:00Z,928,1054,510,1054,928,452,1054,642,743,0,0,0,0,0,0,0,0,0
2010-10-03T00:00:00Z,3373,3369,3053,3369,3373,2268,3369,3423,3291,8,8,7,8,8,5,8,9,8
2010-10-04T00:00:00Z,2878,2738,2233,2738,2878,1595,2738,2558,2612,7,6,4,6,7,2,6,6,6
2010-10-05T00:00:00Z,2127,2566,1711,2566,2127,1271,2566,1291,1303,4,6,3,6,4,1,6,1,1
2010-10-06T00:00:00Z,2591,2672,2752,2672,2591,1620,2672,2364,2475,6,6,7,6,6,2,6,5,6
2010-10-07T00:00:00Z,1511,2036,1693,2036,1511,828,2036,1672,1769,2,4,3,4,2,0,4,3,3
2010-10-08T00:00:00Z,1390,1159,1503,1159,1390,685,1159,1863,2240,2,1,2,1,2,0,1,4,5
2010-10-09T00:00:00Z,3544,3610,3261,3610,3544,2306,3610,3656,3850,10,10,9,10,10,5,10,10,11
2010-10-10T00:00:00Z,3659,3790,3340,3790,3659,2428,3790,3720,3916,11,11,9,11,11,6,11,11,12
2010-10-11T00:00:00Z,3594,3699,3262,3699,3594,2310,3699,3536,3822,10,11,9,11,10,6,11,10,11
2010-10-12T00:00:00Z,3492,3652,3129,3652,3492,2356,3652,3470,3723,10,11,9,11,10,6,11,10,11
2010-10-13T00:00:00Z,1652,3128,2867,3128,1652,1004,3128,2108,2271,3,9,8,9,3,1,9,5,6
2010-10-14T00:00:00Z,2260,3044,2952,3044,2260,1868,3044,2314,2374,6,9,8,9,6,4,9,6,6
2010-10-15T00:00:00Z,814,817,729,817,814,548,817,775,740,0,0,0,0,0,0,0,0,0
2010-10-16T00:00:00Z,768,647,596,647,768,736,647,769,784,0,0,0,0,0,0,0,0,0
2010-10-17T00:00:00Z,604,362,530,362,604,476,362,698,751,0,0,0,0,0,0,0,0,0
2010-10-18T00:00:00Z,914,1127,1840,1127,914,550,1127,757,899,1,1,4,1,1,0,1,0,1
2010-10-19T00:00:00Z,1514,974,525,974,1514,864,974,987,939,3,1,0,1,3,0,1,1,1
2010-10-20T00:00:00Z,1469,1159,1683,1159,1469,1034,1159,1294,1180,3,2,4,2,3,1,2,2,2
2010-10-21T00:00:00Z,2933,3006,2679,3006,2933,2096,3006,2683,3112,9,10,8,10,9,6,10,8,10
2010-10-22T00:00:00Z,1120,1160,1105,1160,1120,779,1160,1188,1213,2,2,2,2,2,0,2,2,2
2010-10-23T00:00:00Z,1821,1998,1076,1998,1821,1181,1998,1301,1533,5,5,1,5,5,2,6,3,4
2010-10-24T00:00:00Z,2175,1919,2136,1919,2175,1542,1919,2330,2204,6,5,6,5,6,4,5,7,7
2010-10-25T00:00:00Z,1891,2039,1594,2039,1891,1274,2039,1948,1965,5,6,4,6,5,3,6,6,6
2010-10-26T00:00:00Z,1971,2581,2305,2581,1971,1453,2581,1212,2010,6,8,7,8,6,3,8,2,6
2010-10-27T00:00:00Z,1027,1438,1203,1438,1027,702,1438,756,861,2,3,2,3,2,0,3,0,1
2010-10-28T00:00:00Z,1595,1459,1476,1459,1595,1257,1459,1680,1630,4,4,4,4,4,3,4,5,5
2010-10-29T00:00:00Z,2262,2356,1770,2356,2262,1564,2356,2187,2335,7,8,5,8,8,4,8,7,8
2010-10-30T00:00:00Z,1045,1370,1207,1370,1045,858,1370,1024,952,2,3,3,3,2,1,3,2,2
2010-10-31T00:00:00Z,1660,2029,1643,2029,1660,983,2029,1777,1568,5,7,5,7,5,2,7,6,5
2010-11-01T00:00:00Z,1351,1419,1603,1419,1351,1062,1419,1284,1595,4,4,5,4,4,2,4,3,5
2010-11-02T00:00:00Z,1468,1230,996,1230,1468,1185,1230,1298,1319,4,3,2,3,4,3,3,4,4
2010-11-03T00:00:00Z,989,460,433,460,989,622,460,313,157,2,0,0,0,2,0,0,0,0
2010-11-04T00:00:00Z,1652,591,460,591,1652,1329,591,950,725,5,0,0,0,5,4,0,2,1
2010-11-05T00:00:00Z,1314,604,857,604,1314,1320,604,184,480,4,0,2,0,4,4,0,0,0
2010-11-06T00:00:00Z,339,348,367,348,339,288,348,398,340,0,0,0,0,0,0,0,0,0
2010-11-07T00:00:00Z,365,680,528,680,365,245,680,436,371,0,1,0,1,0,0,1,0,0
2010-11-08T00:00:00Z,1044,1066,860,1066,1044,837,1066,1033,773,3,3,2,3,3,2,3,3,1
2010-11-09T00:00:00Z,709,845,633,845,709,395,845,542,579,1,2,1,2,1,0,2,0,0
2010-11-10T00:00:00Z,715,970,772,970,715,541,970,500,391,1,2,1,2,1,0,2,0,0
2010-11-11T00:00:00Z,765,946,779,946,765,552,946,666,742,1,2,1,2,1,0,2,1,1
2010-11-12T00:00:00Z,912,472,593,472,912,634,472,982,726,2,0,1,0,2,1,0,3,1
2010-11-13T00:00:00Z,889,317,289,317,889,804,317,186,17,2,0,0,0,2,2,0,0,0
