datum,q_kaub
2010-10-19T00:00:00Z,1090
2010-10-20T00:00:00Z,1100
2010-10-21T00:00:00Z,1110
2010-10-22T00:00:00Z,1180
2010-10-23T00:00:00Z,1260
2010-10-24T00:00:00Z,1170
2010-10-25T00:00:00Z,1160
2010-10-26T00:00:00Z,1240
2010-10-27T00:00:00Z,1330
2010-10-28T00:00:00Z,1330
2010-10-29T00:00:00Z,1290
2010-10-30T00:00:00Z,1220
2010-10-31T00:00:00Z,1200
2010-11-01T00:00:00Z,1180
2010-11-02T00:00:00Z,1160
2010-11-03T00:00:00Z,1120
2010-11-04T00:00:00Z,1080
2010-11-05T00:00:00Z,1050
2010-11-06T00:00:00Z,1020
2010-11-07T00:00:00Z,1060
2010-11-08T00:00:00Z,1150
2010-11-09T00:00:00Z,1260
2010-11-10T00:00:00Z,1300
2010-11-11T00:00:00Z,1260
2010-11-12T00:00:00Z,1240
2010-11-13T00:00:00Z,1400
2010-11-14T00:00:00Z,1790
2010-11-15T00:00:00Z,1930
2010-11-16T00:00:00Z,1900
2010-11-17T00:00:00Z,2050
2010-11-18T00:00:00Z,2360
2010-11-19T00:00:00Z,2330
2010-11-20T00:00:00Z,2120
2010-11-21T00:00:00Z,1930
2010-11-22T00:00:00Z,1770
2010-11-23T00:00:00Z,1670
2010-11-24T00:00:00Z,1750
2010-11-25T00:00:00Z,1760
2010-11-26T00:00:00Z,1720
2010-11-27T00:00:00Z,1720
2010-11-28T00:00:00Z,1710
2010-11-29T00:00:00Z,1620
2010-11-30T00:00:00Z,1540
2010-12-01T00:00:00Z,1450
2010-12-02T00:00:00Z,1380
2010-12-03T00:00:00Z,1330
2010-12-04T00:00:00Z,1310
2010-12-05T00:00:00Z,1280
2010-12-06T00:00:00Z,1270
2010-12-07T00:00:00Z,1310
2010-12-08T00:00:00Z,1850
2010-12-09T00:00:00Z,3210
2010-12-10T00:00:00Z,4080
2010-12-11T00:00:00Z,4270
2010-12-12T00:00:00Z,4300
2010-12-13T00:00:00Z,4240
2010-12-14T00:00:00Z,3800
2010-12-15T00:00:00Z,3290
2010-12-16T00:00:00Z,2880
2010-12-17T00:00:00Z,2530
2010-12-18T00:00:00Z,2290
2010-12-19T00:00:00Z,2110
2010-12-20T00:00:00Z,2020
2010-12-21T00:00:00Z,2040
2010-12-22T00:00:00Z,2260
2010-12-23T00:00:00Z,2690
2010-12-24T00:00:00Z,3120
2010-12-25T00:00:00Z,3130
2010-12-26T00:00:00Z,2990
2010-12-27T00:00:00Z,2770
2010-12-28T00:00:00Z,2490
2010-12-29T00:00:00Z,2270
2010-12-30T00:00:00Z,2100
2010-12-31T00:00:00Z,1990
2011-01-01T00:00:00Z,1900
2011-01-02T00:00:00Z,1850
2011-01-03T00:00:00Z,1780
2011-01-04T00:00:00Z,1720
2011-01-05T00:00:00Z,1670
2011-01-06T00:00:00Z,1610
2011-01-07T00:00:00Z,2020
2011-01-08T00:00:00Z,3150
2011-01-09T00:00:00Z,4050
2011-01-10T00:00:00Z,4550
2011-01-11T00:00:00Z,4520
2011-01-12T00:00:00Z,4510
2011-01-13T00:00:00Z,4490
2011-01-14T00:00:00Z,4800
2011-01-15T00:00:00Z,5350
2011-01-16T00:00:00Z,5500
2011-01-17T00:00:00Z,5120
2011-01-18T00:00:00Z,4660
2011-01-19T00:00:00Z,4340
2011-01-20T00:00:00Z,3810
2011-01-21T00:00:00Z,3220
2011-01-22T00:00:00Z,2850
2011-01-23T00:00:00Z,2600
2011-01-24T00:00:00Z,2390
2011-01-25T00:00:00Z,2220
2011-01-26T00:00:00Z,2130
2011-01-27T00:00:00Z,2100
2011-01-28T00:00:00Z,2050
2011-01-29T00:00:00Z,1960
2011-01-30T00:00:00Z,1850
2011-01-31T00:00:00Z,1730
2011-02-01T00:00:00Z,1680
2011-02-02T00:00:00Z,1580
2011-02-03T00:00:00Z,1550
2011-02-04T00:00:00Z,1530
2011-02-05T00:00:00Z,1500
2011-02-06T00:00:00Z,1520
2011-02-07T00:00:00Z,1560
2011-02-08T00:00:00Z,1570
2011-02-09T00:00:00Z,1530
2011-02-10T00:00:00Z,1480
2011-02-11T00:00:00Z,1430
2011-02-12T00:00:00Z,1450
2011-02-13T00:00:00Z,1510
2011-02-14T00:00:00Z,1610
2011-02-15T00:00:00Z,1650
2011-02-16T00:00:00Z,1610
2011-02-17T00:00:00Z,1550
2011-02-18T00:00:00Z,1470
2011-02-19T00:00:00Z,1410
2011-02-20T00:00:00Z,1370
2011-02-21T00:00:00Z,1330
2011-02-22T00:00:00Z,1300
2011-02-23T00:00:00Z,1310
2011-02-24T00:00:00Z,1280
2011-02-25T00:00:00Z,1240
2011-02-26T00:00:00Z,1230
2011-02-27T00:00:00Z,1250
2011-02-28T00:00:00Z,1280
2011-03-01T00:00:00Z,1290
2011-03-02T00:00:00Z,1330
2011-03-03T00:00:00Z,1290
2011-03-04T00:00:00Z,1240
2011-03-05T00:00:00Z,1220
2011-03-06T00:00:00Z,1190
2011-03-07T00:00:00Z,1170
2011-03-08T00:00:00Z,1120
2011-03-09T00:00:00Z,1100
2011-03-10T00:00:00Z,1080
2011-03-11T00:00:00Z,1080
2011-03-12T00:00:00Z,1070
2011-03-13T00:00:00Z,1060
2011-03-14T00:00:00Z,1070
2011-03-15T00:00:00Z,1060
2011-03-16T00:00:00Z,1040
2011-03-17T00:00:00Z,1040
2011-03-18T00:00:00Z,1050
2011-03-19T00:00:00Z,1100
2011-03-20T00:00:00Z,1220
2011-03-21T00:00:00Z,1290
2011-03-22T00:00:00Z,1270
2011-03-23T00:00:00Z,1210
2011-03-24T00:00:00Z,1170
2011-03-25T00:00:00Z,1120
2011-03-26T00:00:00Z,1100
2011-03-27T00:00:00Z,1060
2011-03-28T00:00:00Z,1040
2011-03-29T00:00:00Z,1040
2011-03-30T00:00:00Z,1030
2011-03-31T00:00:00Z,1040
2011-04-01T00:00:00Z,1030
2011-04-02T00:00:00Z,1040
2011-04-03T00:00:00Z,1050
2011-04-04T00:00:00Z,1030
2011-04-05T00:00:00Z,1070
2011-04-06T00:00:00Z,1150
2011-04-07T00:00:00Z,1200
2011-04-08T00:00:00Z,1150
2011-04-09T00:00:00Z,1090
2011-04-10T00:00:00Z,1050
2011-04-11T00:00:00Z,1040
2011-04-12T00:00:00Z,1030
2011-04-13T00:00:00Z,1020
2011-04-14T00:00:00Z,1040
2011-04-15T00:00:00Z,1020
2011-04-16T00:00:00Z,1e3
2011-04-17T00:00:00Z,979
2011-04-18T00:00:00Z,982
2011-04-19T00:00:00Z,961
2011-04-20T00:00:00Z,948
2011-04-21T00:00:00Z,913
2011-04-22T00:00:00Z,894
2011-04-23T00:00:00Z,898
2011-04-24T00:00:00Z,864
2011-04-25T00:00:00Z,862
2011-04-26T00:00:00Z,855
2011-04-27T00:00:00Z,842
2011-04-28T00:00:00Z,871
2011-04-29T00:00:00Z,906
2011-04-30T00:00:00Z,883
2011-05-01T00:00:00Z,841
2011-05-02T00:00:00Z,857
2011-05-03T00:00:00Z,853
2011-05-04T00:00:00Z,838
2011-05-05T00:00:00Z,846
2011-05-06T00:00:00Z,841
2011-05-07T00:00:00Z,817
2011-05-08T00:00:00Z,800
2011-05-09T00:00:00Z,774
2011-05-10T00:00:00Z,754
2011-05-11T00:00:00Z,752
2011-05-12T00:00:00Z,744
2011-05-13T00:00:00Z,754
2011-05-14T00:00:00Z,790
2011-05-15T00:00:00Z,822
2011-05-16T00:00:00Z,824
2011-05-17T00:00:00Z,923
2011-05-18T00:00:00Z,989
2011-05-19T00:00:00Z,976
2011-05-20T00:00:00Z,936
2011-05-21T00:00:00Z,906
2011-05-22T00:00:00Z,894
2011-05-23T00:00:00Z,882
2011-05-24T00:00:00Z,850
2011-05-25T00:00:00Z,820
2011-05-26T00:00:00Z,794
2011-05-27T00:00:00Z,788
2011-05-28T00:00:00Z,790
2011-05-29T00:00:00Z,806
2011-05-30T00:00:00Z,854
2011-05-31T00:00:00Z,889
2011-06-01T00:00:00Z,879
2011-06-02T00:00:00Z,949
2011-06-03T00:00:00Z,1070
2011-06-04T00:00:00Z,1080
2011-06-05T00:00:00Z,1010
2011-06-06T00:00:00Z,1030
2011-06-07T00:00:00Z,1060
2011-06-08T00:00:00Z,1090
2011-06-09T00:00:00Z,1100
2011-06-10T00:00:00Z,1090
2011-06-11T00:00:00Z,1050
2011-06-12T00:00:00Z,1030
2011-06-13T00:00:00Z,1e3
2011-06-14T00:00:00Z,981
2011-06-15T00:00:00Z,994
2011-06-16T00:00:00Z,986
2011-06-17T00:00:00Z,974
2011-06-18T00:00:00Z,996
2011-06-19T00:00:00Z,1090
2011-06-20T00:00:00Z,1200
2011-06-21T00:00:00Z,1320
2011-06-22T00:00:00Z,1360
2011-06-23T00:00:00Z,1430
2011-06-24T00:00:00Z,1440
2011-06-25T00:00:00Z,1450
2011-06-26T00:00:00Z,1400
2011-06-27T00:00:00Z,1330
2011-06-28T00:00:00Z,1260
2011-06-29T00:00:00Z,1190
2011-06-30T00:00:00Z,1170
2011-07-01T00:00:00Z,1230
2011-07-02T00:00:00Z,1460
2011-07-03T00:00:00Z,1610
2011-07-04T00:00:00Z,1480
2011-07-05T00:00:00Z,1360
2011-07-06T00:00:00Z,1260
2011-07-07T00:00:00Z,1200
2011-07-08T00:00:00Z,1150
2011-07-09T00:00:00Z,1240
2011-07-10T00:00:00Z,1300
2011-07-11T00:00:00Z,1270
2011-07-12T00:00:00Z,1260
2011-07-13T00:00:00Z,1300
2011-07-14T00:00:00Z,1340
2011-07-15T00:00:00Z,1500
2011-07-16T00:00:00Z,1720
2011-07-17T00:00:00Z,1660
2011-07-18T00:00:00Z,1560
2011-07-19T00:00:00Z,1530
2011-07-20T00:00:00Z,1550
2011-07-21T00:00:00Z,1730
2011-07-22T00:00:00Z,1880
2011-07-23T00:00:00Z,1890
2011-07-24T00:00:00Z,1890
2011-07-25T00:00:00Z,1870
2011-07-26T00:00:00Z,1840
2011-07-27T00:00:00Z,1810
2011-07-28T00:00:00Z,1760
2011-07-29T00:00:00Z,1700
2011-07-30T00:00:00Z,1660
2011-07-31T00:00:00Z,1650
2011-08-01T00:00:00Z,1570
2011-08-02T00:00:00Z,1470
2011-08-03T00:00:00Z,1420
2011-08-04T00:00:00Z,1390
2011-08-05T00:00:00Z,1400
2011-08-06T00:00:00Z,1390
2011-08-07T00:00:00Z,1470
2011-08-08T00:00:00Z,1510
2011-08-09T00:00:00Z,1560
2011-08-10T00:00:00Z,1570
2011-08-11T00:00:00Z,1520
2011-08-12T00:00:00Z,1470
2011-08-13T00:00:00Z,1440
2011-08-14T00:00:00Z,1400
2011-08-15T00:00:00Z,1370
2011-08-16T00:00:00Z,1440
2011-08-17T00:00:00Z,1510
2011-08-18T00:00:00Z,1510
2011-08-19T00:00:00Z,1410
2011-08-20T00:00:00Z,1360
2011-08-21T00:00:00Z,1310
2011-08-22T00:00:00Z,1270
2011-08-23T00:00:00Z,1220
2011-08-24T00:00:00Z,1200
2011-08-25T00:00:00Z,1230
2011-08-26T00:00:00Z,1240
2011-08-27T00:00:00Z,1320
2011-08-28T00:00:00Z,1310
2011-08-29T00:00:00Z,1310
2011-08-30T00:00:00Z,1230
2011-08-31T00:00:00Z,1170
2011-09-01T00:00:00Z,1130
2011-09-02T00:00:00Z,1080
2011-09-03T00:00:00Z,1050
2011-09-04T00:00:00Z,1040
2011-09-05T00:00:00Z,1070
2011-09-06T00:00:00Z,1130
2011-09-07T00:00:00Z,1310
2011-09-08T00:00:00Z,1370
2011-09-09T00:00:00Z,1270
2011-09-10T00:00:00Z,1220
2011-09-11T00:00:00Z,1180
2011-09-12T00:00:00Z,1180
2011-09-13T00:00:00Z,1170
2011-09-14T00:00:00Z,1110
2011-09-15T00:00:00Z,1070
2011-09-16T00:00:00Z,1050
2011-09-17T00:00:00Z,1040
2011-09-18T00:00:00Z,1030
2011-09-19T00:00:00Z,1080
2011-09-20T00:00:00Z,1190
2011-09-21T00:00:00Z,1250
2011-09-22T00:00:00Z,1220
2011-09-23T00:00:00Z,1170
2011-09-24T00:00:00Z,1140
2011-09-25T00:00:00Z,1110
2011-09-26T00:00:00Z,1070
2011-09-27T00:00:00Z,1040
2011-09-28T00:00:00Z,1020
2011-09-29T00:00:00Z,989
2011-09-30T00:00:00Z,964
2011-10-01T00:00:00Z,949
2011-10-02T00:00:00Z,927
2011-10-03T00:00:00Z,894
2011-10-04T00:00:00Z,867
2011-10-05T00:00:00Z,845
2011-10-06T00:00:00Z,835
2011-10-07T00:00:00Z,838
2011-10-08T00:00:00Z,873
2011-10-09T00:00:00Z,922
2011-10-10T00:00:00Z,1010
2011-10-11T00:00:00Z,1140
2011-10-12T00:00:00Z,1340
2011-10-13T00:00:00Z,1710
2011-10-14T00:00:00Z,1790
2011-10-15T00:00:00Z,1750
2011-10-16T00:00:00Z,1640
2011-10-17T00:00:00Z,1460
2011-10-18T00:00:00Z,1350
2011-10-19T00:00:00Z,1300
2016-01-13T00:00:00Z,2540
2016-01-14T00:00:00Z,2790
2016-01-15T00:00:00Z,2780
2016-01-16T00:00:00Z,2570
2016-01-17T00:00:00Z,2300
2016-01-18T00:00:00Z,2e3
2016-01-19T00:00:00Z,1760
2016-01-20T00:00:00Z,1640
2016-01-21T00:00:00Z,1550
2016-01-22T00:00:00Z,1460
2016-01-23T00:00:00Z,1390
2016-01-24T00:00:00Z,1350
2016-01-25T00:00:00Z,1330
2016-01-26T00:00:00Z,1350
2016-01-27T00:00:00Z,1390
2016-01-28T00:00:00Z,1420
2016-01-29T00:00:00Z,1450
2016-01-30T00:00:00Z,1510
2016-01-31T00:00:00Z,1610
2016-02-01T00:00:00Z,1760
2016-02-02T00:00:00Z,2400
2016-02-03T00:00:00Z,2920
2016-02-04T00:00:00Z,2980
2016-02-05T00:00:00Z,2880
2016-02-06T00:00:00Z,2830
2016-02-07T00:00:00Z,2740
2016-02-08T00:00:00Z,2590
2016-02-09T00:00:00Z,2510
2016-02-10T00:00:00Z,2870
2016-02-11T00:00:00Z,3060
2016-02-12T00:00:00Z,3060
2016-02-13T00:00:00Z,2900
2016-02-14T00:00:00Z,2780
2016-02-15T00:00:00Z,2780
2016-02-16T00:00:00Z,2810
2016-02-17T00:00:00Z,2720
2016-02-18T00:00:00Z,2520
2016-02-19T00:00:00Z,2330
2016-02-20T00:00:00Z,2140
2016-02-21T00:00:00Z,2140
2016-02-22T00:00:00Z,2340
2016-02-23T00:00:00Z,2530
2016-02-24T00:00:00Z,2760
2016-02-25T00:00:00Z,2870
2016-02-26T00:00:00Z,2830
2016-02-27T00:00:00Z,2670
2016-02-28T00:00:00Z,2510
2016-02-29T00:00:00Z,2300
2016-03-01T00:00:00Z,2110
2016-03-02T00:00:00Z,2010
2016-03-03T00:00:00Z,2e3
2016-03-04T00:00:00Z,2150
2016-03-05T00:00:00Z,2350
2016-03-06T00:00:00Z,2400
2016-03-07T00:00:00Z,2440
2016-03-08T00:00:00Z,2500
2016-03-09T00:00:00Z,2400
2016-03-10T00:00:00Z,2270
2016-03-11T00:00:00Z,2120
2016-03-12T00:00:00Z,1990
2016-03-13T00:00:00Z,1880
2016-03-14T00:00:00Z,1780
2016-03-15T00:00:00Z,1680
2016-03-16T00:00:00Z,1620
2016-03-17T00:00:00Z,1570
2016-03-18T00:00:00Z,1510
2016-03-19T00:00:00Z,1450
2016-03-20T00:00:00Z,1430
2016-03-21T00:00:00Z,1390
2016-03-22T00:00:00Z,1340
2016-03-23T00:00:00Z,1330
2016-03-24T00:00:00Z,1300
2016-03-25T00:00:00Z,1280
2016-03-26T00:00:00Z,1300
2016-03-27T00:00:00Z,1310
2016-03-28T00:00:00Z,1310
2016-03-29T00:00:00Z,1320
2016-03-30T00:00:00Z,1350
2016-03-31T00:00:00Z,1380
2016-04-01T00:00:00Z,1560
2016-04-02T00:00:00Z,1710
2016-04-03T00:00:00Z,1650
2016-04-04T00:00:00Z,1610
2016-04-05T00:00:00Z,1580
2016-04-06T00:00:00Z,1640
2016-04-07T00:00:00Z,1670
2016-04-08T00:00:00Z,1700
2016-04-09T00:00:00Z,1680
2016-04-10T00:00:00Z,1630
2016-04-11T00:00:00Z,1570
2016-04-12T00:00:00Z,1500
2016-04-13T00:00:00Z,1490
