datum,e.coli,entero
2014-04-28T00:00:00Z,824,46
2014-05-12T00:00:00Z,1007,30
2014-05-26T00:00:00Z,15,15
2014-06-02T00:00:00Z,30,15
2014-06-03T00:00:00Z,61,15
2014-06-04T00:00:00Z,46,15
2014-06-05T00:00:00Z,15,15
2014-06-11T00:00:00Z,9200,1170
2014-06-12T00:00:00Z,3500,38
2014-06-13T00:00:00Z,1633,30
2014-06-16T00:00:00Z,109,15
2014-06-17T00:00:00Z,77,15
2014-06-18T00:00:00Z,30,15
2014-06-20T00:00:00Z,15,110
2014-06-23T00:00:00Z,46,15
2014-06-24T00:00:00Z,77,46
2014-06-25T00:00:00Z,30,15
2014-06-26T00:00:00Z,45,46
2014-06-30T00:00:00Z,1929,110
2014-07-01T00:00:00Z,2994,77
2014-07-02T00:00:00Z,408,30
2014-07-03T00:00:00Z,94,15
2014-07-07T00:00:00Z,415,15
2014-07-08T00:00:00Z,661,15
2014-07-09T00:00:00Z,23671,2640
2014-07-10T00:00:00Z,15000,1900
2014-07-14T00:00:00Z,559,61
2014-07-15T00:00:00Z,697,77
2014-07-16T00:00:00Z,253,15
2014-07-17T00:00:00Z,46,15
2014-07-21T00:00:00Z,465,828
2014-07-22T00:00:00Z,12687,1317
2014-07-23T00:00:00Z,1927,61
2014-07-24T00:00:00Z,110,15
2014-07-28T00:00:00Z,127,15
2014-07-29T00:00:00Z,94,15
2014-07-30T00:00:00Z,2748,77
2014-07-31T00:00:00Z,2500,210
2014-08-04T00:00:00Z,1482,15
2014-08-05T00:00:00Z,2900,61
2014-08-06T00:00:00Z,612,15
2014-08-07T00:00:00Z,77,30
2014-08-11T00:00:00Z,251,15
2014-08-12T00:00:00Z,15,15
2014-08-13T00:00:00Z,61,15
2014-08-14T00:00:00Z,130,46
2014-08-18T00:00:00Z,2404,46
2014-08-19T00:00:00Z,467,30
2014-08-20T00:00:00Z,386,30
2014-08-21T00:00:00Z,470,38
2014-08-25T00:00:00Z,110,15
2014-08-26T00:00:00Z,110,30
2014-08-27T00:00:00Z,5035,412
2014-08-28T00:00:00Z,2400,200
2014-09-01T00:00:00Z,2035,110
2014-09-02T00:00:00Z,1213,61
2014-09-03T00:00:00Z,127,46
2014-09-04T00:00:00Z,77,15
2014-09-08T00:00:00Z,46,15
2014-09-09T00:00:00Z,61,15
2014-09-10T00:00:00Z,77,15
2014-09-11T00:00:00Z,15,15
2015-05-04T00:00:00Z,130,15
2015-05-05T00:00:00Z,2000,15
2015-05-11T00:00:00Z,15,15
2015-05-12T00:00:00Z,45,15
2015-05-18T00:00:00Z,30,15
2015-05-19T00:00:00Z,15,15
2015-05-20T00:00:00Z,61,15
2015-05-21T00:00:00Z,77,15
2015-05-26T00:00:00Z,15,15
2015-05-27T00:00:00Z,15,15
2015-05-28T00:00:00Z,15,15
2015-06-01T00:00:00Z,350,30
2015-06-02T00:00:00Z,46,15
2015-06-03T00:00:00Z,180,15
2015-06-08T00:00:00Z,77,15
2015-06-09T00:00:00Z,46,30
2015-06-10T00:00:00Z,15,15
2015-06-11T00:00:00Z,15,15
2015-06-15T00:00:00Z,110,15
2015-06-16T00:00:00Z,15,15
2015-06-17T00:00:00Z,15,30
2015-06-18T00:00:00Z,46,15
2015-06-22T00:00:00Z,180,30
2015-06-23T00:00:00Z,1500,30
2015-06-24T00:00:00Z,4600,130
2015-06-25T00:00:00Z,2100,15
2015-06-29T00:00:00Z,46,15
2015-06-30T00:00:00Z,15,15
2015-07-01T00:00:00Z,15,15
2015-07-02T00:00:00Z,15,15
2015-07-06T00:00:00Z,180,15
2015-07-07T00:00:00Z,1200,61
2015-07-08T00:00:00Z,110,15
2015-07-09T00:00:00Z,46,15
2015-07-13T00:00:00Z,15,15
2015-07-14T00:00:00Z,46,15
2015-07-15T00:00:00Z,820,15
2015-07-16T00:00:00Z,1800,110
2015-07-20T00:00:00Z,1400,180
2015-07-21T00:00:00Z,390,15
2015-07-22T00:00:00Z,110,15
2015-07-23T00:00:00Z,200,15
2015-07-27T00:00:00Z,1500,46
2015-07-28T00:00:00Z,330,30
2015-07-29T00:00:00Z,140,61
2015-07-30T00:00:00Z,200,110
2015-08-03T00:00:00Z,15,15
2015-08-04T00:00:00Z,15,15
2015-08-05T00:00:00Z,15,15
2015-08-06T00:00:00Z,15,15
2015-08-10T00:00:00Z,250,15
2015-08-11T00:00:00Z,200,15
2015-08-12T00:00:00Z,770,45
2015-08-13T00:00:00Z,270,15
2015-08-17T00:00:00Z,21000,880
2015-08-18T00:00:00Z,28000,1500
2015-08-19T00:00:00Z,2700,94
2015-08-20T00:00:00Z,1100,30
2015-08-24T00:00:00Z,110,15
2015-08-25T00:00:00Z,290,30
2015-08-26T00:00:00Z,3400,61
2015-08-27T00:00:00Z,1400,15
2015-08-31T00:00:00Z,61,15
2015-09-01T00:00:00Z,77,15
2015-09-02T00:00:00Z,310,15
2015-09-03T00:00:00Z,1600,15
2015-09-07T00:00:00Z,1500,30
2015-09-08T00:00:00Z,730,15
2015-09-09T00:00:00Z,230,30
2015-09-10T00:00:00Z,210,15
2015-09-14T00:00:00Z,2000,77
2015-09-15T00:00:00Z,430,15
2016-05-18T00:00:00Z,38,38
2016-05-23T00:00:00Z,30,15
2016-05-25T00:00:00Z,1000,15
2016-05-30T00:00:00Z,330,77
2016-05-31T00:00:00Z,12000,1100
2016-06-01T00:00:00Z,1400,300
2016-06-02T00:00:00Z,9000,1100
2016-06-06T00:00:00Z,140,15
2016-06-07T00:00:00Z,110,30
2016-06-08T00:00:00Z,6600,660
2016-06-09T00:00:00Z,1900,77
2016-06-13T00:00:00Z,94,15
2016-06-14T00:00:00Z,1000,130
2016-06-15T00:00:00Z,420,46
2016-06-16T00:00:00Z,600,77
2016-06-20T00:00:00Z,520,15
2016-06-21T00:00:00Z,310,15
2016-06-22T00:00:00Z,920,30
2016-06-23T00:00:00Z,45,15
2016-06-27T00:00:00Z,3200,180
2016-06-28T00:00:00Z,480,15
2016-06-29T00:00:00Z,630,61
2016-06-30T00:00:00Z,1000,30
2016-07-04T00:00:00Z,1700,400
2016-07-05T00:00:00Z,110,15
2016-07-06T00:00:00Z,200,15
2016-07-07T00:00:00Z,77,15
2016-07-11T00:00:00Z,30,15
2016-07-12T00:00:00Z,15,15
2016-07-13T00:00:00Z,110,15
2016-07-14T00:00:00Z,61,15
2016-07-15T00:00:00Z,77,15
2016-07-19T00:00:00Z,61,15
2016-07-21T00:00:00Z,15,15
2016-07-25T00:00:00Z,46,15
2016-07-26T00:00:00Z,560,200
2016-07-27T00:00:00Z,1200,77
2016-07-28T00:00:00Z,94,15
2016-08-01T00:00:00Z,180,15
2016-08-02T00:00:00Z,3800,310
2016-08-03T00:00:00Z,1200,77
2016-08-04T00:00:00Z,1300,130
2016-08-08T00:00:00Z,61,15
2016-08-09T00:00:00Z,61,15
2016-08-10T00:00:00Z,94,15
2016-08-11T00:00:00Z,77,15
2016-08-15T00:00:00Z,94,15
2016-08-16T00:00:00Z,94,15
2016-08-17T00:00:00Z,30,15
2016-08-18T00:00:00Z,30,15
2016-08-22T00:00:00Z,940,15
2016-08-23T00:00:00Z,210,15
2016-08-24T00:00:00Z,61,130
2016-08-25T00:00:00Z,15,15
2016-08-29T00:00:00Z,210,61
2016-08-30T00:00:00Z,77,15
2016-08-31T00:00:00Z,94,15
2016-09-01T00:00:00Z,30,61
2016-09-05T00:00:00Z,28000,560
2016-09-06T00:00:00Z,2500,46
2016-09-07T00:00:00Z,390,15
2016-09-08T00:00:00Z,61,30
2016-09-12T00:00:00Z,77,15
2016-09-13T00:00:00Z,15,15
2016-09-14T00:00:00Z,30,15
2016-09-15T00:00:00Z,30,15
2017-05-15T00:00:00Z,61,15
2017-05-16T00:00:00Z,94,15
2017-05-17T00:00:00Z,46,15
2017-05-18T00:00:00Z,15,15
2017-05-19T00:00:00Z,77,15
2017-05-20T00:00:00Z,440,15
2017-05-21T00:00:00Z,250,15
2017-05-22T00:00:00Z,110,15
2017-05-23T00:00:00Z,77,15
2017-05-24T00:00:00Z,280,15
2017-05-26T00:00:00Z,110,15
2017-05-29T00:00:00Z,15,15
2017-05-30T00:00:00Z,2000,15
2017-05-31T00:00:00Z,370,30
2017-06-01T00:00:00Z,712,68
2017-06-02T00:00:00Z,140,15
2017-06-06T00:00:00Z,77,15
2017-06-07T00:00:00Z,30,15
2017-06-08T00:00:00Z,46,62
2017-06-09T00:00:00Z,160,15
2017-06-12T00:00:00Z,110,61
2017-06-13T00:00:00Z,77,15
2017-06-14T00:00:00Z,15,15
2017-06-16T00:00:00Z,61,15
2017-06-19T00:00:00Z,15,15
2017-06-20T00:00:00Z,15,15
2017-06-21T00:00:00Z,45,15
2017-06-22T00:00:00Z,94,61
2017-06-23T00:00:00Z,61,30
2017-06-26T00:00:00Z,94,140
2017-06-27T00:00:00Z,94,61
2017-06-28T00:00:00Z,30,15
2017-06-29T00:00:00Z,195,104
2017-06-30T00:00:00Z,2000,110
2017-07-03T00:00:00Z,110,15
2017-07-04T00:00:00Z,46,15
2017-07-05T00:00:00Z,61,30
2017-07-06T00:00:00Z,77,52
2017-07-07T00:00:00Z,61,46
2017-07-10T00:00:00Z,45,15
2017-07-11T00:00:00Z,30,15
2017-07-12T00:00:00Z,46,77
2017-07-13T00:00:00Z,9043,420
2017-07-14T00:00:00Z,4000,30
2017-07-17T00:00:00Z,230,290
2017-07-18T00:00:00Z,4000,3100
2017-07-19T00:00:00Z,30,61
2017-07-20T00:00:00Z,1007,78
2017-07-21T00:00:00Z,5000,370
2017-07-24T00:00:00Z,2000,61
2017-07-25T00:00:00Z,720,46
2017-07-26T00:00:00Z,17000,1800
2017-07-28T00:00:00Z,600,46
2017-07-31T00:00:00Z,140,61
2017-08-01T00:00:00Z,94,30
2017-08-02T00:00:00Z,1400,160
2017-08-03T00:00:00Z,15,24
2017-08-04T00:00:00Z,230,15
2017-08-07T00:00:00Z,750,15
2017-08-08T00:00:00Z,220,15
2017-08-09T00:00:00Z,61,15
2017-08-10T00:00:00Z,559,44
2017-08-11T00:00:00Z,160,15
2017-08-14T00:00:00Z,570,15
2017-08-15T00:00:00Z,270,15
2017-08-16T00:00:00Z,110,15
2017-08-17T00:00:00Z,30,19
2017-08-18T00:00:00Z,130,30
2017-08-21T00:00:00Z,290,15
2017-08-22T00:00:00Z,160,15
2017-08-23T00:00:00Z,110,15
2017-08-24T00:00:00Z,93,20
2017-08-25T00:00:00Z,46,15
2017-08-26T00:00:00Z,93,20
2017-08-28T00:00:00Z,110,15
2017-08-29T00:00:00Z,15,30
2017-08-30T00:00:00Z,46,15
2017-08-31T00:00:00Z,46,16
2017-09-01T00:00:00Z,510,15
2017-09-04T00:00:00Z,290,15
2017-09-05T00:00:00Z,130,15
2017-09-06T00:00:00Z,220,77
2017-09-07T00:00:00Z,77,9
2017-09-08T00:00:00Z,420,15
2017-09-11T00:00:00Z,3300,46
2017-09-12T00:00:00Z,690,15
2017-09-13T00:00:00Z,200,15
2017-09-15T00:00:00Z,8300,540
