datum,i_bredeney
2014-01-01T00:00:00Z,6.3
2014-01-02T00:00:00Z,0.267
2014-01-03T00:00:00Z,2.067
2014-01-04T00:00:00Z,0
2014-01-05T00:00:00Z,3.967
2014-01-06T00:00:00Z,0
2014-01-07T00:00:00Z,3.917
2014-01-08T00:00:00Z,2.4
2014-01-09T00:00:00Z,0
2014-01-10T00:00:00Z,2.65
2014-01-11T00:00:00Z,1.5
2014-01-12T00:00:00Z,5.483
2014-01-13T00:00:00Z,0.167
2014-01-14T00:00:00Z,5.3
2014-01-15T00:00:00Z,0.267
2014-01-16T00:00:00Z,0.1
2014-01-17T00:00:00Z,1.85
2014-01-18T00:00:00Z,6.083
2014-01-19T00:00:00Z,2.967
2014-01-20T00:00:00Z,0
2014-01-21T00:00:00Z,0
2014-01-22T00:00:00Z,5.2
2014-01-23T00:00:00Z,0.783
2014-01-24T00:00:00Z,0
2014-01-25T00:00:00Z,0.2
2014-01-26T00:00:00Z,0.35
2014-01-27T00:00:00Z,0.8
2014-01-28T00:00:00Z,6.967
2014-01-29T00:00:00Z,7.883
2014-01-30T00:00:00Z,2.8
2014-01-31T00:00:00Z,7.767
2014-02-01T00:00:00Z,0
2014-02-02T00:00:00Z,8
2014-02-03T00:00:00Z,7.75
2014-02-04T00:00:00Z,3.5
2014-02-05T00:00:00Z,2.217
2014-02-06T00:00:00Z,1.867
2014-02-07T00:00:00Z,0
2014-02-08T00:00:00Z,0
2014-02-09T00:00:00Z,0.9
2014-02-10T00:00:00Z,0
2014-02-11T00:00:00Z,2.817
2014-02-12T00:00:00Z,5.517
2014-02-13T00:00:00Z,0
2014-02-14T00:00:00Z,3.967
2014-02-15T00:00:00Z,0.767
2014-02-16T00:00:00Z,4.05
2014-02-17T00:00:00Z,1.583
2014-02-18T00:00:00Z,0
2014-02-19T00:00:00Z,1.7
2014-02-20T00:00:00Z,3.083
2014-02-21T00:00:00Z,1.883
2014-02-22T00:00:00Z,1.25
2014-02-23T00:00:00Z,7.317
2014-02-24T00:00:00Z,9.533
2014-02-25T00:00:00Z,3.783
2014-02-26T00:00:00Z,2.333
2014-02-27T00:00:00Z,4.483
2014-02-28T00:00:00Z,2.217
2014-03-01T00:00:00Z,2.867
2014-03-02T00:00:00Z,6.317
2014-03-03T00:00:00Z,0.55
2014-03-04T00:00:00Z,6.983
2014-03-05T00:00:00Z,3.117
2014-03-06T00:00:00Z,10.183
2014-03-07T00:00:00Z,7.133
2014-03-08T00:00:00Z,10.283
2014-03-09T00:00:00Z,11
2014-03-10T00:00:00Z,10.75
2014-03-11T00:00:00Z,6.85
2014-03-12T00:00:00Z,10.483
2014-03-13T00:00:00Z,10.817
2014-03-14T00:00:00Z,9.917
2014-03-15T00:00:00Z,1.3
2014-03-16T00:00:00Z,0.783
2014-03-17T00:00:00Z,0.183
2014-03-18T00:00:00Z,0
2014-03-19T00:00:00Z,6.267
2014-03-20T00:00:00Z,11.267
2014-03-21T00:00:00Z,0.917
2014-03-22T00:00:00Z,2.167
2014-03-23T00:00:00Z,3.15
2014-03-24T00:00:00Z,3.65
2014-03-25T00:00:00Z,8.35
2014-03-26T00:00:00Z,7.233
2014-03-27T00:00:00Z,9.8
2014-03-28T00:00:00Z,9.9
2014-03-29T00:00:00Z,11.467
2014-03-30T00:00:00Z,5.233
2014-03-31T00:00:00Z,3.8
2014-04-01T00:00:00Z,6.233
2014-04-02T00:00:00Z,8.3
2014-04-03T00:00:00Z,4.6
2014-04-04T00:00:00Z,0
2014-04-05T00:00:00Z,1.367
2014-04-06T00:00:00Z,4.417
2014-04-07T00:00:00Z,7.05
2014-04-08T00:00:00Z,3.683
2014-04-09T00:00:00Z,4.733
2014-04-10T00:00:00Z,0.167
2014-04-11T00:00:00Z,1.467
2014-04-12T00:00:00Z,7.1
2014-04-13T00:00:00Z,3.017
2014-04-14T00:00:00Z,5.283
2014-04-15T00:00:00Z,2.1
2014-04-16T00:00:00Z,12.9
2014-04-17T00:00:00Z,10.7
2014-04-18T00:00:00Z,4.567
2014-04-19T00:00:00Z,12.033
2014-04-20T00:00:00Z,9.8
2014-04-21T00:00:00Z,0.433
2014-04-22T00:00:00Z,6.867
2014-04-23T00:00:00Z,9
2014-04-24T00:00:00Z,6.85
2014-04-25T00:00:00Z,10
2014-04-26T00:00:00Z,1.3
2014-04-27T00:00:00Z,0.2
2014-04-28T00:00:00Z,0.117
2014-04-29T00:00:00Z,0
2014-04-30T00:00:00Z,1.283
2014-05-01T00:00:00Z,6.033
2014-05-02T00:00:00Z,0.017
2014-05-03T00:00:00Z,8.667
2014-05-04T00:00:00Z,11.283
2014-05-05T00:00:00Z,11.383
2014-05-06T00:00:00Z,2.133
2014-05-07T00:00:00Z,2.567
2014-05-08T00:00:00Z,0.1
2014-05-09T00:00:00Z,2.4
2014-05-10T00:00:00Z,0.45
2014-05-11T00:00:00Z,1.8
2014-05-12T00:00:00Z,0.983
2014-05-13T00:00:00Z,3.883
2014-05-14T00:00:00Z,6.033
2014-05-15T00:00:00Z,0.55
2014-05-16T00:00:00Z,12.183
2014-05-17T00:00:00Z,7.517
2014-05-18T00:00:00Z,12.1
2014-05-19T00:00:00Z,13.967
2014-05-20T00:00:00Z,6.9
2014-05-21T00:00:00Z,3.183
2014-05-22T00:00:00Z,6.15
2014-05-23T00:00:00Z,4.25
2014-05-24T00:00:00Z,2.4
2014-05-25T00:00:00Z,11.65
2014-05-26T00:00:00Z,0.1
2014-05-27T00:00:00Z,0
2014-05-28T00:00:00Z,0
2014-05-29T00:00:00Z,0
2014-05-30T00:00:00Z,4.583
2014-05-31T00:00:00Z,8.483
2014-06-01T00:00:00Z,4.833
2014-06-02T00:00:00Z,7.333
2014-06-03T00:00:00Z,7.017
2014-06-04T00:00:00Z,5.117
2014-06-05T00:00:00Z,6.183
2014-06-06T00:00:00Z,15.167
2014-06-07T00:00:00Z,11.133
2014-06-08T00:00:00Z,11.367
2014-06-09T00:00:00Z,10.683
2014-06-10T00:00:00Z,10.233
2014-06-11T00:00:00Z,8.933
2014-06-12T00:00:00Z,13.567
2014-06-13T00:00:00Z,7.9
2014-06-14T00:00:00Z,1.85
2014-06-15T00:00:00Z,7.15
2014-06-16T00:00:00Z,1.617
2014-06-17T00:00:00Z,0.783
2014-06-18T00:00:00Z,8.067
2014-06-19T00:00:00Z,0.05
2014-06-20T00:00:00Z,1.5
2014-06-21T00:00:00Z,6.117
2014-06-22T00:00:00Z,9.3
2014-06-23T00:00:00Z,7.467
2014-06-24T00:00:00Z,4.8
2014-06-25T00:00:00Z,5.217
2014-06-26T00:00:00Z,8.883
2014-06-27T00:00:00Z,4.3
2014-06-28T00:00:00Z,1.1
2014-06-29T00:00:00Z,1.567
2014-06-30T00:00:00Z,4.1
2014-07-01T00:00:00Z,9.883
2014-07-02T00:00:00Z,10.8
2014-07-03T00:00:00Z,14.75
2014-07-04T00:00:00Z,8.25
2014-07-05T00:00:00Z,0.633
2014-07-06T00:00:00Z,6.567
2014-07-07T00:00:00Z,9.667
2014-07-08T00:00:00Z,0
2014-07-09T00:00:00Z,0
2014-07-10T00:00:00Z,4.2
2014-07-11T00:00:00Z,1.617
2014-07-12T00:00:00Z,4.217
2014-07-13T00:00:00Z,1.367
2014-07-14T00:00:00Z,2.05
2014-07-15T00:00:00Z,2.617
2014-07-16T00:00:00Z,11.567
2014-07-17T00:00:00Z,11.95
2014-07-18T00:00:00Z,14.633
2014-07-19T00:00:00Z,12.9
2014-07-20T00:00:00Z,2.317
2014-07-21T00:00:00Z,0
2014-07-22T00:00:00Z,11.8
2014-07-23T00:00:00Z,13.25
2014-07-24T00:00:00Z,12.35
2014-07-25T00:00:00Z,2.467
2014-07-26T00:00:00Z,7.233
2014-07-27T00:00:00Z,5.217
2014-07-28T00:00:00Z,3.667
2014-07-29T00:00:00Z,4.8
2014-07-30T00:00:00Z,4.033
2014-07-31T00:00:00Z,12.967
2014-08-01T00:00:00Z,11.517
2014-08-02T00:00:00Z,8.767
2014-08-03T00:00:00Z,7.9
2014-08-04T00:00:00Z,4.85
