datum,ka_essenkupferdreh,ka_velbert,ka_essensued,ka_burgaltendorf,ka_hattingen
2014-01-01,26326.8,4633.2,NA,6743.16,31869
2014-01-02,34819.2,7519.5,41403,9059.67,38561.4
2014-01-03,31327.2,5409,47043,8902.62,37156.5
2014-01-04,32432.4,4959.9000000000005,45119,9751.23,39564
2014-01-05,37065.6,6511.5,55537,10328.67,40293.9
2014-01-06,28782,5161.5,37299,7634.070000000001,32881.5
2014-01-07,29552.4,3838.5,78051,11602.62,36166.5
2014-01-08,30420,5784.3,49818,7482.6,34830
2014-01-09,35766,6960.6,54021,10550.25,43966.8
2014-01-10,22626,3686.4,34615,6263.01,30586.5
2014-01-11,26920.8,4784.4000000000005,42553,8136.72,34868.7
2014-01-12,21276,3051.9,32849,6348.6900000000005,27558
2014-01-13,20887.2,2886.3,32199,6825.51,26865.9
2014-01-14,21448.8,3375.9,35141,5838.93,27524.7
2014-01-15,20149.2,3386.7000000000003,31171,5802.75,25776
2014-01-16,25102.800000000003,5331.6,33818,6943.68,29135.7
2014-01-17,19908,2774.7000000000003,30365,6003.81,24840
2014-01-18,17942.4,2592,30585,5958.63,23765.4
2014-01-19,16178.4,2281.5,30008,5713.56,22939.2
2014-01-20,16912.8,2463.3,29180,5675.22,22229.1
2014-01-21,17438.4,2594.7000000000003,29132,5774.4000000000005,23332.499999999996
2014-01-22,17463.6,2494.8,28668,5643.09,21219.3
2014-01-23,16858.8,3138.3,28742,5728.32,22902.300000000003
2014-01-24,28814.4,7375.5,50864,9836.82,31831.2
2014-01-25,19159.2,3051,30316,6682.95,23958.899999999998
2014-01-26,45478.8,8251.2,74584,16132.41,61258.5
2014-01-27,58266,9008.1,55348,13318.380000000001,61834.5
2014-01-28,30441.6,5154.3,30668,6367.77,30786.3
2014-01-29,26528.4,4056.3,28669,6035.49,27247.5
2014-01-30,23418.000000000004,3658.5,28363,5908.860000000001,26446.5
2014-01-31,21772.8,3295.8,28486,5896.9800000000005,25369.2
2014-02-01,45176.4,7507.8,57244,12167.91,51469.2
2014-02-02,22705.200000000004,3732.3,29339,6099.3,28235.7
2014-02-03,21610.8,3053.7000000000003,28541,6222.51,25917.3
2014-02-04,21528,3219.3,28303,5696.91,24392.700000000004
2014-02-05,20671.2,3287.7000000000003,30128,6386.49,25532.1
2014-02-06,24638.400000000005,4604.4000000000005,35422,7559.37,27990.9
2014-02-07,44539.2,7792.2,67703,14994.9,54409.5
2014-02-08,40680,7011.9000000000005,54308,11803.95,44762.40000000001
2014-02-09,23763.600000000002,3973.5,31055,6488.01,29448
2014-02-10,22597.200000000004,3012.3,29471,6260.4000000000005,26559.9
2014-02-11,22258.8,3657.6,29802,6319.17,28072.8
2014-02-12,30006,5656.5,32870,7379.7300000000005,35352
2014-02-13,37951.2,7444.8,49322,9885.78,40663.8
2014-02-14,32180.4,5427,42406,9035.91,35698.5
2014-02-15,25812,4500.9000000000005,30069,6579.09,27947.7
2014-02-16,26100,4336.2,30994,5482.62,29036.7
2014-02-17,21841.2,2847.6,28375,6715.08,25833.6
2014-02-18,20732.4,2899.8,28315,5569.56,25335
2014-02-19,24847.199999999997,4257.9,37177,6150.42,29331.9
2014-02-20,23025.6,3969,31057,6003.27,25780.5
2014-02-21,38678.4,6892.2,48078,8154.72,39296.7
2014-02-22,21992.4,3591.9,28912,5945.49,26476.2
2014-02-23,19861.2,2422.8,28392,5748.39,23820.300000000003
2014-02-24,20592,2497.5,28194,5498.01,23263.2
2014-02-25,19926,2571.3,27821,5379.3,23029.200000000004
2014-02-26,22453.2,3975.3,34633,6057.09,25327.8
2014-02-27,27529.2,4856.4,41244,7598.43,29125.8
2014-02-28,24415.199999999997,5427,29755,6102.63,25550.1
2014-03-01,18982.8,2629.8,28714,5503.14,22563.9
2014-03-02,17157.6,2219.4,27123,5430.6900000000005,21627.9
2014-03-03,18518.4,3080.7000000000003,28311,5593.05,21928.5
2014-03-04,17557.2,2448.9,27467,5312.610000000001,20706.3
2014-03-05,17092.8,2512.8,27434,5196.780000000001,20196
2014-03-06,16585.2,2500.2000000000003,26737,5389.74,19363.5
2014-03-07,17010,2285.1,26921,5426.7300000000005,19665.9
2014-03-08,16030.8,2263.5,27481,5537.25,20470.5
2014-03-09,15375.6,1872.9,26734,5507.7300000000005,18441.9
2014-03-10,15912,2260.8,26442,5148.72,19611.9
2014-03-11,15573.6,2358,26050,5225.13,19196.1
2014-03-12,15616.8,2347.2000000000003,26322,5092.29,18631.8
2014-03-13,14871.6,2202.3,25829,5107.41,19123.2
2014-03-14,15652.8,2134.8,26506,5114.43,19823.4
2014-03-15,17110.8,2515.5,29885,5545.4400000000005,21221.1
2014-03-16,14756.4,1833.3,26719,5137.74,19408.5
2014-03-17,14972.4,2097,26801,4951.4400000000005,19362.6
2014-03-18,15073.2,2396.7000000000003,27652,4957.02,19077.3
2014-03-19,29746.8,5160.6,61840,12105.99,44871.3
2014-03-20,14655.6,2101.5,28195,4729.05,19892.7
2014-03-21,18482.4,2952,35990,5555.79,21867.3
2014-03-22,24008.4,4307.4000000000005,39741,5104.8,28743.3
2014-03-23,14979.6,2634.3,30767,3580.2,20236.5
2014-03-24,19242,2503.8,30094,7294.41,23243.399999999998
2014-03-25,15660,2040.3,27006,4848.03,20214
2014-03-26,17416.8,1866.6000000000001,32434,4904.1900000000005,19142.1
2014-03-27,16347.6,2460.6,30529,5166.99,18841.5
2014-03-28,14331.6,1958.4,27208,5281.38,19084.5
2014-03-29,13809.6,1740.6000000000001,26996,5059.17,18514.8
2014-03-30,13327.2,1476,25792,4830.03,17806.68
