datum,r_essenruhrhaus,r_essensteele,r_hattingen,r_essenbrw,r_poertingsiepen,r_hattingenstade,r_langenberg
2014-05-01,16.19,15.54,3.9,28.16,19.76,6.43,13.75
2014-05-02,0.19,0.15,0.3,0.09,0.19,0.18,0.73
2014-05-03,0,0,0,0,0,0,0
2014-05-04,0,0,0,0,0,0,0
2014-05-05,0,0,0,0,0,0,0
2014-05-06,15.84,20.19,10.9,21.15,16.35,11.57,13.41
2014-05-07,2.07,1.12,1.3,1.64,1,1.04,1.88
2014-05-08,9.92,10.79,9.2,9.89,9.59,8.3,10.65
2014-05-09,13.98,15.75,12.3,13.91,10.24,14.32,7.96
2014-05-10,6.68,5.94,5.6,6.18,6.29,5.03,8.1
2014-05-11,1.32,2.82,1.8,2.89,1.82,1.43,2.35
2014-05-12,13.63,12.5,8.6,11.25,7.59,11.87,10.65
2014-05-13,1.02,0.95,3.7,1.93,1.69,0.4,4.22
2014-05-14,0,0.64,7.1,2.19,0.86,2.96,2.55
2014-05-15,0,0,0,0,0,0,0
2014-05-16,0,0.03,0,0,0,0,0.03
2014-05-17,0,0,0,0,0,0,0
2014-05-18,0,0,0,0,0,0,0
2014-05-19,0,0.03,0,0,0,0,0
2014-05-20,0,0,0,0,0,0,0
2014-05-21,0,0,0,0,0,0,0
2014-05-22,6.07,6.24,7.4,4.97,6.68,9.29,8.87
2014-05-23,0.99,0.92,1.8,4.45,1.12,2.94,2.15
2014-05-24,0,0,0,0,0,0,0.03
2014-05-25,0,0,0,0,0,0,0
2014-05-26,11.73,12.69,13.7,14.52,17.09,12.58,20.35
2014-05-27,8.2,7.7,10,6.87,9.02,7.66,18.23
2014-05-28,6.29,5.38,6.3,7.49,5.72,4.51,3.95
2014-05-29,1.68,1.36,2.2,1.91,3.07,1.03,2.16
2014-05-30,0,0,0,0,0,0,0
2014-05-31,0,0,0,0.03,0,0,0
2014-06-01,0,0,0,0,0,0,0
2014-06-02,0,0,0,0,0,0,0
2014-06-03,0,0,0,0.18,0,0,0
2014-06-04,5,4.1,4.3,5.23,7.3,5.11,6.12
2014-06-05,1.48,1.78,1,2.24,3.43,1.95,1.23
2014-06-06,0,0,0,0,0,0,0
2014-06-07,0,0,0,0.01,0,0,0
2014-06-08,0.89,0.82,1.1,0.84,0.54,1.26,0.73
2014-06-09,30.85,31.61,26.3,33.44,27.04,26.92,10.26
2014-06-10,6.84,7.21,7.6,6.6,7.37,10.65,11.1
2014-06-11,0,0,0,0.01,0.03,0,0
2014-06-12,0,0,0,0.02,0,0,0
2014-06-13,0,0,0,0.02,0,0,0
2014-06-14,0,0,0.1,0,0,0,0
2014-06-15,0,0,0,0,0,0,0
2014-06-16,0.25,0,0,0.24,0.03,0,0.18
2014-06-17,0,0,0.1,0.02,0,0,0
2014-06-18,0,0,0,0.03,0,0,0
2014-06-19,0.87,1.05,1.6,1.51,0.15,0.82,1.52
2014-06-20,0.47,0.09,0.1,2.65,0.29,0.07,0.61
2014-06-21,0,0,0,0,0,0,0
2014-06-22,0,0,0,0,0,0,0
2014-06-23,0,0,0,0.02,0,0,0
2014-06-24,0,0.89,2.8,0.88,0,2.3,0
2014-06-25,0,0,0,0.01,0,0,0.03
2014-06-26,0,0,0,0.21,0,0,0
2014-06-27,5.1,4.09,4.2,6.37,2.39,2.81,4.82
2014-06-28,12.02,13.49,12.7,10.86,8.27,11.64,13.73
2014-06-29,12.99,12.16,5.1,3.69,14.66,5.4,9.61
2014-06-30,3.64,1.82,3.3,0.76,0.73,2.09,3.75
2014-07-01,0,0,0,0,0,0,0
2014-07-02,0,0,0,0,0,0,0
2014-07-03,0,0,0,0,0,0,0
2014-07-04,0.16,0.03,0,0.4,0,0,0
2014-07-05,13.05,6.66,4.8,13.38,10.35,9.7,4.78
2014-07-06,1.29,1.91,5.5,2.93,0.7,1.37,3.24
2014-07-07,6.03,5.86,6.3,6.57,5.35,5.23,6.78
2014-07-08,30.67,28.29,36.8,36.52,34.16,29.25,39.22
2014-07-09,40.32,39.64,30.7,45.1,51.38,31.6,29.24
2014-07-10,0.25,1.06,2.6,2.04,4.12,2.73,4.1
2014-07-11,0.28,0.13,1.8,0.32,0,1.84,0.25
2014-07-12,0.04,0.51,0,0.06,0,2.1,0.05
2014-07-13,0.55,0.31,1.4,1.04,0.58,1.03,5.55
2014-07-14,0.67,0.29,2.6,0.2,0,0.07,0.62
2014-07-15,0,0,0,0.03,0,0,0
2014-07-16,0,0,0,0,0,0,0
2014-07-17,0,0,0,0,0,0,0
2014-07-18,0,0,0,0,0,0,0
2014-07-19,0,0,0.1,0.16,0.09,0.22,0.03
2014-07-20,28.67,29.74,12.1,12.92,50.37,36.5,34.71
2014-07-21,10.01,9.43,18.3,10.02,11.01,13.25,12.84
2014-07-22,0,0,0,0,0,0,0
2014-07-23,0,0,0,0,0,0,0
2014-07-24,0,0,0,0,0,0,0
2014-07-25,0.09,0.06,0.2,0,0,0,0
2014-07-26,0,0,0,0,0,0,0
2014-07-27,0,0,0.1,0.03,0.06,0,0
2014-07-28,28.82,1.94,40.6,1.22,10.72,5.16,4.32
2014-07-29,5.4,37.14,12.6,5.35,18.63,22.04,8.8
2014-07-30,0,0,0,0,0,0,0
2014-07-31,0,0,0,0,0,0,0
2014-08-01,0,0,0,0,0,0,0
2014-08-02,6.8,4.25,5.3,17.86,13.92,5.96,11.84
2014-08-03,17.16,11.93,10.9,14.41,17.34,10.57,15.3
2014-08-04,0.65,1.16,1.5,0.54,1.89,2.42,4.88
2014-08-05,0,0,0,0,0,0,0
2014-08-06,4.93,3.45,1.8,5.49,5.42,2.59,3.88
2014-08-07,0,0,0,0,0,0,0.09
2014-08-08,7.79,3.9,7.1,6.63,4.06,3.46,4.33
2014-08-09,0.04,0.1,0.5,0,0.64,1.02,0.43
2014-08-10,1.96,2.81,1.6,2.68,2.18,1.69,2.09
2014-08-11,1.34,0.62,0.6,1.24,0.59,0.17,0.95
2014-08-12,4.33,2.65,1.7,4.03,1.62,0.79,1.39
2014-08-13,0,0,0.5,0,1.94,1.97,0.74
2014-08-14,0.63,0.42,1.4,0.1,0.64,0.48,2.37
2014-08-15,9.86,13.08,15.2,14.17,10.46,17.64,30.08
2014-08-16,1.68,0.99,0.6,0.44,1.35,0.33,2.45
2014-08-17,0.28,0.17,1.8,0.71,0.67,0.28,2.49
2014-08-18,2.31,1.95,3.6,4.88,5.85,2.4,2.5
2014-08-19,4.96,3.57,7,4.06,4.53,3.77,6.63
2014-08-20,4.02,2.45,0.2,2.88,1.43,2.34,0.87
2014-08-21,0.06,0,0.1,0.03,0.19,0.27,0.3
2014-08-22,3.3,3.82,2.3,3.85,3.1,2.46,3.16
2014-08-23,0.61,0.58,1.2,0,1.87,3.6,0
2014-08-24,0.75,0.22,0.3,0.32,0.34,0.27,0.2
2014-08-25,13.83,13.74,15.2,14.41,14.77,14.64,14.99
2014-08-26,8.24,7.9,9.9,8.13,8.34,7.93,9.72
2014-08-27,0,0,0,0,0.03,0,0
2014-08-28,0.76,0.48,0.5,1.31,0.44,0.41,0.77
2014-08-29,0.79,1.61,0.6,1.52,0.55,0.44,0.61
2014-08-30,4,4.37,4.1,4.7,4.72,4.73,4.55
2014-08-31,0.27,1.89,3.2,3.18,2.36,5.24,5.59
2014-09-01,0,0,0,0,0,0,0
2014-09-02,0,0,0,0,0,0,0
2014-09-03,0,0,0,0,0,0,0
2014-09-04,0,0,0,0,0,0,0
2014-09-05,0,0,0,0,0,0,0
2014-09-06,0,0,0.5,0,0.06,0.03,0.99
2014-09-07,0,0,0,0,0,0,0
2014-09-08,0,0,0,0,0,0,0
2014-09-09,0,0,0,0,0,0,0
2014-09-10,0,0,0,0,0,0,0.56
2014-09-11,0,0,0,0,0,0,0
2014-09-12,0,0,0,0,0,0,0
2014-09-13,0,0,0,0,0,0,0
2014-09-14,0,0,0,0,0,0.03,0
2014-09-15,0,0,0,0,0,0,0
2014-09-16,0,0,0,0,0,0,0
2014-09-17,0,0,0,0,0,0,0
2014-09-18,37.46,29.62,24.8,18.61,22.45,26.7,17.4
2014-09-19,0,0.39,0,0,0.03,0,0
2014-09-20,5.38,11.26,6.2,8.37,3.58,8.78,2.5
