datum;ka_essenkupferdreh
2014-01-01;26326.8
2014-01-02;34819.2
2014-01-03;31327.2
2014-01-04;32432.4
2014-01-05;37065.6
2014-01-06;28782
2014-01-07;29552.4
2014-01-08;30420
2014-01-09;35766
2014-01-10;22626
2014-01-11;26920.8
2014-01-12;21276
2014-01-13;20887.2
2014-01-14;21448.8
2014-01-15;20149.2
2014-01-16;25102.8
2014-01-17;19908
2014-01-18;17942.4
2014-01-19;16178.4
2014-01-20;16912.8
2014-01-21;17438.4
2014-01-22;17463.6
2014-01-23;16858.8
2014-01-24;28814.4
2014-01-25;19159.2
2014-01-26;45478.8
2014-01-27;58266
2014-01-28;30441.6
2014-01-29;26528.4
2014-01-30;23418
2014-01-31;21772.8
2014-02-01;45176.4
2014-02-02;22705.2
2014-02-03;21610.8
2014-02-04;21528
2014-02-05;20671.2
2014-02-06;24638.4
2014-02-07;44539.2
2014-02-08;40680
2014-02-09;23763.6
2014-02-10;22597.2
2014-02-11;22258.8
2014-02-12;30006
2014-02-13;37951.2
2014-02-14;32180.4
2014-02-15;25812
2014-02-16;26100
2014-02-17;21841.2
2014-02-18;20732.4
2014-02-19;24847.2
2014-02-20;23025.6
2014-02-21;38678.4
2014-02-22;21992.4
2014-02-23;19861.2
2014-02-24;20592
2014-02-25;19926
2014-02-26;22453.2
2014-02-27;27529.2
2014-02-28;24415.2
2014-03-01;18982.8
2014-03-02;17157.6
2014-03-03;18518.4
2014-03-04;17557.2
2014-03-05;17092.8
2014-03-06;16585.2
2014-03-07;17010
2014-03-08;16030.8
2014-03-09;15375.6
2014-03-10;15912
2014-03-11;15573.6
2014-03-12;15616.8
2014-03-13;14871.6
2014-03-14;15652.8
2014-03-15;17110.8
2014-03-16;14756.4
2014-03-17;14972.4
2014-03-18;15073.2
2014-03-19;29746.8
2014-03-20;14655.6
2014-03-21;18482.4
2014-03-22;24008.4
2014-03-23;14979.6
2014-03-24;19242
2014-03-25;15660
2014-03-26;17416.8
2014-03-27;16347.6
2014-03-28;14331.6
2014-03-29;13809.6
2014-03-30;13327.2
2014-03-31;14418
2014-04-01;14245.2
2014-04-02;13896
2014-04-03;13845.6
2014-04-04;14338.8
2014-04-05;13334.4
2014-04-06;12855.6
2014-04-07;13662
2014-04-08;32292
2014-04-09;15339.6
2014-04-10;13672.8
2014-04-11;13276.8
2014-04-12;13230
2014-04-13;12063.6
2014-04-14;15768
2014-04-15;13114.8
2014-04-16;14072.4
2014-04-17;12783.6
2014-04-18;17658
2014-04-19;11584.8
2014-04-20;10972.8
2014-04-21;12178.8
2014-04-22;12643.2
2014-04-23;12344.4
2014-04-24;14655.6
2014-04-25;13060.8
2014-04-26;15141.6
2014-04-27;46324.8
2014-04-28;15472.8
2014-04-29;34581.6
2014-04-30;15235.2
2014-05-01;13863.6
2014-05-02;54406.8
2014-05-03;17326.8
2014-05-04;14900.4
2014-05-05;15555.6
2014-05-06;19746
2014-05-07;42382.8
2014-05-08;24346.8
2014-05-09;46882.8
2014-05-10;50464.8
2014-05-11;33278.4
2014-05-12;38631.6
2014-05-13;40172.4
2014-05-14;33292.8
2014-05-15;28843.2
2014-05-16;24746.4
2014-05-17;21837.6
2014-05-18;19720.8
2014-05-19;19580.4
2014-05-20;17704.8
2014-05-21;17488.8
2014-05-22;23126.4
2014-05-23;26197.2
2014-05-24;16185.6
2014-05-25;15242.4
2014-05-26;23601.6
2014-05-27;50479.2
2014-05-28;33267.6
2014-05-29;34196.4
2014-05-30;23720.4
2014-05-31;20430
2014-06-01;18525.6
2014-06-02;18687.6
