Station;Essen BRW LANUV
Stationsnummer;45070215
Unterbezeichnung;
Parameter;Niederschlag
Einheit;mm
Aussage;Summe
Lebenslauf; Summen je ‚  1 Tag
Zeitangabe;Rechte Seite des Zeitintervalls mit Intervallwert
02.05.2014 07:30:00;     28,16
03.05.2014 07:30:00;      0,09
04.05.2014 07:30:00;         0
05.05.2014 07:30:00;         0
06.05.2014 07:30:00;         0
07.05.2014 07:30:00;     21,15
08.05.2014 07:30:00;      1,64
09.05.2014 07:30:00;      9,89
10.05.2014 07:30:00;     13,91
11.05.2014 07:30:00;      6,18
12.05.2014 07:30:00;      2,89
13.05.2014 07:30:00;     11,25
14.05.2014 07:30:00;      1,93
15.05.2014 07:30:00;      2,19
16.05.2014 07:30:00;         0
17.05.2014 07:30:00;         0
18.05.2014 07:30:00;         0
19.05.2014 07:30:00;         0
20.05.2014 07:30:00;         0
21.05.2014 07:30:00;         0
22.05.2014 07:30:00;         0
23.05.2014 07:30:00;      4,97
24.05.2014 07:30:00;      4,45
25.05.2014 07:30:00;         0
26.05.2014 07:30:00;         0
27.05.2014 07:30:00;     14,52
28.05.2014 07:30:00;      6,87
29.05.2014 07:30:00;      7,49
30.05.2014 07:30:00;      1,91
31.05.2014 07:30:00;         0
01.06.2014 07:30:00;      0,03
02.06.2014 07:30:00;         0
03.06.2014 07:30:00;         0
04.06.2014 07:30:00;      0,18
05.06.2014 07:30:00;      5,23
06.06.2014 07:30:00;      2,24
07.06.2014 07:30:00;         0
08.06.2014 07:30:00;      0,01
09.06.2014 07:30:00;      0,84
10.06.2014 07:30:00;     33,44
11.06.2014 07:30:00;      6,60
12.06.2014 07:30:00;      0,01
13.06.2014 07:30:00;      0,02
14.06.2014 07:30:00;      0,02
15.06.2014 07:30:00;         0
16.06.2014 07:30:00;         0
17.06.2014 07:30:00;      0,24
18.06.2014 07:30:00;      0,02
19.06.2014 07:30:00;      0,03
20.06.2014 07:30:00;      1,51
21.06.2014 07:30:00;      2,65
22.06.2014 07:30:00;         0
23.06.2014 07:30:00;         0
24.06.2014 07:30:00;      0,02
25.06.2014 07:30:00;      0,88
26.06.2014 07:30:00;      0,01
27.06.2014 07:30:00;      0,21
28.06.2014 07:30:00;      6,37
29.06.2014 07:30:00;     10,86
30.06.2014 07:30:00;      3,69
01.07.2014 07:30:00;      0,76
02.07.2014 07:30:00;         0
03.07.2014 07:30:00;         0
04.07.2014 07:30:00;         0
05.07.2014 07:30:00;      0,40
06.07.2014 07:30:00;     13,38
07.07.2014 07:30:00;      2,93
08.07.2014 07:30:00;      6,57
09.07.2014 07:30:00;     36,52
10.07.2014 07:30:00;     45,10
11.07.2014 07:30:00;      2,04
12.07.2014 07:30:00;      0,32
13.07.2014 07:30:00;      0,06
14.07.2014 07:30:00;      1,04
15.07.2014 07:30:00;      0,20
16.07.2014 07:30:00;      0,03
17.07.2014 07:30:00;         0
18.07.2014 07:30:00;         0
19.07.2014 07:30:00;         0
20.07.2014 07:30:00;      0,16
21.07.2014 07:30:00;     12,92
