Station;Essen Pörtingsiepen N
Stationsnummer;46080144
Unterbezeichnung;
Parameter;Niederschlag
Einheit;mm
Aussage;Summe
Lebenslauf; Summen je ‚  1 Tag
Zeitangabe;Linke Seite des Zeitintervalls mit Intervallwert
01.05.2014 07:30:00;     19,76
02.05.2014 07:30:00;      0,19
03.05.2014 07:30:00;         0
04.05.2014 07:30:00;         0
05.05.2014 07:30:00;         0
06.05.2014 07:30:00;     16,35
07.05.2014 07:30:00;      1,00
08.05.2014 07:30:00;      9,59
09.05.2014 07:30:00;     10,24
10.05.2014 07:30:00;      6,29
11.05.2014 07:30:00;      1,82
12.05.2014 07:30:00;      7,59
13.05.2014 07:30:00;      1,69
14.05.2014 07:30:00;      0,86
15.05.2014 07:30:00;         0
16.05.2014 07:30:00;         0
17.05.2014 07:30:00;         0
18.05.2014 07:30:00;         0
19.05.2014 07:30:00;         0
20.05.2014 07:30:00;         0
21.05.2014 07:30:00;         0
22.05.2014 07:30:00;      6,68
23.05.2014 07:30:00;      1,12
24.05.2014 07:30:00;         0
25.05.2014 07:30:00;         0
26.05.2014 07:30:00;     17,09
27.05.2014 07:30:00;      9,02
28.05.2014 07:30:00;      5,72
29.05.2014 07:30:00;      3,07
30.05.2014 07:30:00;         0
31.05.2014 07:30:00;         0
01.06.2014 07:30:00;         0
02.06.2014 07:30:00;         0
03.06.2014 07:30:00;         0
04.06.2014 07:30:00;      7,30
05.06.2014 07:30:00;      3,43
06.06.2014 07:30:00;         0
07.06.2014 07:30:00;         0
08.06.2014 07:30:00;      0,54
09.06.2014 07:30:00;     27,04
10.06.2014 07:30:00;      7,37
11.06.2014 07:30:00;      0,03
12.06.2014 07:30:00;         0
13.06.2014 07:30:00;         0
14.06.2014 07:30:00;         0
15.06.2014 07:30:00;         0
16.06.2014 07:30:00;      0,03
17.06.2014 07:30:00;         0
18.06.2014 07:30:00;         0
19.06.2014 07:30:00;      0,15
20.06.2014 07:30:00;      0,29
21.06.2014 07:30:00;         0
22.06.2014 07:30:00;         0
23.06.2014 07:30:00;         0
24.06.2014 07:30:00;         0
25.06.2014 07:30:00;         0
26.06.2014 07:30:00;         0
27.06.2014 07:30:00;      2,39
28.06.2014 07:30:00;      8,27
29.06.2014 07:30:00;     14,66
30.06.2014 07:30:00;      0,73
01.07.2014 07:30:00;         0
02.07.2014 07:30:00;         0
03.07.2014 07:30:00;         0
04.07.2014 07:30:00;         0
05.07.2014 07:30:00;     10,35
06.07.2014 07:30:00;      0,70
07.07.2014 07:30:00;      5,35
08.07.2014 07:30:00;     34,16
09.07.2014 07:30:00;     51,38
10.07.2014 07:30:00;      4,12
