Station;Hattingen_Am_Stade
Stationsnummer;45083465
Unterbezeichnung;
Parameter;Niederschlag
Einheit;mm
Aussage;Summe
Lebenslauf; Summen je ‚  1 Tag
Zeitangabe;Linke Seite des Zeitintervalls mit Intervallwert
01.05.2014 07:30:00;      6,43
02.05.2014 07:30:00;      0,18
03.05.2014 07:30:00;         0
04.05.2014 07:30:00;         0
05.05.2014 07:30:00;         0
06.05.2014 07:30:00;     11,57
07.05.2014 07:30:00;      1,04
08.05.2014 07:30:00;      8,30
09.05.2014 07:30:00;     14,32
10.05.2014 07:30:00;      5,03
11.05.2014 07:30:00;      1,43
12.05.2014 07:30:00;     11,87
13.05.2014 07:30:00;      0,40
14.05.2014 07:30:00;      2,96
15.05.2014 07:30:00;         0
16.05.2014 07:30:00;         0
17.05.2014 07:30:00;         0
18.05.2014 07:30:00;         0
19.05.2014 07:30:00;         0
20.05.2014 07:30:00;         0
21.05.2014 07:30:00;         0
22.05.2014 07:30:00;      9,29
23.05.2014 07:30:00;      2,94
24.05.2014 07:30:00;         0
25.05.2014 07:30:00;         0
26.05.2014 07:30:00;     12,58
27.05.2014 07:30:00;      7,66
28.05.2014 07:30:00;      4,51
29.05.2014 07:30:00;      1,03
30.05.2014 07:30:00;         0
31.05.2014 07:30:00;         0
01.06.2014 07:30:00;         0
02.06.2014 07:30:00;         0
03.06.2014 07:30:00;         0
04.06.2014 07:30:00;      5,11
05.06.2014 07:30:00;      1,95
06.06.2014 07:30:00;         0
07.06.2014 07:30:00;         0
08.06.2014 07:30:00;      1,26
09.06.2014 07:30:00;     26,92
10.06.2014 07:30:00;     10,65
11.06.2014 07:30:00;         0
12.06.2014 07:30:00;         0
13.06.2014 07:30:00;         0
14.06.2014 07:30:00;         0
15.06.2014 07:30:00;         0
16.06.2014 07:30:00;         0
17.06.2014 07:30:00;         0
18.06.2014 07:30:00;         0
19.06.2014 07:30:00;      0,82
20.06.2014 07:30:00;      0,07
21.06.2014 07:30:00;         0
22.06.2014 07:30:00;         0
23.06.2014 07:30:00;         0
24.06.2014 07:30:00;      2,30
25.06.2014 07:30:00;         0
26.06.2014 07:30:00;         0
27.06.2014 07:30:00;      2,81
28.06.2014 07:30:00;     11,64
29.06.2014 07:30:00;      5,40
30.06.2014 07:30:00;      2,09
01.07.2014 07:30:00;         0
02.07.2014 07:30:00;         0
03.07.2014 07:30:00;         0
04.07.2014 07:30:00;         0
05.07.2014 07:30:00;      9,70
06.07.2014 07:30:00;      1,37
07.07.2014 07:30:00;      5,23
08.07.2014 07:30:00;     29,25
09.07.2014 07:30:00;     31,60
10.07.2014 07:30:00;      2,73
11.07.2014 07:30:00;      1,84
12.07.2014 07:30:00;      2,10
13.07.2014 07:30:00;      1,03
14.07.2014 07:30:00;      0,07
15.07.2014 07:30:00;         0
16.07.2014 07:30:00;         0
17.07.2014 07:30:00;         0
18.07.2014 07:30:00;         0
19.07.2014 07:30:00;      0,22
20.07.2014 07:30:00;     36,50
21.07.2014 07:30:00;     13,25
22.07.2014 07:30:00;         0
23.07.2014 07:30:00;         0
24.07.2014 07:30:00;         0
25.07.2014 07:30:00;         0
26.07.2014 07:30:00;         0
27.07.2014 07:30:00;         0
28.07.2014 07:30:00;      5,16
29.07.2014 07:30:00;     22,04
30.07.2014 07:30:00;         0
31.07.2014 07:30:00;         0
01.08.2014 07:30:00;         0
02.08.2014 07:30:00;      5,96
03.08.2014 07:30:00;     10,57
04.08.2014 07:30:00;      2,42
05.08.2014 07:30:00;         0
06.08.2014 07:30:00;      2,59
07.08.2014 07:30:00;         0
08.08.2014 07:30:00;      3,46
09.08.2014 07:30:00;      1,02
10.08.2014 07:30:00;      1,69
11.08.2014 07:30:00;      0,17
12.08.2014 07:30:00;      0,79
13.08.2014 07:30:00;      1,97
14.08.2014 07:30:00;      0,48
15.08.2014 07:30:00;     17,64
16.08.2014 07:30:00;      0,33
17.08.2014 07:30:00;      0,28
18.08.2014 07:30:00;      2,40
19.08.2014 07:30:00;      3,77
20.08.2014 07:30:00;      2,34
21.08.2014 07:30:00;      0,27
22.08.2014 07:30:00;      2,46
23.08.2014 07:30:00;      3,60
24.08.2014 07:30:00;      0,27
25.08.2014 07:30:00;     14,64
26.08.2014 07:30:00;      7,93
