Station;Langenberg Sender
Stationsnummer;46080123
Unterbezeichnung;
Parameter;Niederschlag
Einheit;mm
Aussage;Summe
Lebenslauf; Summen je ‚  1 Tag
Zeitangabe;Rechte Seite des Zeitintervalls mit Intervallwert
02.05.2014 07:30:00;     13,75
03.05.2014 07:30:00;      0,73
04.05.2014 07:30:00;         0
05.05.2014 07:30:00;         0
06.05.2014 07:30:00;         0
07.05.2014 07:30:00;     13,41
08.05.2014 07:30:00;      1,88
09.05.2014 07:30:00;     10,65
10.05.2014 07:30:00;      7,96
11.05.2014 07:30:00;      8,10
12.05.2014 07:30:00;      2,35
13.05.2014 07:30:00;     10,65
14.05.2014 07:30:00;      4,22
15.05.2014 07:30:00;      2,55
16.05.2014 07:30:00;         0
17.05.2014 07:30:00;      0,03
18.05.2014 07:30:00;         0
19.05.2014 07:30:00;         0
20.05.2014 07:30:00;         0
21.05.2014 07:30:00;         0
22.05.2014 07:30:00;         0
23.05.2014 07:30:00;      8,87
24.05.2014 07:30:00;      2,15
25.05.2014 07:30:00;      0,03
26.05.2014 07:30:00;         0
27.05.2014 07:30:00;     20,35
28.05.2014 07:30:00;     18,23
29.05.2014 07:30:00;      3,95
30.05.2014 07:30:00;      2,16
31.05.2014 07:30:00;         0
01.06.2014 07:30:00;         0
02.06.2014 07:30:00;         0
03.06.2014 07:30:00;         0
04.06.2014 07:30:00;         0
05.06.2014 07:30:00;      6,12
06.06.2014 07:30:00;      1,23
07.06.2014 07:30:00;         0
08.06.2014 07:30:00;         0
09.06.2014 07:30:00;      0,73
10.06.2014 07:30:00;     10,26
11.06.2014 07:30:00;     11,10
12.06.2014 07:30:00;         0
13.06.2014 07:30:00;         0
14.06.2014 07:30:00;         0
15.06.2014 07:30:00;         0
16.06.2014 07:30:00;         0
17.06.2014 07:30:00;      0,18
18.06.2014 07:30:00;         0
19.06.2014 07:30:00;         0
20.06.2014 07:30:00;      1,52
21.06.2014 07:30:00;      0,61
22.06.2014 07:30:00;         0
23.06.2014 07:30:00;         0
24.06.2014 07:30:00;         0
25.06.2014 07:30:00;         0
26.06.2014 07:30:00;      0,03
27.06.2014 07:30:00;         0
28.06.2014 07:30:00;      4,82
29.06.2014 07:30:00;     13,73
30.06.2014 07:30:00;      9,61
01.07.2014 07:30:00;      3,75
02.07.2014 07:30:00;         0
03.07.2014 07:30:00;         0
04.07.2014 07:30:00;         0
05.07.2014 07:30:00;         0
06.07.2014 07:30:00;      4,78
07.07.2014 07:30:00;      3,24
08.07.2014 07:30:00;      6,78
09.07.2014 07:30:00;     39,22
10.07.2014 07:30:00;     29,24
11.07.2014 07:30:00;      4,10
12.07.2014 07:30:00;      0,25
13.07.2014 07:30:00;      0,05
14.07.2014 07:30:00;      5,55
15.07.2014 07:30:00;      0,62
16.07.2014 07:30:00;         0
17.07.2014 07:30:00;         0
18.07.2014 07:30:00;         0
19.07.2014 07:30:00;         0
20.07.2014 07:30:00;      0,03
21.07.2014 07:30:00;     34,71
22.07.2014 07:30:00;     12,84
23.07.2014 07:30:00;         0
24.07.2014 07:30:00;         0
25.07.2014 07:30:00;         0
26.07.2014 07:30:00;         0
