Name;Datum;Tagessumme;Vollständigkeit(%)
AachenSoers;2017-01-01;1.70;0
AachenSoers;2017-01-02;0.80;0
AachenSoers;2017-01-03;0.60;0
AachenSoers;2017-01-04;7.80;0
AachenSoers;2017-01-05;0.00;0
AachenSoers;2017-01-06;0.00;0
AachenSoers;2017-01-07;1.50;0
AachenSoers;2017-01-08;0.00;0
AachenSoers;2017-01-09;3.00;0
AachenSoers;2017-01-10;0.10;0
AachenSoers;2017-01-11;2.80;0
AachenSoers;2017-01-12;9.10;0
AachenSoers;2017-01-13;3.10;0
AachenSoers;2017-01-14;3.20;0
AachenSoers;2017-01-15;0.00;0
AachenSoers;2017-01-16;0.00;0
AachenSoers;2017-01-17;0.00;0
AachenSoers;2017-01-18;0.00;0
AachenSoers;2017-01-19;0.00;0
AachenSoers;2017-01-20;0.00;0
AachenSoers;2017-01-21;0.00;0
AachenSoers;2017-01-22;0.00;0
AachenSoers;2017-01-23;0.10;0
AachenSoers;2017-01-24;0.00;0
AachenSoers;2017-01-25;0.00;0
AachenSoers;2017-01-26;0.00;0
AachenSoers;2017-01-27;0.00;0
AachenSoers;2017-01-28;0.30;0
AachenSoers;2017-01-29;3.20;0
AachenSoers;2017-01-30;1.40;0
AachenSoers;2017-01-31;0.00;0
AachenSoers;2017-02-01;0.10;0
AachenSoers;2017-02-02;0.00;0
AachenSoers;2017-02-03;0.50;0
AachenSoers;2017-02-04;3.80;0
AachenSoers;2017-02-05;0.00;0
AachenSoers;2017-02-06;0.00;0
AachenSoers;2017-02-07;1.00;0
AachenSoers;2017-02-08;0.00;0
AachenSoers;2017-02-09;0.00;0
AachenSoers;2017-02-10;0.50;0
AachenSoers;2017-02-11;4.40;0
AachenSoers;2017-02-12;0.00;0
AachenSoers;2017-02-13;0.00;0
AachenSoers;2017-02-14;0.00;0
AachenSoers;2017-02-15;0.00;0
AachenSoers;2017-02-16;0.00;0
AachenSoers;2017-02-17;0.80;0
AachenSoers;2017-02-18;0.00;0
AachenSoers;2017-02-19;0.00;0
AachenSoers;2017-02-20;6.50;0
AachenSoers;2017-02-21;3.10;0
AachenSoers;2017-02-22;17.20;0
AachenSoers;2017-02-23;5.60;0
AachenSoers;2017-02-24;2.10;0
AachenSoers;2017-02-25;0.00;0
AachenSoers;2017-02-26;0.00;0
AachenSoers;2017-02-27;10.90;0
AachenSoers;2017-02-28;5.40;0
AachenSoers;2017-03-01;3.30;0
AachenSoers;2017-03-02;0.20;0
AachenSoers;2017-03-03;0.00;0
AachenSoers;2017-03-04;9.90;0
AachenSoers;2017-03-05;2.40;0
AachenSoers;2017-03-06;5.30;0
AachenSoers;2017-03-07;1.50;0
AachenSoers;2017-03-08;13.90;0
AachenSoers;2017-03-09;0.60;0
AachenSoers;2017-03-10;0.00;0
AachenSoers;2017-03-11;0.00;0
AachenSoers;2017-03-12;0.00;0
AachenSoers;2017-03-13;0.00;0
AachenSoers;2017-03-14;0.00;0
AachenSoers;2017-03-15;0.00;0
AachenSoers;2017-03-16;0.00;0
AachenSoers;2017-03-17;2.70;0
AachenSoers;2017-03-18;10.60;0
AachenSoers;2017-03-19;0.10;0
AachenSoers;2017-03-20;1.60;0
AachenSoers;2017-03-21;0.10;0
AachenSoers;2017-03-22;0.00;0
AachenSoers;2017-03-23;0.00;0
AachenSoers;2017-03-24;0.00;0
AachenSoers;2017-03-25;0.00;0
AachenSoers;2017-03-26;0.00;0
AachenSoers;2017-03-27;0.00;0
AachenSoers;2017-03-28;0.00;0
AachenSoers;2017-03-29;0.00;0
AachenSoers;2017-03-30;0.00;0
AachenSoers;2017-03-31;0.20;0
AachenSoers;2017-04-01;2.20;0
AachenSoers;2017-04-02;0.00;0
AachenSoers;2017-04-03;0.00;0
AachenSoers;2017-04-04;0.00;0
AachenSoers;2017-04-05;0.20;0
AachenSoers;2017-04-06;0.20;0
AachenSoers;2017-04-07;0.00;0
AachenSoers;2017-04-08;0.00;0
AachenSoers;2017-04-09;0.00;0
AachenSoers;2017-04-10;0.00;0
AachenSoers;2017-04-11;0.00;0
AachenSoers;2017-04-12;0.00;0
AachenSoers;2017-04-13;0.00;0
AachenSoers;2017-04-14;0.00;0
AachenSoers;2017-04-15;5.70;0
AachenSoers;2017-04-16;6.00;0
AachenSoers;2017-04-17;2.30;0
AachenSoers;2017-04-18;0.30;0
AachenSoers;2017-04-19;0.00;0
AachenSoers;2017-04-20;0.00;0
AachenSoers;2017-04-21;0.40;0
AachenSoers;2017-04-22;0.60;0
AachenSoers;2017-04-23;0.00;0
AachenSoers;2017-04-24;1.80;0
AachenSoers;2017-04-25;0.00;0
AachenSoers;2017-04-26;0.00;0
AachenSoers;2017-04-27;0.00;0
AachenSoers;2017-04-28;0.00;0
AachenSoers;2017-04-29;0.00;0
AachenSoers;2017-04-30;0.10;0
AachenSoers;2017-05-01;0.00;0
AachenSoers;2017-05-02;12.70;0
AachenSoers;2017-05-03;5.70;0
AachenSoers;2017-05-04;0.40;0
AachenSoers;2017-05-05;0.00;0
AachenSoers;2017-05-06;0.00;0
AachenSoers;2017-05-07;0.00;0
AachenSoers;2017-05-08;0.30;0
AachenSoers;2017-05-09;0.00;0
AachenSoers;2017-05-10;0.00;0
AachenSoers;2017-05-11;0.30;0
AachenSoers;2017-05-12;0.20;0
AachenSoers;2017-05-13;0.00;0
AachenSoers;2017-05-14;0.80;0
AachenSoers;2017-05-15;0.00;0
AachenSoers;2017-05-16;0.00;0
AachenSoers;2017-05-17;0.40;0
AachenSoers;2017-05-18;6.80;0
AachenSoers;2017-05-19;8.50;0
AachenSoers;2017-05-20;0.00;0
AachenSoers;2017-05-21;0.00;0
AachenSoers;2017-05-22;0.00;0
AachenSoers;2017-05-23;0.00;0
AachenSoers;2017-05-24;0.00;0
AachenSoers;2017-05-25;0.00;0
AachenSoers;2017-05-26;0.00;0
AachenSoers;2017-05-27;0.00;0
AachenSoers;2017-05-28;2.90;0
AachenSoers;2017-05-29;10.40;0
AachenSoers;2017-05-30;0.10;0
AachenSoers;2017-05-31;0.00;0
AachenSoers;2017-06-01;0.00;0
AachenSoers;2017-06-02;1.90;0
AachenSoers;2017-06-03;5.30;0
AachenSoers;2017-06-04;0.00;0
AachenSoers;2017-06-05;0.60;0
AachenSoers;2017-06-06;9.10;0
AachenSoers;2017-06-07;0.40;0
AachenSoers;2017-06-08;0.00;0
AachenSoers;2017-06-09;9.80;0
AachenSoers;2017-06-10;0.00;0
AachenSoers;2017-06-11;0.10;0
AachenSoers;2017-06-12;0.00;0
AachenSoers;2017-06-17;0.00;0
AachenSoers;2017-06-18;0.00;0
AachenSoers;2017-06-19;0.00;0
AachenSoers;2017-06-20;0.00;0
AachenSoers;2017-06-21;0.00;0
AachenSoers;2017-06-22;0.00;0
AachenSoers;2017-06-23;0.00;0
AachenSoers;2017-06-24;2.00;0
AachenSoers;2017-06-25;1.40;0
AachenSoers;2017-06-26;0.00;0
AachenSoers;2017-06-27;0.60;0
AachenSoers;2017-06-28;0.60;0
AachenSoers;2017-06-29;0.00;0
AachenSoers;2017-06-30;3.10;0
AachenSoers;2017-07-01;5.60;0
AachenSoers;2017-07-02;0.20;0
AachenSoers;2017-07-03;0.00;0
AachenSoers;2017-07-04;0.00;0
AachenSoers;2017-07-05;0.00;0
AachenSoers;2017-07-06;1.40;0
AachenSoers;2017-07-07;0.00;0
AachenSoers;2017-07-08;0.00;0
AachenSoers;2017-07-09;0.00;0
AachenSoers;2017-07-10;0.00;0
AachenSoers;2017-07-11;8.90;0
AachenSoers;2017-07-12;6.60;0
AachenSoers;2017-07-13;0.40;0
AachenSoers;2017-07-14;1.10;0
AachenSoers;2017-07-15;0.00;0
AachenSoers;2017-07-16;0.00;0
AachenSoers;2017-07-17;1.60;0
AachenSoers;2017-07-18;0.00;0
AachenSoers;2017-07-19;9.90;0
AachenSoers;2017-07-20;0.00;0
AachenSoers;2017-07-21;0.00;0
AachenSoers;2017-07-22;7.10;0
AachenSoers;2017-07-23;4.40;0
AachenSoers;2017-07-24;19.10;0
AachenSoers;2017-07-25;10.10;0
AachenSoers;2017-07-26;0.80;0
AachenSoers;2017-07-27;0.10;0
AachenSoers;2017-07-28;0.10;0
AachenSoers;2017-07-29;0.00;0
AachenSoers;2017-07-30;0.00;0
AachenSoers;2017-07-31;2.80;0
AachenSoers;2017-08-01;1.70;0
AachenSoers;2017-08-02;3.40;0
AachenSoers;2017-08-03;0.60;0
AachenSoers;2017-08-04;6.70;0
AachenSoers;2017-08-05;9.80;0
AachenSoers;2017-08-06;0.10;0
AachenSoers;2017-08-07;0.00;0
AachenSoers;2017-08-08;4.70;0
AachenSoers;2017-08-09;8.90;0
AachenSoers;2017-08-10;5.50;0
AachenSoers;2017-08-11;0.30;0
AachenSoers;2017-08-12;4.70;0
AachenSoers;2017-08-13;0.00;0
AachenSoers;2017-08-14;0.00;0
AachenSoers;2017-08-15;5.20;0
AachenSoers;2017-08-16;0.10;0
AachenSoers;2017-08-17;4.50;0
AachenSoers;2017-08-18;4.30;0
AachenSoers;2017-08-19;0.90;0
AachenSoers;2017-08-20;0.10;0
AachenSoers;2017-08-21;0.00;0
AachenSoers;2017-08-22;0.00;0
AachenSoers;2017-08-23;0.00;0
AachenSoers;2017-08-24;0.00;0
AachenSoers;2017-08-25;0.10;0
AachenSoers;2017-08-26;0.00;0
AachenSoers;2017-08-27;0.00;0
AachenSoers;2017-08-28;0.00;0
AachenSoers;2017-08-29;0.00;0
AachenSoers;2017-08-30;4.80;0
AachenSoers;2017-08-31;1.00;0
AachenSoers;2017-09-01;6.30;0
AachenSoers;2017-09-02;6.50;0
AachenSoers;2017-09-03;0.30;0
AachenSoers;2017-09-04;0.00;0
AachenSoers;2017-09-05;1.20;0
AachenSoers;2017-09-06;1.20;0
AachenSoers;2017-09-07;0.00;0
AachenSoers;2017-09-08;14.70;0
AachenSoers;2017-09-09;13.30;0
AachenSoers;2017-09-10;2.50;0
AachenSoers;2017-09-11;2.60;0
AachenSoers;2017-09-12;1.10;0
AachenSoers;2017-09-13;7.10;0
AachenSoers;2017-09-14;13.80;0
AachenSoers;2017-09-15;1.70;0
AachenSoers;2017-09-16;0.10;0
AachenSoers;2017-09-17;0.00;0
AachenSoers;2017-09-18;5.20;0
AachenSoers;2017-09-19;0.60;0
AachenSoers;2017-09-20;0.00;0
AachenSoers;2017-09-21;0.00;0
AachenSoers;2017-09-22;0.20;0
AachenSoers;2017-09-23;0.00;0
AachenSoers;2017-09-24;0.00;0
AachenSoers;2017-09-25;0.00;0
AachenSoers;2017-09-26;0.00;0
AachenSoers;2017-09-27;0.20;0
AachenSoers;2017-09-28;0.00;0
AachenSoers;2017-09-29;15.50;0
AachenSoers;2017-09-30;16.60;0
AachenSoers;2017-10-01;0.00;0
AachenSoers;2017-10-02;6.00;0
AachenSoers;2017-10-03;0.00;0
AachenSoers;2017-10-04;0.00;0
AachenSoers;2017-10-05;1.90;0
AachenSoers;2017-10-06;3.30;0
AachenSoers;2017-10-07;9.20;0
AachenSoers;2017-10-08;3.80;0
AachenSoers;2017-10-09;1.10;0
AachenSoers;2017-10-10;0.20;0
AachenSoers;2017-10-11;0.30;0
AachenSoers;2017-10-12;0.00;0
AachenSoers;2017-10-13;0.00;0
AachenSoers;2017-10-14;0.00;0
AachenSoers;2017-10-15;0.00;0
AachenSoers;2017-10-16;0.00;0
AachenSoers;2017-10-17;0.00;0
AachenSoers;2017-10-18;0.00;0
AachenSoers;2017-10-19;0.20;0
AachenSoers;2017-10-20;0.50;0
AachenSoers;2017-10-21;5.50;0
AachenSoers;2017-10-22;0.80;0
AachenSoers;2017-10-23;0.10;0
AachenSoers;2017-10-24;0.20;0
AachenSoers;2017-10-25;0.10;0
AachenSoers;2017-10-26;3.30;0
AachenSoers;2017-10-27;0.00;0
AachenSoers;2017-10-28;9.20;0
AachenSoers;2017-10-29;0.60;0
AachenSoers;2017-10-30;0.00;0
AachenSoers;2017-10-31;0.00;0
AachenSoers;2017-11-01;0.00;0
AachenSoers;2017-11-02;0.00;0
AachenSoers;2017-11-03;0.00;0
AachenSoers;2017-11-04;5.30;0
AachenSoers;2017-11-05;2.10;0
AachenSoers;2017-11-06;0.00;0
AachenSoers;2017-11-07;0.00;0
AachenSoers;2017-11-08;1.10;0
AachenSoers;2017-11-09;0.60;0
AachenSoers;2017-11-10;1.80;0
AachenSoers;2017-11-11;2.20;0
AachenSoers;2017-11-12;1.90;0
AachenSoers;2017-11-13;0.00;0
AachenSoers;2017-11-14;0.10;0
AachenSoers;2017-11-15;0.20;0
AachenSoers;2017-11-16;2.80;0
AachenSoers;2017-11-17;0.00;0
AachenSoers;2017-11-18;5.00;0
AachenSoers;2017-11-19;0.90;0
AachenSoers;2017-11-20;3.30;0
AachenSoers;2017-11-21;3.00;0
AachenSoers;2017-11-22;0.00;0
AachenSoers;2017-11-23;13.30;0
AachenSoers;2017-11-24;6.80;0
AachenSoers;2017-11-25;1.80;0
AachenSoers;2017-11-26;0.00;0
AachenSoers;2017-11-27;13.60;0
AachenSoers;2017-11-28;1.20;0
AachenSoers;2017-11-29;0.10;0
AachenSoers;2017-11-30;1.60;0
AachenSoers;2017-12-01;1.20;0
AachenSoers;2017-12-02;0.00;0
AachenSoers;2017-12-03;1.80;0
AachenSoers;2017-12-04;0.20;0
AachenSoers;2017-12-05;0.00;0
AachenSoers;2017-12-06;0.00;0
AachenSoers;2017-12-07;4.70;0
AachenSoers;2017-12-08;0.40;0
AachenSoers;2017-12-09;0.00;0
AachenSoers;2017-12-10;3.70;0
AachenSoers;2017-12-11;10.20;0
AachenSoers;2017-12-12;0.40;0
AachenSoers;2017-12-13;17.80;0
AachenSoers;2017-12-14;3.90;0
AachenSoers;2017-12-15;0.20;0
AachenSoers;2017-12-16;3.50;0
AachenSoers;2017-12-17;4.40;0
AachenSoers;2017-12-18;5.40;0
AachenSoers;2017-12-19;1.20;0
AachenSoers;2017-12-20;0.80;0
AachenSoers;2017-12-21;4.70;0
AachenSoers;2017-12-22;3.30;0
AachenSoers;2017-12-23;0.00;0
AachenSoers;2017-12-24;0.00;0
AachenSoers;2017-12-25;1.30;0
