Name;Gewaesser;MNW;MHW;Mittel;Informationsstufe 1;Informationsstufe 2;Informationsstufe 3;Einzugsgebiet;east;north
Ahlen;Werse;12.00;189.00;31.00;170.00;200.00;250.00;Ems;425366;5733198
Ahmsen;Werre;32.00;208.00;54.00;;;;Weser;479549;5771202
Albersloh;Werse;19.00;205.00;46.00;190.00;250.00;300.00;Ems;412463;5748891
Altena;Lenne;32.00;265.00;71.00;190.00;235.00;430.00;Ruhr;407683;5682846
Altena_Rahmedestrasse;Rahmede;23.00;104.00;36.00;;;;Ruhr;407743;5682486
Altenbeken2;Beke;26.00;61.00;31.00;;;;Lippe;494359;5734473
Altenburg_1;Rur;6.00;109.00;29.00;105.00;135.00;170.00;Rur;315310;5641695
Ammeloe;Berkel;47.00;288.00;94.00;;;;Ijssel;347498;5772384
Appelhuelsen;Stever;9.00;120.00;22.00;140.00;165.00;195.00;Lippe;393018;5749442
Arloff;Erft;24.00;89.00;32.00;100.00;115.00;130.00;Erft;343748;5607174
Avenwedde;Dalke;20.00;100.00;30.00;;;;Ems;465382;5751202
Bachum;Ruhr;80.00;296.00;113.00;210.00;400.00;440.00;Ruhr;426626;5702609
Baltes;Beeckbach;17.00;71.00;24.00;;;;Schwalm;310531;5668410
Balve-Garbeck;Hönne;37.00;128.00;55.00;;;;Ruhr;419269;5684935
Balve_Helle;Hönne;9.00;105.00;23.00;;;;Ruhr;421898;5688764
Beddelhausen;Eder;31.00;193.00;61.00;;;;Weser;464054;5649880
Belecke_1;Möhne;34.00;196.00;59.00;;;;Ruhr;453263;5704350
Bentfeld;Lippe;92.00;278.00;137.00;270.00;350.00;370.00;Lippe;474494;5733168
Bessenich;Neffelbach;37.00;97.00;44.00;110.00;125.00;145.00;Erft;334488;5621077
Bierde;Gehle;60.00;250.00;83.00;;;;Weser;502851;5802213
Bilk;Vechte;22.00;192.00;49.00;200.00;224.00;243.00;Ijssel;383431;5789000
Bliesheim;Erft;26.00;164.00;41.00;110.00;200.00;230.00;Erft;346716;5627515
Blomberg;Diestelbach;14.00;119.00;26.00;;;;Weser;507275;5752683
Boekenfoerde_2;Gieseler;37.00;162.00;63.00;;;;Lippe;457691;5720697
Brake;Aa;38.00;248.00;57.00;;;;Weser;473847;5768951
Brakel;Brucht;110.00;278.00;128.00;;;;Weser;513174;5729179
Bredelar;Hoppecke;25.00;127.00;44.00;;;;Weser;483678;5695421
Broel;Bröl;46.00;236.00;72.00;;;;Sieg;381573;5627378
Broeleck;Bröl;13.00;128.00;28.00;125.00;145.00;175.00;Sieg;388479;5633367
Buchenhofen;Wupper;53.00;243.00;76.00;;;;Wupper;367694;5675938
Bueren;Afte;16.00;66.00;26.00;;;;Lippe;469795;5711023
Burg_Veynau;Veybach;37.00;98.00;43.00;80.00;100.00;150.00;Erft;338657;5612058
Cappel;Glenne;77.00;332.00;130.00;;;;Lippe;451415;5727373
Daemmerwald;Issel (Ijssel);8.00;113.00;22.00;165.00;195.00;205.00;Ijssel;345689;5734314
Darfeld;Vechte;;;;198.00;255.00;315.00;Ijssel;381182;5768742
Derschlag;Dörspe;20.00;107.00;31.00;;;;Sieg;403615;5651589
Einen;Ems;65.00;327.00;110.00;355.00;450.00;490.00;Ems;424329;5758552
Eitorf;Sieg;17.00;344.00;70.00;250.00;410.00;460.00;Sieg;390201;5626181
Erkrath;Düssel;99.00;177.00;108.00;;;;Rhein;354556;5677032
Eschweiler;Inde;17.00;188.00;38.00;190.00;230.00;260.00;Rur;309002;5632724
Espeln;Ems;50.00;150.00;70.00;;;;Ems;472092;5742291
Essen-Hespertal;Hesperbach;12.00;84.00;21.00;;;;Ruhr;363840;5692592
Feudingen;Lahn;26.00;124.00;40.00;;;;Rhein;452579;5643232
Fiestel;Große Aue (Aue);103.00;230.00;121.00;;;;Weser;469939;5800421
Friesheim;Rotbach;23.00;117.00;31.00;110.00;150.00;220.00;Erft;342911;5624965
Geisbach;Hanfbach;17.00;117.00;27.00;;;;Sieg;380123;5625164
Geldern;Gelderner Fleuth;74.00;146.00;94.00;;;;Niers;314725;5711416
Gemuend;Urft;26.00;171.00;46.00;200.00;215.00;265.00;Rur;322378;5605871
Gescher;Berkel;32.00;268.00;68.00;;;;Ijssel;367485;5755958
Glesch;Erft;94.00;182.00;118.00;170.00;180.00;195.00;Erft;331215;5649732
Glueder;Wupper;45.00;218.00;65.00;;;;Wupper;368595;5666414
Goch;Niers;40.00;154.00;75.00;;;;Niers;303048;5729725
Greven;Ems;97.00;651.00;228.00;610.00;810.00;870.00;Ems;404280;5772436
Gronau;Dinkel;5.00;129.00;21.00;153.00;177.00;198.00;Ijssel;365058;5787117
Haaren;Haarbach;8.00;80.00;14.00;;;;Rur;297688;5630948
Hagen-Ambrock;Volme;32.00;199.00;58.00;;;;Ruhr;396647;5686794
Hagen-Eckesey;Volme;76.00;240.00;102.00;170.00;340.00;380.00;Ruhr;392131;5693803
Hagen-Haspe;Ennepe;24.00;143.00;40.00;;;;Ruhr;389873;5689714
Hagen-Maecking2;Hombecke;2.00;59.00;12.00;;;;Ruhr;394199;5686636
Haltern;Lippe;118.00;503.00;163.00;546.00;606.00;664.00;Lippe;374768;5732685
