Name;Datum;Minimum;Maximum;Mittelwert
Ahlen;2017-01-01;25.000;26.000;25.350
Ahlen;2017-01-02;25.000;31.000;26.810
Ahlen;2017-01-03;25.000;29.000;26.800
Ahlen;2017-01-04;29.000;55.000;45.510
Ahlen;2017-01-05;40.000;54.000;45.940
Ahlen;2017-01-06;35.000;40.000;36.620
Ahlen;2017-01-07;32.000;35.000;32.470
Ahlen;2017-01-08;32.000;34.000;32.530
Ahlen;2017-01-09;28.000;32.000;28.770
Ahlen;2017-01-10;28.000;42.000;36.620
Ahlen;2017-01-11;42.000;61.000;45.910
Ahlen;2017-01-12;49.000;62.000;53.920
Ahlen;2017-01-13;49.000;78.000;69.350
Ahlen;2017-01-14;62.000;73.000;67.390
Ahlen;2017-01-15;49.000;61.000;53.860
Ahlen;2017-01-16;43.000;49.000;45.600
Ahlen;2017-01-17;38.000;43.000;39.640
Ahlen;2017-01-18;35.000;38.000;35.680
Ahlen;2017-01-19;33.000;35.000;33.490
Ahlen;2017-01-20;31.000;33.000;31.500
Ahlen;2017-01-21;29.000;31.000;29.550
Ahlen;2017-01-22;27.000;29.000;27.600
Ahlen;2017-01-23;26.000;27.000;26.250
Ahlen;2017-01-24;24.000;26.000;24.690
Ahlen;2017-01-25;24.000;24.000;24.000
Ahlen;2017-01-26;24.000;24.000;24.000
Ahlen;2017-01-27;24.000;24.000;24.000
Ahlen;2017-01-28;24.000;25.000;24.160
Ahlen;2017-01-29;23.000;25.000;23.710
Ahlen;2017-01-30;22.000;35.000;28.000
Ahlen;2017-01-31;30.000;35.000;30.650
Ahlen;2017-02-01;30.000;30.000;30.000
Ahlen;2017-02-02;30.000;30.000;30.000
Ahlen;2017-02-03;30.000;31.000;30.300
Ahlen;2017-02-04;29.000;36.000;29.770
Ahlen;2017-02-05;36.000;45.000;41.970
Ahlen;2017-02-06;36.000;41.000;36.810
Ahlen;2017-02-07;33.000;36.000;33.450
Ahlen;2017-02-08;32.000;33.000;32.580
Ahlen;2017-02-09;31.000;33.000;31.460
Ahlen;2017-02-10;30.000;31.000;30.350
Ahlen;2017-02-11;29.000;30.000;29.260
Ahlen;2017-02-12;28.000;29.000;28.300
Ahlen;2017-02-13;27.000;28.000;27.340
Ahlen;2017-02-14;26.000;27.000;26.350
Ahlen;2017-02-15;25.000;26.000;25.300
Ahlen;2017-02-16;24.000;25.000;24.330
Ahlen;2017-02-17;24.000;33.000;26.940
Ahlen;2017-02-18;27.000;30.000;27.920
Ahlen;2017-02-19;27.000;32.000;27.940
Ahlen;2017-02-20;27.000;32.000;29.050
Ahlen;2017-02-21;31.000;43.000;35.950
Ahlen;2017-02-22;33.000;78.000;41.970
Ahlen;2017-02-23;80.000;106.000;99.070
Ahlen;2017-02-24;78.000;100.000;94.050
Ahlen;2017-02-25;60.000;78.000;66.730
Ahlen;2017-02-26;51.000;60.000;54.950
Ahlen;2017-02-27;49.000;51.000;49.380
Ahlen;2017-02-28;44.000;52.000;47.860
Ahlen;2017-03-01;43.000;53.000;48.540
Ahlen;2017-03-02;50.000;53.000;51.790
Ahlen;2017-03-03;50.000;53.000;51.980
Ahlen;2017-03-04;44.000;50.000;46.430
Ahlen;2017-03-05;39.000;44.000;40.770
Ahlen;2017-03-06;38.000;45.000;39.190
Ahlen;2017-03-07;36.000;43.000;37.860
Ahlen;2017-03-08;37.000;88.000;46.520
Ahlen;2017-03-09;66.000;93.000;77.490
Ahlen;2017-03-10;52.000;66.000;56.140
Ahlen;2017-03-11;45.000;52.000;48.230
Ahlen;2017-03-12;41.000;45.000;43.060
Ahlen;2017-03-13;38.000;40.000;38.540
Ahlen;2017-03-14;36.000;38.000;36.490
Ahlen;2017-03-15;33.000;36.000;33.740
Ahlen;2017-03-16;32.000;33.000;32.250
Ahlen;2017-03-17;31.000;32.000;31.320
Ahlen;2017-03-18;31.000;40.000;36.520
Ahlen;2017-03-19;34.000;39.000;36.300
Ahlen;2017-03-20;33.000;36.000;34.070
Ahlen;2017-03-21;34.000;54.000;43.980
Ahlen;2017-03-22;45.000;54.000;48.580
Ahlen;2017-03-23;38.000;45.000;40.530
Ahlen;2017-03-24;35.000;38.000;35.700
Ahlen;2017-03-25;33.000;35.000;33.350
Ahlen;2017-03-26;32.000;33.000;32.160
Ahlen;2017-03-27;31.000;32.000;31.260
Ahlen;2017-03-28;29.000;31.000;29.430
Ahlen;2017-03-29;24.000;29.000;27.430
Ahlen;2017-03-30;24.000;26.000;24.850
Ahlen;2017-03-31;26.000;26.000;26.000
Ahlen;2017-04-01;25.000;26.000;25.260
Ahlen;2017-04-02;23.000;25.000;23.650
Ahlen;2017-04-03;23.000;23.000;23.000
Ahlen;2017-04-04;22.000;23.000;22.320
Ahlen;2017-04-05;21.000;22.000;21.340
Ahlen;2017-04-06;21.000;21.000;21.000
Ahlen;2017-04-07;21.000;21.000;21.000
Ahlen;2017-04-08;20.000;21.000;20.340
Ahlen;2017-04-09;20.000;20.000;20.000
Ahlen;2017-04-10;20.000;20.000;20.000
Ahlen;2017-04-11;19.000;20.000;19.340
Ahlen;2017-04-12;18.000;21.000;19.350
Ahlen;2017-04-13;21.000;26.000;21.670
Ahlen;2017-04-14;18.000;21.000;18.610
Ahlen;2017-04-15;18.000;26.000;20.620
Ahlen;2017-04-16;18.000;23.000;18.880
Ahlen;2017-04-17;19.000;27.000;22.340
Ahlen;2017-04-18;18.000;28.000;20.310
Ahlen;2017-04-19;17.000;21.000;17.980
Ahlen;2017-04-20;16.000;17.000;16.410
Ahlen;2017-04-21;16.000;16.000;16.000
Ahlen;2017-04-22;16.000;28.000;20.850
Ahlen;2017-04-23;17.000;20.000;17.530
Ahlen;2017-04-24;16.000;17.000;16.800
Ahlen;2017-04-25;17.000;21.000;19.170
Ahlen;2017-04-26;16.000;19.000;17.100
Ahlen;2017-04-27;16.000;17.000;16.310
Ahlen;2017-04-28;16.000;16.000;16.000
Ahlen;2017-04-29;16.000;16.000;16.000
Ahlen;2017-04-30;15.000;16.000;15.460
Ahlen;2017-05-01;15.000;16.000;15.410
Ahlen;2017-05-02;16.000;34.000;20.790
Ahlen;2017-05-03;22.000;33.000;24.930
Ahlen;2017-05-04;22.000;32.000;24.620
Ahlen;2017-05-05;17.000;24.000;18.150
Ahlen;2017-05-06;17.000;17.000;17.000
Ahlen;2017-05-07;16.000;17.000;16.330
Ahlen;2017-05-08;14.000;16.000;14.930
Ahlen;2017-05-09;14.000;14.000;14.000
Ahlen;2017-05-10;14.000;14.000;14.000
Ahlen;2017-05-11;14.000;15.000;14.480
Ahlen;2017-05-12;15.000;35.000;21.350
Ahlen;2017-05-13;17.000;24.000;19.570
Ahlen;2017-05-14;17.000;32.000;20.970
Ahlen;2017-05-15;19.000;30.000;23.650
Ahlen;2017-05-16;17.000;19.000;17.400
Ahlen;2017-05-17;16.000;17.000;16.440
Ahlen;2017-05-18;16.000;59.000;23.860
Ahlen;2017-05-19;30.000;65.000;40.460
