datum,ka_ruhleben
2010-01-01,207.77
2010-01-02,201.67
2010-01-03,201.63
2010-01-04,195.66
2010-01-05,194.45
2010-01-06,190.45
2010-01-07,193.34
2010-01-08,194.11
2010-01-09,180.73
2010-01-10,182.49
2010-01-11,198.24
2010-01-12,187.08
2010-01-13,193.17
2010-01-14,193.78
2010-01-15,188.46
2010-01-16,190.07
2010-01-17,197.8
2010-01-18,233.43
2010-01-19,274.73
2010-01-20,231.16
2010-01-21,201.52
2010-01-22,197.97
2010-01-23,187.36
2010-01-24,185.47
2010-01-25,187.07
2010-01-26,187.15
2010-01-27,186.72
2010-01-28,219.89
2010-01-29,224.3
2010-01-30,220.48
2010-01-31,179.03
2010-02-01,196.99
2010-02-02,192
2010-02-03,286.07
2010-02-04,235.43
2010-02-05,256.14
2010-02-06,200.11
2010-02-07,189.69
2010-02-08,196.24
2010-02-09,197.93
2010-02-10,191.02
2010-02-11,190.12
2010-02-12,213.29
2010-02-13,196.19
2010-02-14,209.69
2010-02-15,209.93
2010-02-16,209
2010-02-17,205.65
2010-02-18,240.93
2010-02-19,271.01
2010-02-20,292.64
2010-02-21,208.8
2010-02-22,255.56
2010-02-23,392.05
2010-02-24,229.31
2010-02-25,266.66
2010-02-26,244.03
2010-02-27,215.22
2010-02-28,217.41
2010-03-01,364.15
2010-03-02,205.64
2010-03-03,206.18
2010-03-04,208.2
2010-03-05,207.68
2010-03-06,200.41
2010-03-07,193.99
2010-03-08,211.67
2010-03-09,223.22
2010-03-10,225.6
2010-03-11,220.8
2010-03-12,287.82
2010-03-13,241.48
2010-03-14,304
2010-03-15,373.29
2010-03-16,232.88
2010-03-17,220.282
2010-03-18,219.676
2010-03-19,210.02
2010-03-20,288.09
2010-03-21,296.04
2010-03-22,199.307
2010-03-23,207.18
2010-03-24,203.2
2010-03-25,205.99
2010-03-26,215.48
2010-03-27,405.32
2010-03-28,194.54
2010-03-29,257.55
2010-03-30,200.19
2010-03-31,70.436
2010-04-01,0
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,4.381
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,54.625
2010-04-27,20.724
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,126.244
2010-05-04,0
2010-05-05,0
2010-05-06,95.466
2010-05-07,22.26
2010-05-08,0
2010-05-09,0
2010-05-10,25.371
2010-05-11,0
2010-05-12,0
2010-05-13,0
2010-05-14,0
2010-05-15,216.942
2010-05-16,0
2010-05-17,0
2010-05-18,0
2010-05-19,169.243
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0
2010-05-24,69.478
2010-05-25,6.551
2010-05-26,0
2010-05-27,5.083
2010-05-28,0
2010-05-29,0
2010-05-30,38.923
2010-05-31,22.348
2010-06-01,89.791
2010-06-02,0
2010-06-03,0
2010-06-04,0
2010-06-05,0
2010-06-06,0
2010-06-07,9.421
2010-06-08,0
2010-06-09,0
2010-06-10,0
2010-06-11,0.001
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,1.5
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,3.537
2010-07-06,43.801
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,11.977
2010-07-13,5.101
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,40.492
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,163.632
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,72.234
2010-08-04,0
2010-08-05,0
2010-08-06,72.492
2010-08-07,3.62
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,49.126
2010-08-13,21.947
2010-08-14,186.368
2010-08-15,24.629
2010-08-16,114.849
2010-08-17,0
2010-08-18,66.725
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,66.531
2010-08-24,0
2010-08-25,0
2010-08-26,36.265
2010-08-27,131.95
2010-08-28,37
2010-08-29,94.438
2010-08-30,125.005
2010-08-31,0
2010-09-01,0
2010-09-02,1.809
2010-09-03,0
2010-09-04,8.242
2010-09-05,0
2010-09-06,0
2010-09-07,0
2010-09-08,0
2010-09-09,8.549
2010-09-10,13.959
2010-09-11,0
2010-09-12,0
2010-09-13,64.99
2010-09-14,126.523
2010-09-15,31.211
2010-09-16,43.804
2010-09-17,0
